Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1961,1961,tonnes,99000.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1962,1962,tonnes,110593.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1963,1963,tonnes,132063.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1964,1964,tonnes,146830.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1965,1965,tonnes,140918.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1966,1966,,,,
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1967,1967,tonnes,174384.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1968,1968,tonnes,134779.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1969,1969,tonnes,151740.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1970,1970,tonnes,159169.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1971,1971,tonnes,163892.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1972,1972,tonnes,151997.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1973,1973,tonnes,159031.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1974,1974,tonnes,125331.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1975,1975,tonnes,115115.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1976,1976,tonnes,138779.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1977,1977,tonnes,147531.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1978,1978,tonnes,142322.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1979,1979,tonnes,145200.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1980,1980,tonnes,148300.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1981,1981,tonnes,139956.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1982,1982,tonnes,122732.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1983,1983,tonnes,135147.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1984,1984,tonnes,134200.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1985,1985,tonnes,132903.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1986,1986,tonnes,103400.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1987,1987,tonnes,97900.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1988,1988,tonnes,100200.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1989,1989,tonnes,85000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1990,1990,tonnes,94000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1991,1991,tonnes,86300.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1992,1992,tonnes,78000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1993,1993,tonnes,78000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1994,1994,tonnes,73000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1995,1995,tonnes,60000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1996,1996,tonnes,59755.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1997,1997,tonnes,71573.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1998,1998,tonnes,61537.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),1999,1999,tonnes,59716.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3104,Nutrient potash K2O (total),2000,2000,tonnes,55241.0,A,Official figure
