Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1961,1961,tonnes,128230.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1962,1962,tonnes,115574.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1963,1963,tonnes,101794.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1964,1964,tonnes,100430.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1965,1965,tonnes,121960.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1966,1966,tonnes,139980.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1967,1967,tonnes,164700.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1968,1968,tonnes,136400.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1969,1969,tonnes,112400.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1970,1970,tonnes,102800.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1971,1971,tonnes,94700.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1972,1972,tonnes,78700.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1973,1973,tonnes,107110.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1974,1974,tonnes,80500.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1975,1975,tonnes,145000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1976,1976,tonnes,98000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3102,Nutrient nitrogen N (total),1977,1977,tonnes,157800.0,X,Figure from international organizations
