Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1961,1961,,,,
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1962,1962,,,,
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1963,1963,tonnes,1512.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1964,1964,tonnes,70.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1965,1965,tonnes,1190.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1966,1966,tonnes,810.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1967,1967,tonnes,7400.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1968,1968,tonnes,13150.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1969,1969,tonnes,9000.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1970,1970,tonnes,13400.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1971,1971,tonnes,22800.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1972,1972,tonnes,43080.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1973,1973,tonnes,66270.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1974,1974,tonnes,90130.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1975,1975,tonnes,39000.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1976,1976,tonnes,34000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1977,1977,tonnes,32700.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1978,1978,tonnes,36000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1979,1979,tonnes,35800.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1980,1980,tonnes,34800.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1981,1981,tonnes,32000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1982,1982,tonnes,32900.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1983,1983,tonnes,35500.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1984,1984,tonnes,32000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1985,1985,tonnes,25600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1986,1986,tonnes,26000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1987,1987,tonnes,37600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1988,1988,tonnes,30700.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1989,1989,tonnes,38000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1990,1990,tonnes,25000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1991,1991,tonnes,28000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1992,1992,tonnes,36000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1993,1993,tonnes,34000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1994,1994,tonnes,18000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1995,1995,tonnes,14000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1996,1996,tonnes,23000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1997,1997,tonnes,19000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1998,1998,tonnes,25000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1999,1999,tonnes,27000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2000,2000,tonnes,21000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2001,2001,tonnes,46000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2002,2002,tonnes,24627.87,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2003,2003,tonnes,37766.1,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2004,2004,tonnes,46222.11,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2005,2005,tonnes,413.6,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2006,2006,tonnes,1804.08,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2007,2007,tonnes,867.92,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2008,2008,tonnes,8049.58,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2009,2009,tonnes,1683.93,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2010,2010,tonnes,3436.79,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2011,2011,tonnes,2598.99,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2012,2012,tonnes,1624.23,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2013,2013,tonnes,1309.35,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2014,2014,tonnes,1238.77,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2015,2015,tonnes,2631.34,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2016,2016,tonnes,4704.58,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2017,2017,tonnes,6142.49,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2018,2018,tonnes,5500.9,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2019,2019,tonnes,2827.34,E,Estimated value
RFN,Fertilizers by Nutrient,40,Austria,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2020,2020,tonnes,3752.11,E,Estimated value
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1961,1961,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1962,1962,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1963,1963,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1964,1964,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1965,1965,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1966,1966,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1967,1967,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1968,1968,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1969,1969,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1970,1970,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1971,1971,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1972,1972,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1973,1973,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1974,1974,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1975,1975,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1976,1976,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1977,1977,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1978,1978,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1979,1979,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1980,1980,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1981,1981,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1982,1982,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1983,1983,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1984,1984,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1985,1985,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1986,1986,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1987,1987,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1988,1988,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1989,1989,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1990,1990,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1991,1991,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1992,1992,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1993,1993,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1994,1994,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1995,1995,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1996,1996,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1997,1997,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1998,1998,,,,
RFN,Fertilizers by Nutrient,56,Belgium,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),1999,1999,,,,
