Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1961,1961,tonnes,826.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1962,1962,tonnes,779.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1963,1963,tonnes,633.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1964,1964,tonnes,602.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1965,1965,tonnes,892.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1966,1966,tonnes,491.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1967,1967,tonnes,541.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1968,1968,tonnes,808.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1969,1969,tonnes,1016.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1970,1970,tonnes,967.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1971,1971,tonnes,809.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1972,1972,tonnes,741.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1973,1973,tonnes,420.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3102,Nutrient nitrogen N (total),1974,1974,tonnes,317.0,A,Official figure
