Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1961,1961,tonnes,99184.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1962,1962,tonnes,114223.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1963,1963,tonnes,143552.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1964,1964,tonnes,167014.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1965,1965,tonnes,158322.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1966,1966,,,,
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1967,1967,tonnes,157320.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1968,1968,tonnes,146057.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1969,1969,tonnes,165800.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1970,1970,tonnes,175316.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1971,1971,tonnes,187300.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1972,1972,tonnes,162500.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1973,1973,tonnes,202800.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1974,1974,tonnes,215500.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1975,1975,tonnes,111900.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1976,1976,tonnes,162700.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1977,1977,tonnes,183400.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1978,1978,tonnes,168000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1979,1979,tonnes,171000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1980,1980,tonnes,180900.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1981,1981,tonnes,190000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1982,1982,tonnes,182600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1983,1983,tonnes,188400.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3104,Nutrient potash K2O (total),1984,1984,tonnes,156700.0,X,Figure from international organizations
