Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2000,2000,LSU/ha,0.66,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2001,2001,LSU/ha,0.67,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2002,2002,LSU/ha,0.66,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2003,2003,LSU/ha,0.64,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2004,2004,LSU/ha,0.64,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2005,2005,LSU/ha,0.65,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2006,2006,LSU/ha,0.64,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2007,2007,LSU/ha,0.64,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2008,2008,LSU/ha,0.64,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2009,2009,LSU/ha,0.64,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2010,2010,LSU/ha,0.66,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2011,2011,LSU/ha,0.66,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2012,2012,LSU/ha,0.65,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2013,2013,LSU/ha,0.65,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2014,2014,LSU/ha,0.65,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2015,2015,LSU/ha,0.65,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2016,2016,LSU/ha,0.66,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2017,2017,LSU/ha,0.66,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2018,2018,LSU/ha,0.65,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2019,2019,LSU/ha,0.64,E,Estimated value
EK,Livestock Patterns,40,Austria,7213,Livestock units per agricultural land area,2111,Cattle,2020,2020,LSU/ha,0.63,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2000,2000,LSU/ha,1.97,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2001,2001,LSU/ha,1.97,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2002,2002,LSU/ha,1.87,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2003,2003,LSU/ha,1.8,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2004,2004,LSU/ha,1.77,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2005,2005,LSU/ha,1.76,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2006,2006,LSU/ha,1.74,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2007,2007,LSU/ha,1.74,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2008,2008,LSU/ha,1.72,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2009,2009,LSU/ha,1.72,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2010,2010,LSU/ha,1.72,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2011,2011,LSU/ha,1.73,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2012,2012,LSU/ha,1.68,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2013,2013,LSU/ha,1.65,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2014,2014,LSU/ha,1.67,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2015,2015,LSU/ha,1.7,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2016,2016,LSU/ha,1.67,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2017,2017,LSU/ha,1.62,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2018,2018,LSU/ha,1.59,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2019,2019,LSU/ha,1.57,E,Estimated value
EK,Livestock Patterns,56,Belgium,7213,Livestock units per agricultural land area,2111,Cattle,2020,2020,LSU/ha,1.54,E,Estimated value
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2000,2000,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2001,2001,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2002,2002,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2003,2003,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2004,2004,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2005,2005,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2006,2006,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2007,2007,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2008,2008,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2009,2009,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2010,2010,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2011,2011,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2012,2012,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2013,2013,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2014,2014,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2015,2015,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2016,2016,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2017,2017,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2018,2018,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2019,2019,,,,
EK,Livestock Patterns,58,Belgium-Luxembourg,7213,Livestock units per agricultural land area,2111,Cattle,2020,2020,,,,
EK,Livestock Patterns,100,Bulgaria,7213,Livestock units per agricultural land area,2111,Cattle,2000,2000,LSU/ha,0.07,E,Estimated value
EK,Livestock Patterns,100,Bulgaria,7213,Livestock units per agricultural land area,2111,Cattle,2001,2001,LSU/ha,0.07,E,Estimated value
