Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1961,1961,tonnes,100207.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1962,1962,tonnes,115353.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1963,1963,tonnes,125687.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1964,1964,tonnes,126262.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1965,1965,tonnes,131070.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1966,1966,tonnes,127322.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1967,1967,tonnes,143385.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1968,1968,tonnes,115799.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1969,1969,tonnes,148967.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1970,1970,tonnes,122827.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1971,1971,tonnes,136673.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1972,1972,tonnes,126022.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1973,1973,tonnes,123055.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1974,1974,tonnes,87532.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1975,1975,tonnes,76404.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1976,1976,tonnes,89481.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1977,1977,tonnes,94425.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1978,1978,tonnes,96000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1979,1979,tonnes,99700.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1980,1980,tonnes,99300.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1981,1981,tonnes,93305.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1982,1982,tonnes,83357.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1983,1983,tonnes,94477.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1984,1984,tonnes,95000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1985,1985,tonnes,90496.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1986,1986,tonnes,72200.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1987,1987,tonnes,69400.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1988,1988,tonnes,73200.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1989,1989,tonnes,64100.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1990,1990,tonnes,73600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1991,1991,tonnes,70400.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1992,1992,tonnes,65000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1993,1993,tonnes,64000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1994,1994,tonnes,56000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1995,1995,tonnes,52000.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1996,1996,tonnes,52272.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1997,1997,tonnes,59969.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1998,1998,tonnes,57264.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1999,1999,tonnes,53503.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2000,2000,tonnes,48548.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2001,2001,tonnes,47192.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2002,2002,tonnes,47138.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2003,2003,tonnes,45193.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2004,2004,tonnes,39357.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2005,2005,tonnes,36320.0,A,Official figure
