Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1961,1961,tonnes,57745.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1962,1962,tonnes,65581.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1963,1963,tonnes,70181.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1964,1964,tonnes,67781.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1965,1965,tonnes,68426.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1966,1966,tonnes,63659.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1967,1967,tonnes,66071.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1968,1968,tonnes,49670.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1969,1969,tonnes,60858.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1970,1970,tonnes,46288.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1971,1971,tonnes,50472.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1972,1972,tonnes,43902.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1973,1973,tonnes,40278.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1974,1974,tonnes,27700.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1975,1975,tonnes,14800.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1976,1976,tonnes,13600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1977,1977,tonnes,25500.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1978,1978,tonnes,28600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1979,1979,tonnes,27600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1980,1980,tonnes,29400.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1981,1981,tonnes,29000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1982,1982,tonnes,27800.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1983,1983,tonnes,35000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1984,1984,tonnes,27900.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1985,1985,tonnes,40700.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1986,1986,tonnes,33000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1987,1987,tonnes,27200.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1988,1988,tonnes,45400.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1989,1989,tonnes,41000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1990,1990,tonnes,33700.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1991,1991,tonnes,21000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1992,1992,tonnes,22000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1993,1993,tonnes,22000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1994,1994,tonnes,16000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1995,1995,tonnes,14000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),1996,1996,tonnes,14000.0,X,Figure from international organizations
