Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1961,1961,tonnes,38560.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1962,1962,tonnes,52686.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1963,1963,tonnes,58177.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1964,1964,tonnes,59924.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1965,1965,tonnes,55276.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1966,1966,tonnes,63372.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1967,1967,tonnes,75335.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1968,1968,tonnes,77172.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1969,1969,tonnes,90950.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1970,1970,tonnes,102200.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1971,1971,tonnes,123073.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1972,1972,tonnes,138639.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1973,1973,tonnes,142774.0,A,Official figure
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1974,1974,tonnes,144600.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1975,1975,tonnes,90200.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1976,1976,tonnes,105000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1977,1977,tonnes,107500.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1978,1978,tonnes,104000.0,X,Figure from international organizations
RFN,Fertilizers by Nutrient,40,Austria,5510,Production,3103,Nutrient phosphate P2O5 (total),1979,1979,tonnes,107800.0,X,Figure from international organizations
