Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Livestock ,250,France,5111,Stocks,2111,Cattle,2010,2010,Head,19555173.0,A,Official figure
QCL,Livestock ,705,Slovenia,5111,Stocks,2111,Cattle,1974,1974,,,,
QCL,Livestock ,250,France,5111,Stocks,2111,Cattle,1980,1980,Head,23919088.0,A,Official figure
QCL,Livestock ,250,France,5111,Stocks,2111,Cattle,1991,1991,Head,21097138.0,A,Official figure
QCL,Livestock ,428,Latvia,5111,Stocks,2111,Cattle,1962,1962,,,,
QCL,Livestock ,380,Italy,5111,Stocks,2111,Cattle,1961,1961,Head,9826800.0,A,Official figure
QCL,Livestock ,58,Belgium-Luxembourg,5111,Stocks,2111,Cattle,2012,2012,,,,
QCL,Livestock ,428,Latvia,5111,Stocks,2111,Cattle,1992,1992,Head,1382900.0,A,Official figure
QCL,Livestock ,233,Estonia,5111,Stocks,2111,Cattle,1969,1969,,,,
QCL,Livestock ,616,Poland,5111,Stocks,2111,Cattle,1999,1999,Head,6555033.0,A,Official figure
QCL,Livestock ,196,Cyprus,5111,Stocks,2111,Cattle,1971,1971,Head,35500.0,A,Official figure
QCL,Livestock ,233,Estonia,5111,Stocks,2111,Cattle,1984,1984,,,,
QCL,Livestock ,191,Croatia,5111,Stocks,2111,Cattle,1972,1972,,,,
QCL,Livestock ,246,Finland,5111,Stocks,2111,Cattle,1998,1998,Head,1117100.0,A,Official figure
QCL,Livestock ,233,Estonia,5111,Stocks,2111,Cattle,2006,2006,Head,249500.0,A,Official figure
QCL,Livestock ,380,Italy,5111,Stocks,2111,Cattle,1980,1980,Head,8719300.0,A,Official figure
QCL,Livestock ,196,Cyprus,5111,Stocks,2111,Cattle,1989,1989,Head,45966.0,A,Official figure
QCL,Livestock ,642,Romania,5111,Stocks,2111,Cattle,2021,2021,Head,1826800.0,A,Official figure
QCL,Livestock ,246,Finland,5111,Stocks,2111,Cattle,1991,1991,Head,1309900.0,A,Official figure
QCL,Livestock ,703,Slovakia,5111,Stocks,2111,Cattle,1991,1991,,,,
QCL,Livestock ,428,Latvia,5111,Stocks,2111,Cattle,1988,1988,,,,
QCL,Livestock ,705,Slovenia,5111,Stocks,2111,Cattle,2009,2009,Head,469983.0,A,Official figure
QCL,Livestock ,56,Belgium,5111,Stocks,2111,Cattle,1968,1968,,,,
QCL,Livestock ,470,Malta,5111,Stocks,2111,Cattle,1966,1966,Head,8137.0,A,Official figure
QCL,Livestock ,442,Luxembourg,5111,Stocks,2111,Cattle,2008,2008,Head,195661.0,A,Official figure
QCL,Livestock ,528,Netherlands,5111,Stocks,2111,Cattle,1978,1978,Head,4673000.0,A,Official figure
QCL,Livestock ,380,Italy,5111,Stocks,2111,Cattle,1969,1969,Head,10024000.0,A,Official figure
QCL,Livestock ,616,Poland,5111,Stocks,2111,Cattle,1994,1994,Head,7695680.0,A,Official figure
QCL,Livestock ,442,Luxembourg,5111,Stocks,2111,Cattle,1991,1991,,,,
QCL,Livestock ,703,Slovakia,5111,Stocks,2111,Cattle,1969,1969,,,,
QCL,Livestock ,250,France,5111,Stocks,2111,Cattle,1966,1966,Head,20640304.0,A,Official figure
QCL,Livestock ,703,Slovakia,5111,Stocks,2111,Cattle,1984,1984,,,,
QCL,Livestock ,428,Latvia,5111,Stocks,2111,Cattle,2001,2001,Head,366700.0,A,Official figure
QCL,Livestock ,276,Germany,5111,Stocks,2111,Cattle,1966,1966,Head,18442496.0,A,Official figure
QCL,Livestock ,642,Romania,5111,Stocks,2111,Cattle,1963,1963,Head,4383800.0,A,Official figure
QCL,Livestock ,642,Romania,5111,Stocks,2111,Cattle,1962,1962,Head,4524700.0,A,Official figure
QCL,Livestock ,40,Austria,5111,Stocks,2111,Cattle,2020,2020,Head,1855430.0,A,Official figure
QCL,Livestock ,233,Estonia,5111,Stocks,2111,Cattle,1981,1981,,,,
QCL,Livestock ,300,Greece,5111,Stocks,2111,Cattle,1973,1973,Head,1054827.0,A,Official figure
QCL,Livestock ,752,Sweden,5111,Stocks,2111,Cattle,1965,1965,Head,2250100.0,A,Official figure
