Area,Value
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,3041560.0
Belgium,3037760.0
Belgium,2891260.0
Belgium,2778077.0
Belgium,2738648.0
Belgium,2698649.0
Belgium,2669076.0
Belgium,2649392.0
Belgium,2605532.0
Belgium,2600453.0
Belgium,2593000.0
Belgium,2560319.0
Belgium,2484272.0
Belgium,2454704.0
Belgium,2477236.0
Belgium,2503262.0
Belgium,2501349.0
Belgium,2385988.0
Belgium,2398090.0
Belgium,2373100.0
Belgium,2335440.0
Belgium,2310440.0
Belgium-Luxembourg,2684120.0
Belgium-Luxembourg,2798130.0
Belgium-Luxembourg,2847478.0
Belgium-Luxembourg,2641407.0
Belgium-Luxembourg,2685510.0
Belgium-Luxembourg,2782000.0
Belgium-Luxembourg,2770000.0
Belgium-Luxembourg,2784000.0
Belgium-Luxembourg,2847000.0
Belgium-Luxembourg,2899000.0
Belgium-Luxembourg,2901000.0
Belgium-Luxembourg,2829000.0
Belgium-Luxembourg,2942000.0
Belgium-Luxembourg,3104000.0
Belgium-Luxembourg,3102000.0
Belgium-Luxembourg,3010711.0
Belgium-Luxembourg,3022000.0
Belgium-Luxembourg,3019000.0
Belgium-Luxembourg,3085000.0
Belgium-Luxembourg,3111000.0
Belgium-Luxembourg,3116000.0
Belgium-Luxembourg,3072000.0
Belgium-Luxembourg,3115000.0
Belgium-Luxembourg,3184000.0
Belgium-Luxembourg,3210000.0
Belgium-Luxembourg,3163000.0
Belgium-Luxembourg,3190000.0
Belgium-Luxembourg,3159000.0
Belgium-Luxembourg,3174000.0
Belgium-Luxembourg,3257000.0
Belgium-Luxembourg,3360000.0
Belgium-Luxembourg,3311000.0
Belgium-Luxembourg,3303000.0
Belgium-Luxembourg,3289000.0
Belgium-Luxembourg,3369000.0
Belgium-Luxembourg,3363000.0
Belgium-Luxembourg,3280000.0
Belgium-Luxembourg,3184000.0
Belgium-Luxembourg,3395000.0
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Belgium-Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,
Luxembourg,205072.0
Luxembourg,205193.0
Luxembourg,197257.0
Luxembourg,189674.0
Luxembourg,186725.0
Luxembourg,185235.0
Luxembourg,183640.0
Luxembourg,191928.0
Luxembourg,195661.0
Luxembourg,196470.0
Luxembourg,198892.0
Luxembourg,192535.0
Luxembourg,188473.0
Luxembourg,193623.0
Luxembourg,198780.0
Luxembourg,201036.0
Luxembourg,201416.0
Luxembourg,202281.0
Luxembourg,194390.0
Luxembourg,192100.0
Luxembourg,190690.0
Luxembourg,187200.0
