Country,Year,Stock,Key,impN,agrN,impP,agrK,GL_kha_x,Pop1000,YLDhga_x,PrTn_x,SlHd_x,YLDhga_y,PrTn_y,SlHd_y,GL_kha_y
Belgium,2002,2891260,Belgium2002,491700,151095,252373,77116,613.0,10355.568,3275.0,305388.0,932473.0,3275.0,305388.0,932473.0,613.0
Belgium,2003,2778077,Belgium2003,615065,153095,275679,87116,612.0,10402.55,3223.0,275170.0,853641.0,3223.0,275170.0,853641.0,612.0
Belgium,2004,2738648,Belgium2004,493688,146645,205086,86733,607.0,10456.163,3334.0,280931.0,842585.0,3334.0,280931.0,842585.0,607.0
Belgium,2005,2698649,Belgium2005,533790,144770,182702,85612,600.0,10516.978,3245.0,267156.0,823231.0,3245.0,267156.0,823231.0,600.0
Belgium,2006,2669076,Belgium2006,681129,139966,183582,87124,599.0,10582.975,3502.0,286979.0,819494.0,3502.0,286979.0,819494.0,599.0
Belgium,2007,2649392,Belgium2007,446845,152688,201341,83147,588.0,10653.697,3532.0,287977.0,815229.0,3532.0,287977.0,815229.0,588.0
Belgium,2008,2605532,Belgium2008,685005,136671,223184,36880,580.0,10726.716,3508.0,285037.0,812541.0,3508.0,285037.0,812541.0,580.0
Belgium,2009,2600453,Belgium2009,305204,155616,114017,58266,582.0,10801.356,3314.0,261801.0,789986.0,3314.0,261801.0,789986.0,582.0
Belgium,2010,2593000,Belgium2010,564931,171234,174120,71951,579.0,10877.947,3372.0,281634.0,835198.0,3372.0,281634.0,835198.0,579.0
Belgium,2011,2560319,Belgium2011,525932,166554,143697,70818,569.0,10955.743,3176.0,272282.0,857196.0,3176.0,272282.0,857196.0,569.0
Belgium,2012,2484272,Belgium2012,482869,165325,144323,73685,578.0,11031.139,3189.0,262280.0,822565.0,3189.0,262280.0,822565.0,578.0
Belgium,2013,2454704,Belgium2013,503949,167414,169436,70438,568.0,11103.257,3101.0,249973.0,806179.0,3101.0,249973.0,806179.0,568.0
Belgium,2014,2477236,Belgium2014,553600,175892,108680,55822,560.0,11176.723,3085.0,257670.0,835331.0,3085.0,257670.0,835331.0,560.0
Belgium,2015,2503262,Belgium2015,449266,177198,125606,58308,557.0,11248.303,3070.0,267877.0,872548.0,3070.0,267877.0,872548.0,557.0
