Year,Area,count
1970,Belgium,1
1970,Croatia,1
1970,Czechia,1
1970,Estonia,1
1970,Latvia,1
1970,Lithuania,1
1970,Luxembourg,1
1970,Slovakia,1
1970,Slovenia,1
1971,Belgium,1
1971,Croatia,1
1971,Czechia,1
1971,Estonia,1
1971,Latvia,1
1971,Lithuania,1
1971,Luxembourg,1
1971,Slovakia,1
1971,Slovenia,1
1972,Belgium,1
1972,Croatia,1
1972,Czechia,1
1972,Estonia,1
1972,Latvia,1
1972,Lithuania,1
1972,Luxembourg,1
1972,Slovakia,1
1972,Slovenia,1
1973,Belgium,1
1973,Croatia,1
1973,Czechia,1
1973,Estonia,1
1973,Latvia,1
1973,Lithuania,1
1973,Luxembourg,1
1973,Slovakia,1
1973,Slovenia,1
1974,Belgium,1
1974,Croatia,1
1974,Czechia,1
1974,Estonia,1
1974,Latvia,1
1974,Lithuania,1
1974,Luxembourg,1
1974,Slovakia,1
1974,Slovenia,1
1975,Belgium,1
1975,Croatia,1
1975,Czechia,1
1975,Estonia,1
1975,Latvia,1
1975,Lithuania,1
1975,Luxembourg,1
1975,Slovakia,1
1975,Slovenia,1
1976,Belgium,1
1976,Croatia,1
1976,Czechia,1
1976,Estonia,1
1976,Latvia,1
1976,Lithuania,1
1976,Luxembourg,1
1976,Slovakia,1
1976,Slovenia,1
1977,Belgium,1
1977,Croatia,1
1977,Czechia,1
1977,Estonia,1
1977,Latvia,1
1977,Lithuania,1
1977,Luxembourg,1
1977,Slovakia,1
1977,Slovenia,1
1978,Belgium,1
1978,Croatia,1
1978,Czechia,1
1978,Estonia,1
1978,Latvia,1
1978,Lithuania,1
1978,Luxembourg,1
1978,Slovakia,1
1978,Slovenia,1
1979,Belgium,1
1979,Croatia,1
1979,Czechia,1
1979,Estonia,1
1979,Latvia,1
1979,Lithuania,1
1979,Luxembourg,1
1979,Slovakia,1
1979,Slovenia,1
1980,Belgium,1
1980,Croatia,1
1980,Czechia,1
1980,Estonia,1
1980,Latvia,1
1980,Lithuania,1
1980,Luxembourg,1
1980,Slovakia,1
1980,Slovenia,1
1981,Belgium,1
1981,Croatia,1
1981,Czechia,1
1981,Estonia,1
1981,Latvia,1
1981,Lithuania,1
1981,Luxembourg,1
1981,Slovakia,1
1981,Slovenia,1
1982,Belgium,1
1982,Croatia,1
1982,Czechia,1
1982,Estonia,1
1982,Latvia,1
1982,Lithuania,1
1982,Luxembourg,1
1982,Slovakia,1
1982,Slovenia,1
1983,Belgium,1
1983,Croatia,1
1983,Czechia,1
1983,Estonia,1
1983,Latvia,1
1983,Lithuania,1
1983,Luxembourg,1
1983,Slovakia,1
1983,Slovenia,1
1984,Belgium,1
1984,Croatia,1
1984,Czechia,1
1984,Estonia,1
1984,Latvia,1
1984,Lithuania,1
1984,Luxembourg,1
1984,Slovakia,1
1984,Slovenia,1
1985,Belgium,1
1985,Croatia,1
1985,Czechia,1
1985,Estonia,1
1985,Latvia,1
1985,Lithuania,1
1985,Luxembourg,1
1985,Slovakia,1
1985,Slovenia,1
1986,Belgium,1
1986,Croatia,1
1986,Czechia,1
1986,Estonia,1
1986,Latvia,1
1986,Lithuania,1
1986,Luxembourg,1
1986,Slovakia,1
1986,Slovenia,1
1987,Belgium,1
1987,Croatia,1
1987,Czechia,1
1987,Estonia,1
1987,Latvia,1
1987,Lithuania,1
1987,Luxembourg,1
1987,Slovakia,1
1987,Slovenia,1
1988,Belgium,1
1988,Croatia,1
1988,Czechia,1
1988,Estonia,1
1988,Latvia,1
1988,Lithuania,1
1988,Luxembourg,1
1988,Slovakia,1
1988,Slovenia,1
1989,Belgium,1
1989,Croatia,1
1989,Czechia,1
1989,Estonia,1
1989,Latvia,1
1989,Lithuania,1
1989,Luxembourg,1
1989,Slovakia,1
1989,Slovenia,1
1990,Belgium,1
1990,Croatia,1
1990,Czechia,1
1990,Estonia,1
1990,Latvia,1
1990,Lithuania,1
1990,Luxembourg,1
1990,Slovakia,1
1990,Slovenia,1
1991,Belgium,1
1991,Croatia,1
1991,Czechia,1
1991,Estonia,1
1991,Latvia,1
1991,Lithuania,1
1991,Luxembourg,1
1991,Slovakia,1
1991,Slovenia,1
1992,Belgium,1
1992,Czechia,1
1992,Luxembourg,1
1992,Slovakia,1
1993,Belgium,1
1993,Luxembourg,1
1994,Belgium,1
1994,Luxembourg,1
1995,Belgium,1
1995,Luxembourg,1
1996,Belgium,1
1996,Luxembourg,1
1997,Belgium,1
1997,Luxembourg,1
1998,Belgium,1
1998,Luxembourg,1
1999,Belgium,1
1999,Luxembourg,1
