key,pr_mm/yr
Austria1901,1052.84
Austria1902,1061.55
Austria1903,1201.34
Austria1904,1146.14
Austria1905,1127.85
Austria1906,1211.06
Austria1907,1101.37
Austria1908,880.41
Austria1909,1146.83
Austria1910,1372.85
Austria1911,971.84
Austria1912,1218.48
Austria1913,1182.65
Austria1914,1146.88
Austria1915,1214.89
Austria1916,1331.02
Austria1917,1011.97
Austria1918,1169.24
Austria1919,1193.82
Austria1920,1078.41
Austria1921,883.22
Austria1922,1218.15
Austria1923,1178.92
Austria1924,1001.62
Austria1925,1174.19
Austria1926,1272.44
Austria1927,1115.89
Austria1928,1112.49
Austria1929,952.2
Austria1930,1128.88
Austria1931,1100.92
Austria1932,906.68
Austria1933,1221.19
Austria1934,1020.52
Austria1935,1139.37
Austria1936,1157.11
Austria1937,1329.22
Austria1938,1012.57
Austria1939,1160.48
Austria1940,1111.45
Austria1941,1193.58
Austria1942,955.56
Austria1943,961.45
Austria1944,1306.63
Austria1945,1027.72
Austria1946,985.91
Austria1947,947.52
Austria1948,1156.18
Austria1949,1060.86
Austria1950,1094.36
Austria1951,1093.38
Austria1952,1146.16
Austria1953,912.84
Austria1954,1290.03
Austria1955,1117.25
Austria1956,1155.02
Austria1957,1079.99
Austria1958,1247.48
Austria1959,1076.78
Austria1960,1165.66
Austria1961,1027.48
Austria1962,1137.23
Austria1963,977.89
Austria1964,1149.87
Austria1965,1316.39
Austria1966,1301.04
Austria1967,1041.4
Austria1968,1012.92
Austria1969,989.2
Austria1970,1222.33
Austria1971,818.44
Austria1972,1098.63
Austria1973,1026.19
Austria1974,1132.9
Austria1975,1088.17
Austria1976,994.26
Austria1977,1034.23
Austria1978,974.93
Austria1979,1285.02
Austria1980,1078.03
Austria1981,1095.97
Austria1982,1032.12
Austria1983,942.37
Austria1984,978.45
Austria1985,1128.86
Austria1986,996.72
Austria1987,1181.42
Austria1988,1117.44
Austria1989,1051.32
Austria1990,1109.5
Austria1991,1080.48
Austria1992,1066.12
Austria1993,1049.61
Austria1994,1029.76
Austria1995,1144.6
Austria1996,1182.63
Austria1997,1067.58
Austria1998,1109.68
Austria1999,1172.43
Austria2000,1171.79
Austria2001,1058.36
Austria2002,1212.56
Austria2003,891.8
Austria2004,1080.3
Austria2005,1125.97
Austria2006,1043.76
Austria2007,1164.0
Austria2008,1097.08
Austria2009,1223.73
Austria2010,1158.11
Austria2011,947.19
Austria2012,1126.57
Austria2013,1167.4
Austria2014,1242.28
Austria2015,1076.54
Austria2016,1346.71
Austria2017,1271.81
Austria2018,1099.63
Austria2019,1188.97
Austria2020,1279.32
Austria2021,1090.11
Belgium1901,702.0
Belgium1902,747.48
Belgium1903,900.16
Belgium1904,679.13
Belgium1905,857.02
Belgium1906,840.78
Belgium1907,690.42
Belgium1908,732.12
Belgium1909,864.58
Belgium1910,1018.47
Belgium1911,715.69
Belgium1912,907.4
Belgium1913,838.54
Belgium1914,909.08
Belgium1915,965.17
Belgium1916,998.85
Belgium1917,844.34
Belgium1918,889.77
Belgium1919,912.36
Belgium1920,762.24
Belgium1921,452.18
Belgium1922,924.05
Belgium1923,956.21
Belgium1924,888.71
Belgium1925,1062.41
Belgium1926,894.74
Belgium1927,877.42
Belgium1928,883.73
Belgium1929,706.82
Belgium1930,1010.76
Belgium1931,880.43
Belgium1932,862.42
Belgium1933,667.23
Belgium1934,738.9
Belgium1935,937.92
Belgium1936,866.05
Belgium1937,945.05
Belgium1938,818.24
Belgium1939,1030.46
Belgium1940,912.19
Belgium1941,847.4
Belgium1942,852.27
Belgium1943,835.82
Belgium1944,968.12
Belgium1945,848.07
Belgium1946,919.92
Belgium1947,789.94
Belgium1948,977.12
Belgium1949,690.84
Belgium1950,1004.44
Belgium1951,1019.32
Belgium1952,1094.23
Belgium1953,636.9
Belgium1954,906.51
Belgium1955,753.88
Belgium1956,885.66
Belgium1957,928.93
Belgium1958,995.59
Belgium1959,619.68
Belgium1960,1004.74
Belgium1961,1009.77
Belgium1962,862.66
Belgium1963,758.84
Belgium1964,776.27
Belgium1965,1136.09
Belgium1966,1156.2
Belgium1967,816.65
Belgium1968,833.33
Belgium1969,827.96
Belgium1970,876.32
Belgium1971,672.8
Belgium1972,778.64
Belgium1973,742.96
Belgium1974,1076.7
Belgium1975,757.36
Belgium1976,577.93
Belgium1977,920.07
Belgium1978,796.6
Belgium1979,944.97
Belgium1980,967.63
Belgium1981,1098.78
Belgium1982,901.74
Belgium1983,873.67
Belgium1984,999.42
Belgium1985,795.0
Belgium1986,973.89
