Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Stock
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2000,2000,Head,2152811
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2001,2001,Head,2155447
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2002,2002,Head,2118454
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2003,2003,Head,2066942
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2004,2004,Head,2052033
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2005,2005,Head,2050991
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2006,2006,Head,2010680
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2007,2007,Head,2002919
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2008,2008,Head,2000196
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2009,2009,Head,1997209
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2010,2010,Head,2026260
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2011,2011,Head,2013281
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2012,2012,Head,1976527
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2013,2013,Head,1955618
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2014,2014,Head,1958282
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2015,2015,Head,1961201
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2016,2016,Head,1957610
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2017,2017,Head,1954391
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2018,2018,Head,1912810
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2019,2019,Head,1879520
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2020,2020,Head,1855430
QCL,Crops and livestock products,40,Austria,5111,Stocks,2111,Cattle,2021,2021,Head,1870100
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2000,2000,Head,3041560
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2001,2001,Head,3037760
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2002,2002,Head,2891260
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2003,2003,Head,2778077
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2004,2004,Head,2738648
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2005,2005,Head,2698649
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2006,2006,Head,2669076
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2007,2007,Head,2649392
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2008,2008,Head,2605532
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2009,2009,Head,2600453
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2010,2010,Head,2593000
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2011,2011,Head,2560319
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2012,2012,Head,2484272
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2013,2013,Head,2454704
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2014,2014,Head,2477236
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2015,2015,Head,2503262
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2016,2016,Head,2501349
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2017,2017,Head,2385988
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2018,2018,Head,2398090
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2019,2019,Head,2373100
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2020,2020,Head,2335440
QCL,Crops and livestock products,56,Belgium,5111,Stocks,2111,Cattle,2021,2021,Head,2310440
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2000,2000,Head,681661
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2001,2001,Head,639778
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2002,2002,Head,634466
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2003,2003,Head,691230
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2004,2004,Head,728336
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2005,2005,Head,671579
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2006,2006,Head,621797
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2007,2007,Head,628271
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2008,2008,Head,602056
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2009,2009,Head,564904
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2010,2010,Head,539555
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2011,2011,Head,544456
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2012,2012,Head,557641
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2013,2013,Head,526112
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2014,2014,Head,575584
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2015,2015,Head,552807
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2016,2016,Head,550201
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2017,2017,Head,557866
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2018,2018,Head,542120
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2019,2019,Head,527190
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2020,2020,Head,588910
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,2111,Cattle,2021,2021,Head,611200
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2000,2000,Head,426570
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2001,2001,Head,438423
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2002,2002,Head,417113
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2003,2003,Head,444320
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2004,2004,Head,465935
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2005,2005,Head,471025
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2006,2006,Head,482905
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2007,2007,Head,467077
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2008,2008,Head,453555
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2009,2009,Head,447000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2010,2010,Head,444000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2011,2011,Head,446555
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2012,2012,Head,452000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2013,2013,Head,442000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2014,2014,Head,441000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2015,2015,Head,440092
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2016,2016,Head,444613
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2017,2017,Head,450757
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2018,2018,Head,414000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2019,2019,Head,420000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2020,2020,Head,423000
QCL,Crops and livestock products,191,Croatia,5111,Stocks,2111,Cattle,2021,2021,Head,428000
QCL,Crops and livestock products,196,Cyprus,5111,Stocks,2111,Cattle,2000,2000,Head,53979
QCL,Crops and livestock products,196,Cyprus,5111,Stocks,2111,Cattle,2001,2001,Head,53434
QCL,Crops and livestock products,196,Cyprus,5111,Stocks,2111,Cattle,2002,2002,Head,58156
QCL,Crops and livestock products,196,Cyprus,5111,Stocks,2111,Cattle,2003,2003,Head,58335
