Country,Year,Stock,Key,Rmmy,T°C
Austria,2000,2152811,Austria2000,1171.79,7.97
Austria,2001,2155447,Austria2001,1058.36,7.03
Austria,2002,2118454,Austria2002,1212.56,7.73
Austria,2003,2066942,Austria2003,891.8,7.35
Austria,2004,2052033,Austria2004,1080.3,6.75
Austria,2005,2050991,Austria2005,1125.97,6.42
Austria,2006,2010680,Austria2006,1043.76,7.22
Austria,2007,2002919,Austria2007,1164.0,7.8
Austria,2008,2000196,Austria2008,1097.08,7.65
Austria,2009,1997209,Austria2009,1223.73,7.5
Austria,2010,2026260,Austria2010,1158.11,6.53
Austria,2011,2013281,Austria2011,947.19,7.91
Austria,2012,1976527,Austria2012,1126.57,7.68
Austria,2013,1955618,Austria2013,1167.4,7.36
Austria,2014,1958282,Austria2014,1242.28,8.36
Austria,2015,1961201,Austria2015,1076.54,8.29
Austria,2016,1957610,Austria2016,1346.71,7.75
Austria,2017,1954391,Austria2017,1271.81,7.69
Austria,2018,1912810,Austria2018,1099.63,8.54
Austria,2019,1879520,Austria2019,1188.97,8.39
Austria,2020,1855430,Austria2020,1279.32,8.24
Austria,2021,1870100,Austria2021,1090.11,7.35
Belgium,2000,3041560,Belgium2000,1043.98,10.96
Belgium,2001,3037760,Belgium2001,1088.7,10.48
Belgium,2002,2891260,Belgium2002,1033.0,10.9
Belgium,2003,2778077,Belgium2003,730.79,10.78
Belgium,2004,2738648,Belgium2004,882.16,10.38
Belgium,2005,2698649,Belgium2005,867.01,10.69
Belgium,2006,2669076,Belgium2006,891.7,10.98
Belgium,2007,2649392,Belgium2007,988.59,11.09
Belgium,2008,2605532,Belgium2008,936.48,10.57
Belgium,2009,2600453,Belgium2009,885.15,10.64
Belgium,2010,2593000,Belgium2010,910.47,9.36
Belgium,2011,2560319,Belgium2011,795.14,11.19
Belgium,2012,2484272,Belgium2012,1001.32,10.43
Belgium,2013,2454704,Belgium2013,887.03,9.92
Belgium,2014,2477236,Belgium2014,894.0,11.71
Belgium,2015,2503262,Belgium2015,845.68,11.07
Belgium,2016,2501349,Belgium2016,951.0,10.75
Belgium,2017,2385988,Belgium2017,880.52,11.06
Belgium,2018,2398090,Belgium2018,777.59,11.64
Belgium,2019,2373100,Belgium2019,873.99,11.38
Belgium,2020,2335440,Belgium2020,845.66,11.88
Belgium,2021,2310440,Belgium2021,986.24,10.47
Bulgaria,2000,681661,Bulgaria2000,433.63,11.54
Bulgaria,2001,639778,Bulgaria2001,552.33,11.45
Bulgaria,2002,634466,Bulgaria2002,703.82,11.52
Bulgaria,2003,691230,Bulgaria2003,615.62,10.69
Bulgaria,2004,728336,Bulgaria2004,630.66,11.08
Bulgaria,2005,671579,Bulgaria2005,808.69,10.7
Bulgaria,2006,621797,Bulgaria2006,679.76,10.86
Bulgaria,2007,628271,Bulgaria2007,694.18,11.95
Bulgaria,2008,602056,Bulgaria2008,510.9,11.86
Bulgaria,2009,564904,Bulgaria2009,751.01,11.83
Bulgaria,2010,539555,Bulgaria2010,787.21,11.79
Bulgaria,2011,544456,Bulgaria2011,532.72,10.88
Bulgaria,2012,557641,Bulgaria2012,663.29,11.88
Bulgaria,2013,526112,Bulgaria2013,604.88,11.97
Bulgaria,2014,575584,Bulgaria2014,949.68,12.01
Bulgaria,2015,552807,Bulgaria2015,754.09,11.86
Bulgaria,2016,550201,Bulgaria2016,693.42,11.91
Bulgaria,2017,557866,Bulgaria2017,760.61,11.76
Bulgaria,2018,542120,Bulgaria2018,718.75,12.35
Bulgaria,2019,527190,Bulgaria2019,562.68,12.82
Bulgaria,2020,588910,Bulgaria2020,629.39,12.5
Bulgaria,2021,611200,Bulgaria2021,809.23,11.98
Croatia,2000,426570,Croatia2000,928.17,12.42
Croatia,2001,438423,Croatia2001,1076.72,11.49
Croatia,2002,417113,Croatia2002,1199.82,12.13
Croatia,2003,444320,Croatia2003,798.35,11.71
Croatia,2004,465935,Croatia2004,1199.28,11.11
Croatia,2005,471025,Croatia2005,1197.81,10.69
Croatia,2006,482905,Croatia2006,947.28,11.53
Croatia,2007,467077,Croatia2007,1048.48,12.31
Croatia,2008,453555,Croatia2008,1058.59,12.22
Croatia,2009,447000,Croatia2009,1141.27,12.09
Croatia,2010,444000,Croatia2010,1352.65,11.2
Croatia,2011,446555,Croatia2011,760.43,12.1
Croatia,2012,452000,Croatia2012,994.14,12.28
Croatia,2013,442000,Croatia2013,1252.99,11.99
Croatia,2014,441000,Croatia2014,1467.65,12.62
Croatia,2015,440092,Croatia2015,1074.47,12.51
Croatia,2016,444613,Croatia2016,1197.94,12.1
Croatia,2017,450757,Croatia2017,1028.21,12.13
Croatia,2018,414000,Croatia2018,1080.57,12.92
Croatia,2019,420000,Croatia2019,1250.94,12.91
Croatia,2020,423000,Croatia2020,1082.7,12.46
Croatia,2021,428000,Croatia2021,1040.53,11.95
Cyprus,2000,53979,Cyprus2000,493.39,18.48
Cyprus,2001,53434,Cyprus2001,505.94,19.55
Cyprus,2002,58156,Cyprus2002,438.03,18.8
Cyprus,2003,58335,Cyprus2003,585.69,18.95
Cyprus,2004,60311,Cyprus2004,500.05,18.73
Cyprus,2005,57579,Cyprus2005,389.97,18.66
Cyprus,2006,56109,Cyprus2006,368.42,18.52
Cyprus,2007,55920,Cyprus2007,443.22,18.97
Cyprus,2008,55684,Cyprus2008,278.42,19.04
Cyprus,2009,54097,Cyprus2009,613.16,19.06
Cyprus,2010,54715,Cyprus2010,418.97,20.35
Cyprus,2011,56915,Cyprus2011,515.79,18.56
Cyprus,2012,56918,Cyprus2012,711.06,19.32
Cyprus,2013,57582,Cyprus2013,340.57,19.36
Cyprus,2014,60874,Cyprus2014,454.68,19.49
Cyprus,2015,58559,Cyprus2015,493.38,18.86
