Key,T°C
Austria1901,5.41
Austria1902,5.34
Austria1903,5.88
Austria1904,6.22
Austria1905,5.79
Austria1906,5.69
Austria1907,5.7
Austria1908,5.27
Austria1909,5.18
Austria1910,5.92
Austria1911,6.45
Austria1912,5.44
Austria1913,5.86
Austria1914,5.58
Austria1915,5.67
Austria1916,6.45
Austria1917,5.46
Austria1918,6.17
Austria1919,5.29
Austria1920,6.61
Austria1921,6.63
Austria1922,5.39
Austria1923,6.21
Austria1924,5.37
Austria1925,5.79
Austria1926,6.54
Austria1927,6.26
Austria1928,6.4
Austria1929,5.67
Austria1930,6.55
Austria1931,5.4
Austria1932,6.08
Austria1933,5.09
Austria1934,7.17
Austria1935,5.89
Austria1936,6.24
Austria1937,6.3
Austria1938,6.11
Austria1939,5.98
Austria1940,4.54
Austria1941,5.05
Austria1942,5.61
Austria1943,6.71
Austria1944,5.74
Austria1945,6.51
Austria1946,6.63
Austria1947,6.68
Austria1948,6.69
Austria1949,6.73
Austria1950,6.83
Austria1951,6.85
Austria1952,5.94
Austria1953,6.64
Austria1954,5.5
Austria1955,5.65
Austria1956,5.14
Austria1957,6.55
Austria1958,6.46
Austria1959,6.72
Austria1960,6.27
Austria1961,6.96
Austria1962,5.27
Austria1963,5.61
Austria1964,6.09
Austria1965,5.51
Austria1966,6.6
Austria1967,6.62
Austria1968,6.17
Austria1969,5.85
Austria1970,5.73
Austria1971,6.3
Austria1972,6.05
Austria1973,6.01
Austria1974,6.7
Austria1975,6.71
Austria1976,6.18
Austria1977,6.78
Austria1978,5.66
Austria1979,6.21
Austria1980,5.47
Austria1981,6.32
Austria1982,6.79
Austria1983,7.07
Austria1984,5.94
Austria1985,5.82
Austria1986,6.24
Austria1987,6.04
Austria1988,6.94
Austria1989,7.21
Austria1990,7.18
Austria1991,6.3
Austria1992,7.45
Austria1993,6.86
Austria1994,8.11
Austria1995,6.83
Austria1996,5.84
Austria1997,6.98
Austria1998,7.13
Austria1999,7.17
Austria2000,7.97
Austria2001,7.03
Austria2002,7.73
Austria2003,7.35
Austria2004,6.75
Austria2005,6.42
Austria2006,7.22
Austria2007,7.8
Austria2008,7.65
Austria2009,7.5
Austria2010,6.53
Austria2011,7.91
Austria2012,7.68
Austria2013,7.36
Austria2014,8.36
Austria2015,8.29
Austria2016,7.75
Austria2017,7.69
