Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1961","1961","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1962","1962","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1963","1963","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1964","1964","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1965","1965","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1966","1966","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1967","1967","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1968","1968","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1969","1969","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1970","1970","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1971","1971","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1972","1972","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1973","1973","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1974","1974","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1975","1975","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1976","1976","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1977","1977","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1978","1978","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1979","1979","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21111.02","Meat of cattle boneless, fresh or chilled","1980","1980","tonnes","0","A","Official figure"
