Variable:,pr
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1901,1052.84,633.61,1547.79,699.86,1017.51,1237.93,1223.68,1084.61,1062.63,566.50
1902,1061.55,733.72,1422.09,749.00,1078.58,1311.91,1236.35,1025.45,988.90,616.59
1903,1201.34,886.21,1644.53,949.68,1175.02,1442.62,1375.33,1087.99,975.41,849.18
1904,1146.14,791.57,1672.09,770.29,1047.64,1412.12,1435.88,1066.47,999.76,650.91
1905,1127.85,755.93,1538.84,773.03,1090.25,1417.85,1289.00,1168.55,1114.52,655.93
1906,1211.06,821.31,1585.23,942.22,1280.92,1440.71,1421.36,1071.49,1016.49,763.91
1907,1101.37,698.22,1539.30,758.58,1128.95,1417.49,1300.21,1027.36,940.86,608.66
1908,880.41,537.72,1159.47,605.35,881.92,1112.22,980.99,930.25,990.72,482.06
1909,1146.83,736.76,1540.68,886.01,1177.25,1372.43,1322.02,1051.92,1019.98,732.24
1910,1372.85,899.91,1807.62,1036.43,1404.23,1637.99,1541.60,1343.32,1360.91,864.95
1911,971.84,663.38,1380.20,718.07,905.55,1178.74,1117.38,960.20,822.29,610.30
1912,1218.48,773.87,1570.90,877.41,1309.21,1543.27,1327.02,1232.94,1206.47,739.43
1913,1182.65,770.73,1504.47,826.11,1243.96,1496.91,1338.31,1205.32,1165.11,674.71
1914,1146.88,731.72,1606.35,762.30,1136.62,1444.10,1318.59,1164.16,1144.97,623.80
1915,1214.89,870.03,1616.17,955.62,1281.71,1375.68,1398.88,1086.71,1066.34,797.29
1916,1331.02,860.61,1865.47,930.69,1276.36,1613.55,1548.90,1342.44,1272.70,780.12
1917,1011.97,640.02,1473.32,649.35,913.61,1256.86,1221.50,1050.77,1001.20,507.57
1918,1169.24,822.97,1524.64,891.90,1167.13,1410.98,1380.33,1094.10,989.76,750.81
1919,1193.82,764.98,1637.06,897.59,1209.84,1431.49,1355.53,1140.14,1098.91,748.98
1920,1078.41,704.89,1383.38,814.26,1098.16,1322.67,1231.47,1067.19,944.15,690.66
1921,883.22,596.74,1034.01,691.06,964.33,1105.57,972.24,870.61,807.80,581.39
1922,1218.15,732.71,1547.50,844.38,1315.84,1519.00,1325.76,1283.84,1366.81,660.63
1923,1178.92,757.92,1657.94,815.12,1150.98,1416.15,1446.92,1116.13,1053.37,651.91
1924,1001.62,594.54,1403.95,654.62,1021.11,1306.49,1112.17,1038.99,1030.43,545.80
1925,1174.19,797.47,1675.51,872.76,1187.85,1435.74,1388.91,1023.29,928.24,750.00
1926,1272.44,850.00,1750.21,940.91,1315.05,1552.39,1480.10,1159.31,1076.14,787.41
1927,1115.89,719.63,1602.83,711.61,1031.71,1377.08,1354.31,1138.87,1138.48,568.40
1928,1112.49,673.99,1475.82,804.69,1145.01,1394.33,1262.48,1101.07,1068.08,635.37
1929,952.20,624.73,1319.29,683.47,917.85,1170.85,1112.79,937.48,862.33,568.74
1930,1128.88,834.50,1420.54,881.47,1203.64,1224.22,1319.08,1027.18,1157.70,734.78
1931,1100.92,658.25,1555.65,709.04,1106.12,1488.50,1222.42,1140.99,1094.77,571.40
1932,906.68,516.88,1202.01,601.71,988.86,1158.47,1010.68,927.99,973.86,444.59
1933,1221.19,795.61,1747.07,816.12,1212.97,1519.89,1486.85,1154.87,1026.89,645.62
1934,1020.52,635.03,1643.04,651.52,888.47,1223.03,1223.12,1022.98,981.29,537.42
1935,1139.37,673.52,1607.99,724.12,1124.76,1477.33,1302.09,1199.74,1166.78,564.41
1936,1157.11,765.28,1535.73,824.74,1237.52,1375.68,1366.44,1078.09,1083.70,674.31
1937,1329.22,944.96,1937.19,971.28,1241.06,1550.76,1621.95,1210.81,1082.46,831.88
1938,1012.57,683.33,1321.41,764.24,1054.30,1206.50,1207.83,907.32,924.25,630.38
1939,1160.48,773.09,1379.92,911.73,1263.65,1348.85,1247.89,1175.34,1272.12,758.45
1940,1111.45,812.79,1420.85,840.57,1124.02,1255.60,1253.62,1094.22,1262.98,716.06
1941,1193.58,818.19,1425.32,985.89,1365.25,1358.18,1359.60,1049.48,1039.65,790.74
1942,955.56,603.33,1183.39,711.55,1021.39,1222.42,1051.77,950.49,952.26,581.62
1943,961.45,657.05,1260.80,697.90,1029.11,1155.92,1149.79,867.41,843.24,573.42
1944,1306.63,878.42,1568.50,989.11,1472.10,1609.69,1467.86,1236.79,1232.26,810.08
1945,1027.72,605.39,1287.69,734.62,1164.94,1399.57,1069.28,1034.90,1035.43,608.60
1946,985.91,650.87,1236.48,763.52,1015.95,1202.25,1098.94,975.26,939.83,642.05
1947,947.52,591.82,1289.28,674.06,974.91,1171.36,1083.07,925.95,891.76,549.20
1948,1156.18,710.99,1594.18,779.23,1263.06,1500.39,1334.31,1088.88,967.32,607.68
1949,1060.86,681.70,1322.12,801.71,1213.40,1411.77,1186.70,959.86,785.92,648.00
1950,1094.36,781.10,1421.21,842.99,1090.63,1295.14,1261.96,1038.98,1034.15,719.46
1951,1093.38,787.65,1551.93,810.69,1001.43,1291.56,1276.12,1067.08,959.27,731.41
1952,1146.16,639.28,1523.47,759.74,1257.80,1482.64,1274.45,1173.29,1168.84,562.23
1953,912.84,595.10,1237.61,665.79,912.89,1135.70,1043.44,899.64,801.69,550.87
1954,1290.03,831.14,1651.85,889.79,1356.03,1707.08,1438.96,1334.32,1184.53,724.55
1955,1117.25,681.01,1423.68,823.08,1233.39,1406.29,1207.75,1119.39,1085.40,659.79
1956,1155.02,673.98,1538.35,771.38,1247.69,1514.86,1299.38,1168.44,1107.14,593.10
1957,1079.99,701.87,1396.77,797.80,1112.73,1368.13,1191.60,1084.77,1031.13,666.82
1958,1247.48,723.81,1724.20,859.33,1309.06,1601.29,1434.37,1201.75,1155.77,678.13
1959,1076.78,713.94,1440.55,815.97,1158.69,1324.15,1259.91,942.37,848.49,672.26
1960,1165.66,713.82,1663.48,779.02,1170.47,1437.49,1299.36,1212.37,1187.33,621.93
1961,1027.48,661.03,1376.03,725.82,1098.62,1326.87,1148.82,990.49,949.97,592.66
