Variable:,pr
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
1901,702.00,601.90,625.76,760.49
1902,747.48,685.90,655.31,816.02
1903,900.16,816.30,812.54,965.97
1904,679.13,625.90,597.03,740.22
1905,857.02,813.90,783.61,911.38
1906,840.78,796.60,758.94,901.42
1907,690.42,627.80,605.70,753.98
1908,732.12,689.10,658.49,787.00
1909,864.58,824.30,787.20,921.96
1910,1018.47,980.80,897.53,1107.19
1911,715.69,696.40,653.36,761.61
1912,907.40,881.80,860.57,941.92
1913,838.54,814.70,759.44,897.11
1914,909.08,851.60,801.01,989.36
1915,965.17,904.20,863.67,1040.23
1916,998.85,935.20,883.61,1084.34
1917,844.34,819.00,771.58,898.09
1918,889.77,811.10,794.83,960.94
1919,912.36,850.20,809.38,988.71
1920,762.24,720.90,678.81,824.30
1921,452.18,433.70,413.34,480.51
1922,924.05,849.10,796.25,1019.26
1923,956.21,909.30,855.20,1030.37
1924,888.71,832.30,790.83,961.52
1925,1062.41,1010.30,956.69,1140.16
1926,894.74,839.20,805.10,961.70
1927,877.42,823.90,798.38,936.62
1928,883.73,835.20,790.62,952.64
1929,706.82,648.30,623.66,769.02
1930,1010.76,920.50,889.37,1101.82
1931,880.43,829.00,777.61,956.62
1932,862.42,793.90,768.05,932.85
1933,667.23,654.20,615.62,704.86
1934,738.90,701.90,661.29,796.27
1935,937.92,863.00,846.06,1006.91
1936,866.05,783.10,754.12,949.98
1937,945.05,902.00,830.78,1029.10
1938,818.24,773.00,739.88,876.14
1939,1030.46,993.50,910.01,1118.69
1940,912.19,826.10,802.05,994.59
1941,847.40,811.70,754.19,916.42
1942,852.27,817.10,786.37,900.52
1943,835.82,761.90,728.31,915.96
1944,968.12,867.60,856.17,1052.57
1945,848.07,807.80,767.47,907.43
1946,919.92,893.00,838.37,980.05
1947,789.94,726.60,687.69,866.63
1948,977.12,944.10,852.74,1068.56
1949,690.84,620.40,602.03,757.58
1950,1004.44,942.50,892.47,1087.45
1951,1019.32,998.60,915.51,1095.30
1952,1094.23,1022.60,956.34,1196.25
1953,636.90,609.60,584.84,675.53
1954,906.51,821.10,800.33,986.65
1955,753.88,689.80,665.60,820.36
1956,885.66,813.00,789.38,957.70
1957,928.93,883.70,829.80,1002.53
1958,995.59,902.80,866.77,1091.63
1959,619.68,572.80,557.48,666.03
1960,1004.74,933.50,932.16,1059.14
1961,1009.77,948.20,903.99,1088.83
1962,862.66,796.30,760.91,938.86
1963,758.84,724.60,698.56,803.89
1964,776.27,777.60,743.53,799.69
1965,1136.09,1049.10,1004.27,1234.81
1966,1156.20,1084.00,1048.01,1237.09
1967,816.65,752.70,724.69,886.18
1968,833.33,803.40,764.05,884.55
1969,827.96,778.70,767.88,872.06
1970,876.32,786.70,768.15,958.02
1971,672.80,660.60,616.12,714.21
1972,778.64,763.90,698.01,837.48
1973,742.96,685.60,670.06,797.80
1974,1076.70,1049.70,992.02,1138.28
1975,757.36,761.00,718.25,784.60
1976,577.93,529.90,524.54,617.84
1977,920.07,896.50,824.14,990.32
1978,796.60,772.70,699.71,867.89
1979,944.97,917.50,845.26,1018.75
1980,967.63,933.30,859.81,1047.03
1981,1098.78,1022.40,972.21,1192.42
1982,901.74,859.50,782.40,989.82
1983,873.67,781.40,752.37,964.68
1984,999.42,941.70,884.75,1084.31
1985,795.00,773.60,729.83,842.72
1986,973.89,945.10,860.03,1057.10
1987,1011.53,962.80,890.14,1100.82
1988,1063.21,1023.10,921.79,1166.89
1989,794.07,735.70,670.31,885.38
1990,812.62,749.50,707.29,890.84
1991,780.89,775.90,721.31,824.27
1992,909.86,887.30,844.28,958.42
1993,964.68,929.00,873.17,1031.94
1994,935.11,903.10,868.75,984.42
1995,864.99,805.10,756.68,945.96
1996,661.51,624.40,601.53,705.99
1997,812.12,770.60,717.03,882.79
1998,1038.73,1006.50,969.36,1090.89
1999,988.99,954.90,900.21,1054.85
2000,1043.98,997.20,935.78,1123.83
2001,1088.70,1013.20,965.41,1179.85
2002,1033.00,990.80,933.44,1106.63
2003,730.79,693.90,658.14,784.53
2004,882.16,835.70,812.92,934.25
2005,867.01,863.70,819.14,902.32
2006,891.70,861.30,808.30,952.94
2007,988.59,957.60,888.96,1062.66
2008,936.48,888.10,852.23,999.37
2009,885.15,844.50,790.44,955.20
2010,910.47,858.10,819.20,977.88
2011,795.14,760.30,738.02,837.18
2012,1001.32,971.40,920.78,1059.93
2013,887.03,842.50,782.51,964.08
2014,894.00,850.60,820.11,947.99
2015,845.68,815.20,794.58,883.24
2016,951.00,913.10,856.02,1020.95
2017,880.52,839.00,804.24,936.88
2018,777.59,724.20,693.41,839.06
2019,873.99,828.10,806.43,923.85
2020,845.66,802.10,788.32,887.41
2021,986.24,949.00,893.33,1054.92
