Variable:,pr
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1901,745.45,785.37,712.79,672.89,790.62,680.79,696.30,710.53,797.87,766.72,723.87,788.81,780.37,694.62,742.94,771.76,750.99,748.15,725.29,777.53,838.59,811.62,776.78,731.46,793.30,702.28,748.37,711.17,720.09
1902,604.44,665.89,549.58,465.17,633.98,596.37,561.47,646.23,673.10,617.92,625.25,661.16,675.98,561.18,618.14,568.49,567.43,552.88,515.66,611.26,734.95,678.14,653.94,597.75,600.49,502.52,585.35,634.55,599.94
1903,552.47,577.75,549.93,467.89,576.14,570.67,549.35,613.63,567.38,545.42,538.33,564.33,572.05,494.65,554.27,549.52,529.00,545.37,510.88,581.90,655.26,574.64,554.56,555.22,572.90,505.98,537.54,540.07,520.45
1904,524.68,594.96,504.29,426.52,536.11,556.67,509.71,613.22,571.95,513.02,515.20,559.82,552.49,465.92,535.99,492.35,486.71,482.36,462.98,529.79,657.81,554.95,533.31,523.90,509.00,453.77,493.55,521.33,496.13
1905,614.19,704.52,488.85,384.37,670.53,600.22,534.76,662.80,713.44,678.76,672.41,733.02,717.00,600.73,682.43,513.06,539.69,485.54,452.23,591.04,782.21,745.65,717.21,628.96,555.36,422.10,588.65,665.57,660.40
1906,669.61,696.00,647.63,579.93,714.73,637.70,638.70,671.37,692.88,689.33,668.16,689.10,693.18,634.65,666.33,679.20,667.93,661.53,629.05,702.33,757.29,713.78,684.30,665.08,707.48,614.04,675.91,666.06,658.75
1907,482.80,542.25,484.95,440.19,488.94,526.76,478.32,591.67,473.70,456.68,435.80,508.25,456.33,415.49,491.39,481.66,458.66,478.38,463.28,495.36,634.40,473.65,445.13,479.42,488.46,456.62,453.43,436.13,426.17
1908,560.97,571.43,576.98,489.97,585.92,598.97,575.09,650.14,510.19,552.27,532.32,581.88,526.17,507.62,572.96,551.03,531.57,553.28,518.54,599.13,703.97,563.53,534.23,572.30,576.13,523.99,546.17,512.64,529.95
1909,658.06,755.07,583.52,482.48,693.67,644.35,608.74,689.57,774.04,683.42,679.77,749.01,751.92,609.34,693.52,585.06,594.19,568.14,531.75,658.25,807.56,758.56,730.79,660.81,624.93,521.84,629.41,680.79,661.00
1910,625.14,678.94,617.46,548.87,635.65,621.54,601.54,680.52,646.50,606.20,624.79,661.87,668.47,554.23,622.85,610.53,589.16,609.19,573.24,640.35,777.29,657.11,634.17,609.65,632.84,581.92,596.17,636.14,590.39
1911,574.61,701.08,519.63,461.85,587.00,585.09,528.02,670.44,631.19,567.63,542.84,663.53,599.38,510.14,601.93,542.50,535.07,522.19,509.86,565.40,784.32,619.45,584.69,559.57,556.47,480.71,540.23,540.22,534.70
1912,744.04,774.43,668.16,653.57,773.18,672.87,657.49,723.24,795.70,777.63,795.79,806.91,822.35,712.73,748.24,740.59,733.09,710.05,697.85,736.06,858.74,848.98,824.59,710.84,756.44,665.25,728.99,778.79,779.75
1913,585.76,613.94,520.71,448.94,615.80,576.88,535.41,630.41,652.53,615.89,645.15,619.56,679.92,559.95,596.66,545.21,547.66,521.40,507.94,577.55,690.15,675.19,663.91,574.98,565.93,473.73,563.75,639.75,614.79
1914,727.44,765.71,662.56,649.87,761.47,654.32,644.43,707.82,774.46,761.58,753.61,785.46,789.44,690.15,732.29,734.59,717.64,708.15,693.84,725.20,841.42,822.60,795.75,695.61,750.93,661.89,715.51,730.06,745.04
1915,789.78,853.31,683.49,627.80,853.73,699.73,688.88,734.81,918.72,859.66,842.90,880.96,910.51,769.18,823.24,746.21,745.42,721.86,686.25,780.89,890.07,928.09,890.66,775.27,784.25,661.96,779.48,842.27,828.01
1916,598.16,652.90,536.45,476.55,630.47,564.62,536.73,609.22,665.27,629.26,626.51,664.92,672.17,563.60,621.74,560.10,558.33,543.91,518.73,592.34,713.40,690.58,667.91,586.58,585.88,502.46,576.75,616.89,613.76
1917,619.96,658.20,595.84,498.95,658.63,650.67,608.50,706.25,637.56,634.88,588.29,690.84,634.25,555.67,660.27,571.12,562.40,571.26,522.48,644.86,784.25,678.52,645.87,635.52,611.79,538.41,596.38,549.97,590.09
1918,646.71,720.03,606.52,509.80,681.65,670.66,613.85,758.13,669.26,664.99,613.28,724.83,655.08,593.76,686.98,601.28,598.77,589.41,553.39,655.61,836.92,704.06,669.29,651.79,633.41,547.40,623.60,577.19,624.64
1919,817.75,848.89,821.10,753.50,848.50,840.96,824.46,890.31,807.98,800.61,756.78,862.94,809.92,714.75,828.09,816.09,773.13,823.70,771.80,875.27,984.67,847.83,807.83,824.86,852.66,790.14,793.78,739.24,748.27
1920,663.78,768.71,582.89,445.36,711.21,679.10,613.77,783.52,709.26,701.74,658.50,776.05,707.54,620.83,724.47,584.80,599.86,565.29,517.17,663.66,893.70,757.61,725.35,671.89,631.61,504.72,640.51,614.24,664.49
1921,570.05,640.17,519.77,450.50,584.87,570.53,518.72,675.98,601.37,577.29,577.38,643.51,613.41,515.77,600.45,520.98,513.52,516.51,481.25,562.42,763.09,633.56,611.11,557.47,549.99,480.92,533.91,568.07,560.90
1922,644.92,608.21,644.45,586.36,683.12,624.55,636.11,627.28,639.35,659.21,657.31,652.91,665.69,608.59,641.69,653.63,633.39,648.27,617.12,686.43,694.39,689.53,665.59,650.08,679.36,610.87,646.11,657.36,645.36
1923,644.73,717.42,581.31,491.20,700.53,636.49,600.29,695.20,685.52,685.10,623.68,732.48,672.14,609.67,690.56,598.77,604.86,580.27,541.08,659.20,815.76,721.54,683.87,654.47,637.78,529.93,636.26,598.76,634.04
1924,643.33,707.13,565.04,479.49,675.01,607.45,572.35,670.06,728.83,680.35,702.07,722.22,748.31,611.63,669.39,580.09,585.48,564.28,526.78,627.75,784.22,758.52,739.78,627.33,614.46,520.47,613.30,696.00,674.04
1925,702.51,744.17,642.88,546.92,742.49,696.91,662.00,747.86,752.80,727.78,726.91,776.05,776.62,650.81,733.34,651.19,646.20,639.23,594.24,716.56,857.46,796.05,770.94,705.52,691.63,589.98,677.84,714.91,705.56
