Variable:,pr
,Cyprus,"Girne (Kyrenia)",Famagusta,Larnaca,Limassol,Nicosia,Paphos,"Sovereign Base Areas of Akrotiri and Dhekelia (U.K.)"
1901,282.61,259.53,272.79,262.10,338.40,280.38,309.90,288.70
1902,517.09,472.77,512.86,469.05,609.50,513.52,583.02,523.34
1903,408.41,375.07,409.58,372.06,474.90,405.35,456.18,412.68
1904,586.08,542.55,573.27,529.18,688.10,584.88,657.79,590.45
1905,513.32,467.60,498.99,470.44,606.90,509.33,579.39,519.60
1906,644.43,601.11,600.93,572.30,766.40,650.20,734.66,642.78
1907,562.38,521.22,551.51,505.17,656.90,562.93,634.51,563.58
1908,607.02,556.72,566.38,542.37,732.10,608.21,699.69,609.94
1909,533.54,504.53,524.51,470.89,614.80,539.13,599.18,529.36
1910,544.38,503.50,506.85,477.09,655.40,548.45,632.71,543.53
1911,759.56,700.93,724.09,688.85,897.00,760.26,860.22,763.09
1912,507.32,465.43,505.96,465.58,590.90,503.24,563.55,512.71
1913,592.03,547.53,570.47,531.24,695.10,593.77,675.62,592.21
1914,536.89,501.02,525.12,482.89,627.30,538.16,599.46,538.12
1915,301.05,278.58,301.81,273.48,349.80,299.43,332.89,303.55
1916,520.27,472.84,496.52,471.17,621.40,518.22,596.37,524.64
1917,493.21,451.27,476.47,446.58,585.40,491.18,560.38,497.35
1918,645.98,598.92,643.38,588.15,748.70,643.29,716.62,650.82
1919,507.89,470.76,484.67,461.54,596.20,509.48,571.38,509.31
1920,573.83,530.37,512.59,503.38,702.10,579.61,671.84,573.41
1921,607.87,554.97,566.99,539.16,740.10,608.21,700.85,612.76
1922,490.95,444.25,465.98,440.80,593.80,488.67,570.48,495.95
1923,522.13,488.22,480.98,461.99,624.10,528.27,597.83,520.35
1924,618.23,573.16,594.13,545.12,727.90,622.06,713.39,616.30
1925,343.03,316.91,326.67,305.44,409.00,344.09,392.88,343.98
1926,679.84,630.02,607.42,593.01,826.40,688.21,797.66,676.38
1927,397.93,361.85,371.49,359.82,480.60,396.94,459.25,401.72
1928,522.87,478.70,491.42,465.66,625.80,524.20,608.49,523.74
1929,562.17,509.82,491.56,495.85,703.30,563.38,678.10,569.49
1930,505.52,463.73,449.82,440.90,619.20,510.28,606.10,502.88
1931,462.16,420.36,423.51,414.18,564.90,463.20,538.31,465.53
