Variable:,pr
,"Czechia",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
1901,644.96,673.31,588.28,548.45,632.96,744.23,578.91,680.99,637.26
1902,644.66,654.53,607.77,515.32,632.54,787.24,550.70,672.34,622.68
1903,767.25,772.56,786.49,613.77,702.01,962.51,653.33,827.16,649.52
1904,612.23,625.09,605.36,488.57,599.55,717.56,526.25,638.51,576.83
1905,653.02,672.70,604.29,527.76,647.88,780.90,557.74,683.55,644.39
1906,771.74,844.33,749.24,629.96,704.47,892.62,672.00,803.06,729.52
1907,676.80,686.13,607.74,562.10,700.04,790.75,596.39,729.77,665.06
1908,562.31,563.54,497.80,462.97,576.42,694.24,490.20,594.09,553.97
1909,765.83,787.24,724.95,630.25,744.32,912.89,667.96,826.22,713.59
1910,864.25,947.13,869.19,697.63,773.80,1007.17,748.32,911.55,770.87
1911,592.87,602.70,589.56,476.67,567.62,700.70,514.06,646.57,528.64
1912,782.04,820.29,742.26,634.27,738.55,948.86,672.13,811.31,748.82
1913,682.13,727.29,633.11,565.45,641.89,791.59,595.81,706.81,687.93
1914,668.89,701.21,616.17,543.15,668.92,776.36,580.87,691.56,669.81
1915,822.68,864.78,793.76,658.27,769.92,968.41,706.53,888.24,768.34
1916,797.12,828.14,759.73,645.80,755.58,938.81,690.85,847.89,766.98
1917,562.85,552.37,501.91,461.74,600.34,648.57,490.41,613.99,570.59
1918,721.87,753.45,724.57,565.32,673.41,867.34,610.18,769.60,645.69
1919,792.21,829.06,763.33,651.04,744.69,925.94,695.17,858.64,733.00
1920,723.78,741.10,701.41,585.16,696.36,852.62,628.75,777.13,675.99
1921,549.07,605.96,523.76,431.05,542.44,612.72,468.02,577.13,523.24
1922,770.33,829.27,675.47,648.00,759.63,846.55,687.00,819.17,810.93
1923,685.84,716.09,649.05,544.34,677.62,786.88,590.13,729.01,669.30
1924,602.99,610.84,535.29,505.07,626.62,703.07,529.55,614.41,635.30
1925,769.13,780.97,748.96,635.62,715.65,943.18,672.25,834.91,686.49
1926,808.80,865.51,758.01,666.20,790.58,935.17,711.53,867.96,752.49
1927,669.34,629.92,571.34,569.69,757.87,795.65,593.19,735.16,669.74
1928,672.57,733.76,635.72,559.46,639.68,746.21,599.03,732.97,629.77
1929,614.92,623.13,583.11,507.65,599.17,718.83,541.56,675.65,576.89
1930,748.11,802.08,704.87,598.47,726.08,870.45,641.90,781.91,723.28
1931,679.54,675.15,601.26,552.35,721.69,809.29,585.99,736.31,673.72
1932,551.65,608.93,465.54,482.66,559.61,591.57,506.46,582.40,581.82
1933,617.29,689.90,607.31,476.55,547.84,733.65,513.23,623.49,590.26
1934,597.13,597.66,559.88,483.37,599.27,715.58,519.37,645.72,563.20
1935,649.22,665.80,590.35,523.84,660.47,769.06,560.11,689.50,638.01
1936,708.76,765.19,664.67,581.61,655.45,836.66,615.46,709.28,717.72
1937,791.56,808.47,803.57,627.18,719.22,977.33,670.18,834.83,708.43
1938,714.72,710.07,648.66,601.28,725.62,853.38,631.88,800.02,667.77
1939,867.04,888.29,794.17,737.70,858.31,985.38,780.40,944.67,848.58
1940,740.58,762.39,697.18,620.60,719.53,855.48,652.30,754.51,755.79
1941,883.32,925.50,802.26,759.67,869.09,987.86,800.33,974.69,855.28
1942,596.45,633.26,580.77,484.14,556.73,693.75,516.93,639.07,552.70
1943,549.36,603.57,542.61,437.75,488.11,660.20,465.84,540.87,530.08
1944,832.20,906.58,788.21,675.89,769.45,926.18,722.84,874.17,840.00
1945,709.19,733.13,619.61,598.32,732.52,819.26,629.00,789.50,687.27
1946,711.23,722.27,660.48,583.43,713.41,829.44,626.99,784.59,670.21
1947,594.02,612.73,525.46,476.55,610.95,684.25,512.92,646.87,600.83
1948,672.90,739.34,606.02,555.41,657.99,756.79,590.73,707.18,673.95
1949,664.01,738.84,631.26,541.17,615.41,756.73,581.01,683.76,642.54
1950,722.48,730.03,683.19,593.57,737.36,807.18,635.52,765.71,723.64
1951,639.36,675.08,665.14,511.33,577.50,730.32,546.86,644.82,610.40
1952,703.93,737.85,623.72,566.85,693.50,842.59,605.71,730.60,722.63
1953,535.53,572.17,528.72,432.41,509.15,629.58,456.25,539.89,509.68
1954,726.26,818.41,662.37,625.33,713.82,733.45,657.49,730.99,786.50
1955,729.89,810.56,653.05,628.01,735.59,788.60,652.39,744.51,755.11
1956,696.53,748.87,602.25,604.22,740.46,734.66,633.97,739.99,727.02
1957,660.35,706.44,613.53,544.52,668.02,727.40,574.39,678.06,678.64
1958,777.20,823.98,683.27,656.91,798.78,855.39,693.94,823.82,807.64
1959,594.03,702.90,628.80,460.83,503.38,680.55,491.05,576.53,535.01
1960,734.07,756.86,664.54,599.22,729.72,868.98,642.46,779.11,726.81
1961,637.10,672.82,564.99,537.25,676.60,704.13,564.15,659.79,658.30
1962,648.42,690.29,610.17,503.94,601.51,806.96,549.47,691.25,594.16
1963,602.41,585.80,555.90,513.30,608.84,720.97,537.33,658.06,575.02
1964,656.72,724.56,620.29,528.14,621.35,771.78,570.28,723.19,574.67
1965,779.54,817.98,728.45,673.54,796.49,828.57,705.32,765.07,838.21
1966,831.08,875.89,749.10,687.86,823.91,966.02,727.63,854.70,852.30
1967,668.19,680.58,569.54,587.42,737.31,743.44,614.80,720.59,672.47
1968,685.66,656.26,600.36,574.68,710.11,844.65,607.73,750.17,677.60
1969,584.09,620.54,574.55,481.24,579.95,639.24,505.85,585.93,586.81
1970,766.11,777.13,669.93,638.40,779.95,897.63,674.18,806.33,802.22
1971,592.82,566.66,527.67,510.66,602.38,723.90,543.72,666.01,554.25
1972,634.65,657.43,632.45,505.17,572.75,802.92,535.34,655.82,573.01
1973,555.12,590.64,505.11,460.05,557.64,629.09,487.51,575.44,562.05
1974,758.14,799.08,638.33,630.58,788.17,865.54,674.01,806.47,792.10
1975,650.27,686.57,628.14,520.95,594.76,776.52,559.25,687.77,616.15
1976,619.83,667.01,590.33,496.88,585.59,715.91,540.77,685.20,561.06
1977,748.70,726.83,635.55,637.58,787.85,898.61,678.55,849.88,728.37
1978,590.63,568.43,471.96,515.85,655.61,678.06,540.06,627.65,658.49
1979,721.93,795.87,685.27,574.82,693.12,778.01,621.89,753.89,732.91
1980,674.46,703.58,582.92,581.76,707.60,743.40,611.67,704.72,713.65
1981,761.74,743.00,597.99,673.06,858.78,829.42,707.22,830.69,860.57
1982,533.49,584.18,512.91,430.15,492.15,604.04,457.37,532.98,546.10
1983,585.38,608.92,499.74,512.26,633.71,618.14,538.25,623.24,623.87
1984,633.02,669.08,596.94,535.11,627.53,687.14,559.87,637.69,666.15
1985,694.13,761.41,683.76,522.12,606.38,847.50,569.76,741.51,632.04
1986,660.95,646.82,548.97,577.48,728.89,718.35,613.59,726.64,712.28
1987,738.25,788.13,681.03,610.81,742.74,793.68,648.12,778.71,762.09
1988,681.84,756.53,587.58,566.99,704.40,698.60,607.53,713.05,748.32
1989,580.28,663.69,544.05,475.10,555.55,627.93,502.45,565.43,607.39
1990,585.09,655.16,550.00,460.29,559.63,655.76,489.72,564.01,624.52
1991,582.88,635.37,561.41,466.02,530.13,682.07,498.53,588.24,577.45
1992,596.83,641.31,530.52,502.10,608.22,633.87,529.22,604.88,657.96
1993,631.77,677.16,545.19,528.22,695.27,636.44,563.30,662.61,697.34
1994,611.90,601.20,538.85,509.70,681.90,681.69,531.90,629.77,670.38
1995,730.78,793.03,673.68,634.50,742.83,733.28,671.99,749.50,779.09
1996,679.09,777.85,663.76,565.61,613.44,749.64,597.21,693.83,646.77
1997,676.42,721.03,629.42,560.02,673.52,760.50,601.65,749.30,624.05
1998,684.17,695.62,602.82,580.63,721.08,782.28,611.42,714.23,707.85
1999,643.06,688.05,609.27,507.00,620.62,758.13,537.66,639.02,656.90
2000,653.05,684.12,568.82,529.72,661.09,779.47,560.94,684.89,669.05
2001,750.03,760.97,627.69,632.88,776.07,886.62,676.37,815.91,765.97
2002,795.27,889.91,694.62,690.53,814.22,795.43,729.29,794.13,891.02
2003,508.32,540.78,476.93,405.78,481.70,610.98,435.01,533.94,485.50
2004,645.77,708.66,569.04,559.18,677.68,678.43,584.29,638.44,699.43
2005,710.30,769.68,637.61,604.91,706.49,785.01,642.76,732.96,724.60
2006,670.97,742.98,616.97,558.90,646.45,726.72,604.49,718.11,658.10
2007,745.03,808.75,661.19,649.45,785.37,773.02,675.42,741.28,812.80
2008,639.33,688.27,581.76,542.72,656.73,689.03,570.22,641.85,673.85
2009,745.92,783.12,689.01,620.47,750.77,844.38,662.83,792.24,728.24
2010,860.45,838.87,800.75,734.38,894.12,1000.23,782.36,923.74,822.29
2011,590.70,614.60,491.29,523.85,645.29,637.73,546.08,622.50,634.35
2012,663.21,706.66,572.15,574.18,717.44,696.27,609.34,705.31,688.40
2013,729.14,771.55,641.33,641.44,770.78,780.42,676.48,772.19,738.88
2014,720.67,756.06,679.98,609.15,688.19,855.39,636.07,760.23,678.46
2015,562.76,607.96,507.62,467.87,584.27,630.30,492.09,574.18,569.16
2016,731.13,802.43,708.02,585.96,664.60,870.98,621.95,751.48,689.79
2017,706.03,761.01,624.17,585.69,752.44,785.86,619.52,735.63,709.37
2018,573.49,645.28,554.68,449.54,500.59,681.49,479.66,577.08,560.73
2019,623.63,673.95,601.73,501.44,567.96,755.52,533.34,651.92,574.45
2020,722.50,790.27,692.80,588.95,640.06,871.93,628.44,761.77,662.05
2021,704.28,748.27,614.90,606.45,714.17,782.32,636.41,732.77,739.96
