Variable:,pr
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
1901,679.26,811.84,737.00,521.63,521.93,707.69,689.37,689.03,568.72,694.81,733.76,693.81,747.96,586.77,524.86,735.24,638.11
1902,670.15,744.02,745.32,565.38,559.58,715.46,690.60,641.25,554.13,705.09,705.75,635.54,655.80,609.58,564.88,684.28,642.41
1903,714.35,749.87,744.96,602.67,600.09,845.06,778.83,681.62,616.73,783.97,807.89,729.11,754.40,638.22,574.26,826.03,629.82
1904,627.67,733.30,710.43,509.59,510.17,636.64,624.38,625.00,517.00,628.63,645.68,629.36,670.44,555.19,501.18,642.75,592.46
1905,724.76,828.83,815.19,606.65,606.08,700.46,719.34,700.96,628.87,720.90,792.17,691.76,709.53,633.32,581.52,765.33,657.62
1906,712.98,785.26,819.12,563.41,561.29,729.51,714.77,704.80,562.28,726.17,787.19,699.34,709.51,636.63,563.65,744.55,669.50
1907,644.51,682.23,733.25,566.27,565.02,622.71,644.74,615.83,531.61,642.26,665.01,598.99,617.69,656.70,547.25,656.50,642.93
1908,630.17,745.57,674.20,510.35,514.92,642.18,634.74,614.06,528.88,643.17,695.98,634.67,687.45,556.72,513.74,648.94,590.94
1909,733.81,813.03,808.80,597.92,596.73,766.14,755.76,710.29,586.86,760.45,807.84,716.98,738.54,685.73,592.02,778.43,706.98
1910,801.88,1008.84,917.30,619.87,622.63,745.89,766.67,781.59,648.47,760.37,872.12,855.60,927.08,687.76,610.67,789.03,709.08
1911,555.92,628.09,608.57,458.02,463.08,573.00,606.58,527.58,483.66,550.29,595.65,561.26,622.05,506.94,426.09,674.39,504.35
1912,786.51,879.74,913.14,639.79,633.58,839.29,827.58,731.66,649.78,814.48,845.03,710.11,737.90,684.78,622.99,863.37,723.24
1913,688.06,836.74,834.89,526.88,522.54,639.88,623.77,675.43,511.23,650.27,753.88,701.98,738.77,594.30,511.10,649.53,621.98
1914,760.06,964.44,814.95,591.56,591.08,740.12,728.00,780.09,598.48,756.55,833.63,829.94,897.26,648.65,591.77,755.60,691.95
1915,737.04,835.20,836.62,601.20,597.60,777.61,728.48,671.58,568.19,758.67,837.87,740.38,773.37,693.66,565.91,757.42,648.68
1916,803.38,963.62,896.20,633.10,632.69,786.93,803.58,786.34,660.25,784.81,869.68,858.36,920.75,702.99,612.19,867.69,722.04
1917,674.17,817.41,744.33,505.38,508.33,707.95,694.38,667.51,523.96,692.31,752.95,691.72,741.08,570.81,508.73,740.96,600.49
1918,705.15,779.90,745.94,573.45,569.73,749.21,722.61,691.57,583.34,742.25,823.55,742.60,768.50,623.45,560.15,745.71,636.33
