Variable:,pr
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1901,623.28,551.94,590.26,622.39,576.32,535.63,731.76,681.98,746.90,564.61,682.92,559.49,636.59,572.30,590.19,563.29
1902,571.07,506.52,497.20,508.84,503.35,540.17,665.30,642.17,664.36,480.90,604.06,478.86,603.08,482.65,485.42,468.71
1903,751.23,648.66,598.30,632.24,645.31,711.06,887.59,873.15,870.95,589.58,793.43,589.56,826.79,598.42,605.30,582.76
1904,596.59,529.79,538.66,541.92,513.11,567.77,683.89,686.47,662.39,494.53,625.67,489.48,649.57,506.59,514.44,492.70
1905,678.88,593.30,603.45,638.39,592.03,613.48,797.93,771.12,786.18,577.79,722.46,577.44,720.87,599.36,613.42,586.13
1906,659.22,569.98,533.48,580.71,575.05,599.90,776.20,768.57,762.57,535.81,703.81,536.46,720.21,540.97,552.94,530.04
1907,640.02,569.68,511.05,567.15,529.34,634.59,713.74,744.72,684.22,501.68,651.54,515.31,724.45,539.87,544.15,518.98
1908,608.16,545.23,535.20,587.07,531.22,576.10,676.79,687.22,664.57,517.11,636.00,523.68,659.59,545.65,557.68,527.44
1909,714.16,629.49,562.81,624.93,599.35,693.12,826.23,823.24,802.23,577.95,740.58,571.09,783.08,592.05,597.94,576.56
1910,723.93,644.42,677.94,731.42,615.94,701.98,791.50,805.46,785.52,639.24,732.24,636.06,789.78,678.61,693.37,657.23
1911,706.23,631.32,540.67,629.34,598.65,668.71,806.21,829.55,760.46,551.42,745.15,578.12,780.69,597.73,602.64,573.84
1912,827.76,745.23,648.27,742.61,706.16,792.02,945.79,949.78,904.50,671.45,868.99,680.41,901.88,705.03,711.37,686.06
1913,574.85,494.45,521.49,535.80,510.69,528.82,676.98,647.31,673.95,502.48,619.39,487.17,604.61,499.66,507.61,487.14
1914,688.75,590.77,559.08,593.49,597.43,642.57,801.61,799.06,795.12,560.52,730.70,552.43,763.60,556.65,564.82,542.33
1915,659.09,590.27,544.04,574.95,569.07,596.00,792.48,752.34,790.79,531.40,710.50,532.21,696.38,542.17,548.61,526.34
1916,842.54,739.68,683.34,736.47,722.70,787.20,975.20,980.69,943.18,682.26,888.63,681.40,933.57,696.17,703.86,680.02
1917,699.51,611.18,526.75,598.44,601.69,647.03,839.63,814.85,812.41,545.96,754.70,553.88,754.94,565.88,571.74,545.51
1918,642.63,548.11,524.49,556.75,563.98,589.65,775.77,738.50,766.31,542.02,695.50,518.29,682.43,523.87,530.35,512.33
1919,621.93,561.31,555.99,572.68,534.49,588.04,720.19,703.52,699.79,524.18,661.63,512.37,662.58,536.51,543.71,522.67
1920,710.67,635.42,530.73,625.03,615.77,684.11,796.77,824.24,767.97,571.55,746.12,580.55,792.96,584.66,594.51,569.04
1921,641.42,579.67,521.64,601.30,579.16,562.95,766.33,725.76,738.88,541.23,708.87,550.91,660.74,565.74,573.05,547.94
