Variable:,pr
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1901,699.90,811.06,656.78,837.84,652.90,569.04,1006.30,593.19,603.86,818.63,1078.70,606.93,622.20,994.27,545.90,537.20,533.06,782.80,969.25,640.73
1902,695.13,722.90,656.05,863.55,660.07,266.41,1011.72,650.54,591.94,779.88,886.20,542.76,683.46,1068.47,597.70,396.40,433.56,812.04,978.85,675.31
1903,587.65,508.88,504.18,928.78,657.71,500.29,959.20,592.81,446.88,683.39,592.00,429.21,543.49,1200.90,443.82,324.90,337.17,687.89,885.02,594.44
1904,614.72,677.32,508.48,787.61,594.28,491.80,878.51,560.02,565.62,577.75,820.00,516.31,568.83,998.21,501.31,504.80,498.79,635.31,802.82,556.09
1905,559.53,531.25,545.24,786.49,539.19,360.11,842.65,514.67,449.55,687.03,651.80,467.69,464.67,1020.94,429.15,366.20,389.03,702.36,835.87,558.27
1906,626.50,555.98,578.36,868.72,711.91,445.20,1045.83,587.97,564.40,724.47,514.90,594.16,541.77,1050.43,499.02,378.80,516.50,698.26,883.93,561.44
1907,615.79,545.15,575.93,908.16,619.86,441.23,1001.75,586.66,440.23,792.49,598.50,464.06,619.69,1247.10,428.35,351.80,357.93,709.06,882.04,550.64
1908,603.08,545.89,644.84,848.63,725.56,314.41,1109.10,557.66,487.18,757.98,614.50,586.69,446.29,959.49,418.68,336.70,483.51,800.57,989.15,634.06
1909,613.58,688.73,497.10,881.99,505.95,263.86,915.38,580.33,468.66,617.36,917.50,423.70,596.94,1189.84,491.49,408.90,382.68,650.76,827.12,553.00
1910,655.97,626.79,557.54,993.84,515.54,317.56,1100.05,635.12,496.56,725.18,662.00,403.32,657.15,1355.50,506.58,353.10,362.16,807.06,1022.83,644.99
1911,655.97,635.13,621.01,921.61,525.26,260.41,1032.76,648.23,532.10,688.11,745.60,461.20,649.89,1181.77,532.88,389.00,367.16,758.50,915.06,613.99
1912,524.22,519.83,407.45,829.98,429.92,318.00,785.90,525.80,378.96,553.16,752.00,335.59,494.06,1201.16,411.82,344.20,306.95,545.44,695.36,450.02
1913,618.21,516.05,632.44,915.57,438.57,294.48,1023.48,624.44,459.18,771.57,673.60,403.74,580.22,1201.94,513.86,282.10,250.54,826.23,1010.49,669.32
1914,633.54,537.54,584.29,941.35,703.92,276.42,985.86,621.09,503.84,812.47,772.30,492.24,558.24,1284.54,513.38,344.00,387.13,704.41,881.84,568.71
1915,729.77,589.76,769.89,1068.75,788.22,312.07,1141.64,710.78,549.82,958.35,764.40,582.89,578.53,1478.62,587.86,384.30,424.92,956.77,1141.74,766.88
1916,645.83,636.23,513.88,1034.85,571.26,200.90,997.72,640.26,468.48,671.79,795.70,396.46,589.60,1547.10,510.65,379.10,366.48,695.23,856.06,567.63
1917,595.57,523.87,623.60,920.87,670.08,273.94,1045.47,570.14,441.38,818.77,747.60,449.55,428.51,1124.76,439.52,410.70,357.29,800.68,988.18,621.93
1918,597.45,523.49,522.42,969.54,756.49,426.14,1050.54,603.15,435.38,749.07,682.20,466.03,462.71,1251.63,464.57,396.60,390.38,680.06,896.91,542.24
1919,762.56,621.89,742.09,1240.91,585.07,242.84,1349.57,803.49,574.58,793.62,774.60,557.59,594.96,1688.50,654.97,334.70,401.62,993.00,1216.07,796.92
1920,591.91,541.28,621.33,686.35,702.68,479.54,724.26,499.86,509.86,862.70,636.20,513.05,528.10,988.91,523.23,316.80,373.59,697.62,818.47,552.73
1921,553.82,546.54,574.41,718.17,675.46,352.87,739.18,492.48,476.96,751.43,688.40,498.20,436.37,831.24,464.95,394.90,418.16,632.33,750.77,510.32
1922,597.22,490.27,591.33,931.06,520.29,375.24,937.14,566.43,471.01,713.85,620.40,442.67,483.01,1312.45,488.80,341.00,326.70,782.71,966.66,608.53
1923,593.85,544.11,552.80,900.02,581.93,212.80,1112.54,586.12,460.08,622.36,670.30,419.72,475.12,1178.13,486.64,395.10,362.31,835.72,1071.17,686.93
1924,567.16,619.69,437.59,833.86,516.93,465.81,843.23,524.33,440.18,525.74,817.70,360.01,550.58,1237.10,452.84,376.30,321.21,621.58,775.24,503.16
