Variable:,pr
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1901,465.81,487.75,416.43,450.46,478.26,457.26,464.79,426.62,466.51,472.09,489.80,436.74,463.67,471.76,475.01,476.68,449.40
1902,681.50,720.55,547.23,691.79,716.95,697.23,704.70,619.99,667.91,694.08,717.67,547.66,691.87,684.38,681.19,678.10,681.91
1903,701.85,739.04,619.43,699.39,723.07,704.07,720.19,666.19,705.98,692.93,738.27,619.25,695.89,705.74,690.71,705.79,680.81
1904,638.50,670.78,553.99,597.96,670.78,634.08,633.15,597.24,654.85,626.76,687.00,569.27,632.10,653.70,660.49,638.74,599.87
1905,600.57,636.46,537.73,584.01,620.29,589.20,607.54,579.69,621.39,577.10,639.85,552.67,575.73,598.63,602.57,597.77,563.85
1906,663.60,690.53,547.36,646.59,678.95,668.22,667.28,609.83,686.40,661.88,703.79,556.26,665.16,681.03,668.77,672.99,642.69
1907,530.01,569.98,518.46,484.13,534.87,507.29,512.16,550.90,575.89,489.43,586.07,529.68,500.26,515.96,528.34,503.27,480.71
1908,554.91,558.02,487.11,518.44,553.47,541.23,530.91,522.60,578.11,569.79,584.95,519.61,549.37,594.30,559.52,605.80,527.92
1909,558.65,636.57,552.56,521.49,582.09,526.91,560.05,590.17,596.37,488.02,635.66,549.15,499.86,526.70,557.53,495.71,491.27
1910,611.16,659.76,575.79,581.93,630.55,602.08,619.05,597.73,628.89,584.26,660.68,579.71,590.00,599.85,605.78,591.61,570.84
1911,615.10,630.63,502.80,630.94,635.10,622.19,638.69,559.78,627.98,610.41,633.47,526.04,615.03,619.91,612.85,612.36,605.66
1912,663.66,711.79,639.46,647.19,681.79,651.01,673.54,659.63,691.75,616.90,711.56,644.05,627.46,647.46,652.98,631.86,625.26
1913,568.55,582.94,510.67,508.92,580.48,545.75,533.39,535.58,602.49,566.24,609.34,556.96,556.73,601.11,590.44,596.33,527.74
1914,532.84,559.90,492.40,491.50,550.93,517.63,524.29,512.82,569.40,503.04,576.56,518.84,506.30,531.30,549.32,515.30,491.77
1915,634.82,681.97,598.00,614.09,651.68,611.62,632.32,626.64,666.62,597.02,692.25,604.35,602.61,622.80,635.16,604.97,588.84
1916,683.86,709.18,638.47,650.68,686.71,684.03,675.81,667.30,705.22,669.09,723.23,662.21,680.11,690.24,677.61,675.13,662.98
1917,593.79,620.07,517.37,571.06,613.76,575.29,587.99,551.18,611.24,592.12,629.15,534.26,579.64,610.11,606.90,612.75,570.49
1918,592.12,638.59,544.86,603.64,619.49,588.47,621.60,562.15,600.71,555.50,633.05,539.03,563.61,567.67,586.04,554.34,572.21
