Variable:,pr
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1901,414.47,362.36,454.76,355.28,408.40,486.62,431.15
1902,580.80,472.06,668.86,450.57,596.36,684.97,617.44
1903,596.31,567.74,687.73,465.48,578.81,738.30,641.14
1904,534.96,480.73,636.64,403.14,576.24,624.92,549.86
1905,550.09,523.04,624.46,452.59,573.32,616.53,567.04
1906,518.33,445.83,580.67,427.72,519.81,621.09,537.80
1907,510.47,492.39,540.25,422.07,532.06,542.15,567.73
1908,427.16,444.53,442.65,387.26,448.65,466.26,432.05
1909,529.48,496.92,586.53,441.30,537.47,604.07,557.38
1910,529.98,565.81,585.01,422.53,544.23,623.74,570.76
1911,556.61,469.01,635.77,473.18,582.70,630.29,546.20
1912,570.28,612.57,618.24,466.20,551.27,689.63,627.56
1913,448.24,453.46,494.61,360.32,458.39,512.63,486.90
1914,469.56,364.02,514.14,424.49,511.81,492.39,447.80
1915,483.59,534.33,532.90,367.40,449.26,627.31,556.93
1916,530.12,572.06,596.92,407.59,532.19,643.78,582.50
1917,541.77,430.20,604.24,479.99,590.89,569.51,518.88
1918,496.20,503.49,560.70,387.17,499.95,608.81,531.91
1919,514.86,496.52,564.50,414.71,537.52,571.33,559.62
1920,510.10,416.24,540.75,490.03,547.50,522.47,475.62
1921,600.10,440.32,657.65,551.36,632.04,631.16,575.95
1922,551.21,484.30,652.00,448.32,579.03,628.39,545.70
1923,617.48,561.49,721.69,492.63,637.72,724.05,631.19
1924,567.83,523.30,656.63,423.14,580.20,693.85,615.90
1925,557.28,500.00,628.83,435.39,523.71,717.90,611.55
1926,497.96,465.61,537.50,435.60,511.67,560.36,507.42
1927,585.37,608.14,672.08,436.08,556.17,762.31,652.17
1928,594.68,551.72,675.70,462.33,577.43,753.81,642.42
1929,579.23,524.28,638.92,484.28,579.46,676.23,609.28
1930,521.16,559.05,604.34,381.79,509.35,652.68,583.98
1931,606.65,483.89,644.01,526.54,662.74,639.94,618.58
1932,636.41,532.56,647.36,611.73,655.93,668.77,628.35
1933,444.99,396.92,516.84,367.48,458.19,499.66,451.83
1934,622.46,580.62,708.60,502.97,650.34,697.58,649.71
