Variable:,pr
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1901,810.75,775.79,910.71,874.91,585.33,775.45,752.70,577.24,724.66,926.24,1041.63,506.73,492.32,974.52,910.78,833.59,945.56,520.10,576.32,482.61,714.16,1138.38,1073.92,3066.67,2657.92,2337.09,1414.60,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1902,769.13,657.32,910.65,828.28,662.99,726.92,765.40,619.21,694.36,827.12,937.61,608.98,542.57,777.31,926.90,740.39,874.88,600.50,630.73,564.62,737.43,812.37,964.51,3233.80,2926.50,2592.85,1359.20,1538.61,1560.31,2568.27,2498.59,2246.97,2682.20
1903,802.33,682.85,882.39,780.48,842.18,674.15,1033.08,614.59,752.52,833.50,874.26,740.96,566.87,797.79,871.08,823.75,835.82,751.42,755.89,656.87,780.05,894.56,923.90,3020.94,2573.00,2446.86,1483.00,1538.61,1560.31,2412.87,2340.99,2087.64,2530.40
1904,684.47,632.72,775.55,650.02,710.53,626.01,903.25,573.91,657.29,643.87,795.89,607.16,506.21,628.76,774.86,729.12,690.66,576.07,664.96,531.32,694.53,674.67,753.72,3091.92,2667.05,2151.80,1406.70,1538.61,1560.31,2054.40,1990.99,1771.30,2158.10
1905,799.02,756.96,931.38,808.80,702.73,692.53,787.02,633.66,727.28,878.39,936.21,670.13,588.78,814.29,939.18,799.17,891.57,709.17,679.84,650.73,786.30,911.29,949.64,3105.58,2678.05,2167.78,1406.70,1538.61,1560.31,2107.55,2054.32,1861.69,2194.60
1906,734.06,654.88,921.62,652.34,721.00,620.43,822.03,609.92,704.90,730.33,772.29,679.38,572.11,776.62,845.07,765.58,848.75,701.11,665.97,634.43,770.25,737.43,701.77,2942.96,2442.58,2318.41,1406.70,1538.61,1560.31,2285.66,2223.37,2001.92,2387.50
1907,815.75,593.92,965.57,868.43,659.63,675.87,840.40,614.11,647.26,825.71,836.54,584.50,502.73,1007.22,983.64,694.71,963.28,576.16,676.21,533.16,824.75,1130.48,1032.37,3439.06,3196.38,1985.95,1137.60,1538.61,1560.31,1876.88,1824.89,1639.76,1961.90
1908,711.39,709.27,948.22,716.24,604.50,642.41,697.87,578.48,678.43,610.80,851.68,581.33,524.88,689.87,862.29,763.02,854.72,591.81,583.37,551.20,720.50,657.96,783.21,3056.22,2633.46,1876.82,1466.90,1538.61,1560.31,1780.64,1726.53,1539.49,1869.10
1909,825.76,736.29,882.08,867.31,793.21,777.94,910.84,712.74,776.62,778.33,958.36,719.81,623.32,775.25,1018.64,823.41,803.04,727.00,763.37,665.66,875.38,898.31,968.48,2909.55,2433.88,2337.09,1306.00,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1910,1065.88,933.52,1153.71,1131.24,1001.51,1088.65,1165.95,930.68,1018.61,919.73,1308.14,901.32,848.80,963.08,1304.37,1071.96,1021.36,882.72,995.05,840.16,1099.64,1087.83,1274.39,2922.90,2427.98,2273.42,1299.40,1538.61,1560.31,2165.59,2097.09,1856.90,2277.60
1911,759.06,610.85,891.09,757.01,755.00,636.80,892.27,608.89,648.54,798.73,792.89,673.83,529.42,767.34,894.83,717.10,820.99,668.44,707.27,583.89,783.96,896.00,858.51,3212.67,2811.66,2337.09,1459.40,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1912,846.83,747.50,840.66,855.35,892.65,786.15,1064.10,723.44,796.03,695.54,968.68,794.51,654.64,799.72,1011.32,842.09,808.95,787.94,840.01,707.39,878.61,883.84,983.06,2853.66,2307.68,2337.09,1365.30,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1913,864.95,735.03,1032.46,955.55,730.60,835.95,885.89,704.10,771.58,725.90,980.18,679.31,620.18,885.88,1082.66,830.02,978.99,702.80,720.68,645.30,871.45,908.47,1049.92,2967.12,2433.45,2337.09,1319.70,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1914,908.62,892.60,965.73,932.27,843.22,814.53,1036.48,691.82,846.36,848.28,1076.57,733.53,631.91,971.38,1018.24,974.76,967.32,739.90,775.49,680.59,847.65,1091.99,1121.62,3010.57,2559.12,2337.09,1463.70,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
