Variable:,pr
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1901,794.05,672.07,499.98,967.52,920.62,1299.71,1372.43,616.16,741.79,735.44,684.93,786.62,510.55,499.62
1902,641.52,615.34,418.91,763.96,680.77,1058.92,1067.30,508.59,727.36,578.23,540.64,591.07,545.17,572.22
1903,654.23,601.64,465.91,769.33,683.84,992.04,1023.85,505.98,734.03,653.46,575.16,608.92,595.94,581.28
1904,727.11,613.76,542.95,875.93,750.50,1131.56,1142.23,540.01,837.08,754.85,658.04,683.47,712.61,661.82
1905,684.77,627.71,548.78,799.88,661.92,1019.71,996.81,524.85,857.88,738.92,618.89,612.18,652.72,645.93
1906,800.30,653.15,575.13,959.68,891.75,1239.64,1314.14,605.24,783.93,801.97,728.29,785.68,680.15,669.40
1907,660.68,586.22,450.54,798.50,688.32,1054.79,1089.77,494.40,729.19,649.58,583.48,623.21,585.47,558.84
1908,674.31,633.67,519.13,810.18,636.42,1000.57,994.90,504.37,796.65,726.38,615.58,610.85,619.25,558.89
1909,755.61,662.88,502.71,894.93,841.15,1201.09,1259.01,597.40,789.62,712.22,652.77,724.72,617.55,611.50
1910,809.43,683.95,634.90,989.55,798.67,1179.71,1211.33,608.70,815.19,888.61,767.48,764.90,767.50,622.95
1911,704.61,676.41,513.41,756.63,754.58,899.00,1004.57,584.26,909.55,682.83,612.22,664.24,703.36,699.98
1912,737.73,699.34,545.18,885.36,753.64,1076.07,1109.48,590.24,661.36,770.82,671.85,686.90,701.52,578.68
1913,657.49,609.98,472.31,733.23,706.29,920.33,996.56,516.36,834.77,639.95,574.84,617.20,616.34,599.96
1914,794.87,694.42,572.66,973.69,839.57,1211.44,1254.51,623.83,659.02,811.14,740.13,772.65,736.72,538.81
1915,818.00,686.20,503.12,973.65,1001.90,1344.87,1436.25,667.55,617.29,750.32,708.38,829.42,581.58,554.65
1916,690.91,582.94,470.91,840.76,758.65,1119.08,1151.20,535.97,595.35,689.56,627.22,672.15,566.89,457.54
1917,724.25,690.62,583.76,879.84,647.20,1072.58,1030.15,530.43,906.03,809.20,662.14,635.07,744.52,730.48
1918,820.98,754.11,649.64,986.73,804.56,1218.52,1225.67,608.33,948.34,869.51,750.70,756.62,761.53,780.36
1919,910.56,865.45,650.06,1089.99,965.88,1420.23,1469.95,700.67,804.78,909.36,823.77,873.39,761.75,685.79
1920,835.01,792.83,641.62,990.81,815.19,1187.48,1212.83,648.06,853.89,874.88,779.05,792.83,744.06,663.31
1921,763.69,693.56,634.38,918.45,693.84,1042.30,1066.90,565.78,851.97,849.73,741.62,719.08,754.65,675.92
1922,674.32,577.80,514.19,848.39,652.02,1107.13,1068.77,487.90,743.50,738.80,613.81,606.84,611.52,636.15
1923,782.93,666.96,532.01,981.07,836.69,1304.46,1345.31,579.55,702.90,758.46,717.81,756.16,674.85,589.72
1924,736.37,650.54,562.84,854.63,708.77,1099.21,1095.10,547.73,1104.12,761.84,648.75,660.55,681.80,824.48
1925,647.97,710.37,472.72,705.63,661.04,838.92,894.55,548.14,740.10,620.52,563.00,594.46,644.42,578.94
1926,613.36,539.14,464.19,713.20,621.67,894.74,917.88,466.69,804.74,646.27,544.55,547.30,652.43,658.60
1927,700.02,655.30,487.55,865.61,709.99,1193.09,1161.39,530.55,719.79,683.08,615.51,642.67,596.92,566.33
1928,816.98,673.64,623.51,1055.36,780.83,1370.09,1330.19,554.74,950.26,878.26,752.47,740.29,813.00,789.30
1929,742.84,744.26,553.02,822.99,718.90,1045.32,1054.80,594.09,1075.13,750.84,635.34,652.45,706.95,735.43
1930,856.73,731.11,634.26,1020.20,901.28,1253.54,1337.62,653.13,864.87,861.15,804.80,846.87,732.88,708.93
1931,841.41,760.98,627.70,1070.56,822.59,1356.93,1335.94,630.08,757.69,883.49,780.78,775.37,799.56,662.27
1932,535.51,423.74,411.36,650.58,536.99,846.06,851.97,375.16,715.35,576.43,477.64,491.94,480.37,515.95
1933,740.76,685.18,508.89,943.37,771.08,1257.23,1238.09,564.93,546.72,734.38,680.96,706.80,694.96,519.00
