Variable:,pr
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1901,1154.16,869.12,1285.90,1260.42,1323.30,1505.64,834.41,1173.05,1516.40,923.53,703.64,903.95,1636.25,1181.00,1147.23,895.46,1172.35,1015.61,777.98,743.49,1258.72,1218.70
1902,1136.14,935.89,1358.38,1140.16,1147.97,1446.66,876.64,1090.58,1478.75,941.12,745.98,953.21,1505.80,1172.63,1129.23,937.72,1210.60,1013.95,857.64,764.51,1204.84,1120.48
1903,1130.33,965.40,1106.75,1273.34,1257.80,1505.62,946.59,1221.82,1460.19,1034.05,717.78,926.79,1591.00,1035.96,1144.35,900.74,1012.36,1116.21,860.14,703.93,1130.74,1243.20
1904,1077.81,900.20,1089.44,1177.45,1172.90,1395.39,917.28,1171.08,1448.71,1005.72,660.03,851.50,1475.33,1053.96,1085.37,832.52,991.39,1074.56,783.91,636.58,1171.89,1151.43
1905,1280.74,1014.63,1278.47,1305.30,1519.86,1714.58,984.11,1280.04,1772.93,1083.78,766.85,1007.24,1930.89,1243.23,1242.92,980.31,1183.63,1176.92,913.82,743.09,1409.82,1280.62
1906,1232.34,1075.44,1255.96,1286.58,1322.88,1576.11,1002.35,1227.31,1605.63,1062.27,843.07,1080.47,1682.10,1136.78,1243.66,1059.47,1136.39,1134.16,988.02,829.30,1269.77,1264.02
1907,1018.28,709.44,1191.12,981.16,1227.54,1345.32,719.30,983.59,1475.77,799.08,536.97,704.17,1535.72,1149.67,922.60,693.16,1111.98,861.98,634.12,548.64,1229.92,959.04
1908,974.15,806.57,1192.25,976.51,914.21,1205.82,727.10,935.45,1290.37,780.42,619.74,823.24,1218.96,1067.45,960.14,808.04,1082.64,851.63,727.37,627.68,1107.89,958.32
1909,1176.95,934.48,1380.63,1185.59,1240.04,1459.67,831.57,1088.69,1538.37,883.22,749.52,984.49,1560.52,1286.17,1178.64,974.83,1282.03,964.23,848.09,779.59,1319.21,1160.99
1910,1424.61,1117.24,1593.92,1438.86,1606.04,1824.77,1047.60,1394.05,1922.31,1131.95,854.12,1109.21,2048.09,1517.47,1377.47,1091.95,1494.63,1233.38,992.13,876.75,1594.44,1406.29
1911,944.44,730.49,1060.03,950.71,1122.81,1158.99,698.98,885.52,1214.44,745.76,633.53,818.80,1332.32,966.04,910.29,813.34,971.05,795.48,702.56,651.45,1023.55,926.34
1912,1219.14,1012.42,1205.87,1287.76,1298.73,1603.57,945.94,1242.47,1598.79,1022.13,813.54,1056.71,1642.46,1155.89,1273.88,1036.98,1105.47,1108.44,926.40,837.94,1257.81,1261.45
1913,1101.94,887.69,1076.00,1094.30,1202.93,1425.31,849.19,1058.50,1470.90,915.70,745.48,932.66,1511.03,1077.59,1119.58,925.27,1029.15,977.30,820.93,795.94,1178.90,1077.23
1914,1125.68,880.78,1248.50,1144.03,1298.12,1393.30,867.76,1102.48,1474.86,938.06,726.88,909.76,1551.51,1192.14,1076.67,896.65,1169.74,1001.83,815.81,750.60,1254.60,1117.35
