Variable:,pr
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
1901,597.64,520.36,643.31,590.38,678.21,535.90,525.86,545.72,534.04,627.57,586.59,554.38,555.25,613.53,538.11,642.83,699.51,561.45,630.49,580.24,695.67
1902,673.53,601.85,725.85,611.67,727.09,626.61,563.29,643.97,657.36,665.48,667.24,621.52,646.24,703.40,630.75,747.55,735.79,658.30,739.57,702.40,789.94
1903,659.92,579.37,720.01,525.81,642.92,674.00,529.92,672.84,783.89,550.80,669.28,569.47,707.49,741.92,663.33,775.90,585.97,650.69,829.74,777.25,852.13
1904,576.31,506.07,653.86,476.85,526.43,561.40,460.33,576.56,656.99,483.56,522.94,479.89,590.92,589.72,552.70,721.25,515.71,573.88,786.96,672.88,823.24
1905,660.97,597.69,748.68,596.04,677.15,624.26,568.15,641.18,644.80,617.03,615.96,583.72,643.05,669.61,623.67,765.23,664.21,656.08,790.40,701.70,835.54
1906,736.72,692.05,844.91,677.94,751.77,693.80,653.06,723.04,694.21,698.20,689.88,668.40,707.20,740.72,691.19,846.71,755.74,773.33,795.42,756.52,875.86
1907,526.93,457.82,537.00,447.89,553.77,507.04,420.24,518.79,581.46,495.36,530.19,469.70,540.07,578.05,503.95,577.44,535.24,505.15,666.31,578.15,658.58
1908,528.24,479.15,589.71,511.08,598.38,460.37,463.72,480.81,463.38,556.80,501.41,491.78,467.05,523.48,469.26,590.89,619.55,512.81,531.77,506.75,605.07
1909,634.17,585.83,704.60,597.22,658.83,589.91,566.61,602.26,638.32,618.09,632.87,595.40,603.67,663.34,599.87,704.60,655.81,618.51,675.72,645.26,729.43
1910,728.47,683.63,834.24,635.08,698.71,708.63,642.23,733.57,773.57,633.20,698.88,645.66,743.61,763.25,707.75,861.42,662.72,754.00,845.41,794.11,909.88
1911,534.79,483.43,598.11,482.91,544.91,512.27,467.19,523.16,567.69,498.71,524.10,484.68,540.40,565.21,508.38,591.42,547.29,536.40,614.48,556.41,632.49
1912,722.28,652.35,777.82,696.78,794.84,658.88,637.42,676.83,682.63,735.07,741.46,680.74,676.40,766.05,665.71,771.57,823.31,697.02,743.95,711.14,798.16
1913,644.84,577.29,695.04,576.35,677.37,612.33,561.44,626.67,669.24,609.57,634.99,576.08,637.93,673.90,612.42,708.57,673.18,620.75,756.02,696.77,773.22
1914,676.79,646.55,726.06,640.46,699.40,635.55,629.94,654.10,640.11,649.27,666.10,636.45,644.19,691.23,646.80,741.38,674.71,679.64,738.16,697.18,784.40
1915,846.88,796.86,973.98,784.26,862.28,799.03,764.88,824.30,780.98,826.46,841.80,792.00,812.87,864.75,811.39,946.44,869.08,858.07,874.00,854.86,975.58
1916,684.60,585.92,696.99,608.72,726.31,650.83,555.70,669.44,738.34,665.01,693.26,617.87,706.02,737.65,651.43,748.42,717.13,646.33,815.03,741.21,838.42
1917,504.70,447.28,602.87,450.33,503.66,435.15,424.84,455.94,514.76,469.10,454.82,443.50,463.83,486.41,441.43,637.41,503.16,500.13,623.61,519.64,712.82
1918,658.65,574.33,678.48,569.98,694.92,639.64,527.02,660.27,711.38,623.15,663.67,594.43,680.61,708.47,636.95,731.70,668.00,647.79,778.17,723.44,790.24
1919,700.17,674.08,849.94,653.18,672.89,655.39,643.32,677.05,665.28,636.17,689.34,652.62,648.37,697.38,661.91,836.74,683.11,728.29,734.58,691.70,851.64
1920,632.49,565.84,621.26,600.15,693.02,605.86,537.96,613.00,628.72,659.29,692.15,612.71,628.82,697.97,610.93,638.39,698.07,604.69,654.56,642.27,665.39
1921,494.32,452.73,518.41,492.95,519.56,446.84,460.52,457.96,513.57,510.75,486.15,461.27,477.72,497.11,459.57,512.72,546.16,456.22,543.43,499.64,548.63
1922,698.20,639.02,751.37,671.45,765.37,640.86,600.95,663.13,641.83,731.11,678.23,654.40,642.39,690.39,647.35,752.64,796.55,687.92,726.13,691.73,778.54
1923,620.98,557.80,706.60,508.20,613.58,608.45,501.68,630.48,623.97,550.72,602.10,538.01,624.26,661.13,600.91,748.91,597.91,641.22,751.75,669.12,820.62
1924,598.51,572.29,650.53,596.72,636.44,558.56,575.10,575.60,537.22,597.29,617.79,579.79,570.27,630.82,571.68,626.42,620.10,590.58,592.67,583.00,634.80
1925,717.20,650.19,825.85,671.86,756.83,655.70,634.87,672.51,686.05,706.19,709.94,657.06,669.31,733.44,657.06,808.10,781.19,708.29,767.83,722.51,832.87
1926,708.82,624.11,783.78,622.48,736.43,670.11,590.11,681.25,735.54,656.07,708.67,635.26,697.45,757.46,669.55,822.16,706.89,692.38,834.70,758.68,901.08
1927,628.77,584.19,664.23,587.39,661.85,574.69,568.20,602.25,606.98,613.07,638.10,600.09,593.28,647.85,586.53,676.81,654.42,617.06,715.51,635.25,730.26
1928,531.48,463.97,601.16,461.04,530.41,501.56,423.32,512.54,542.07,501.04,501.19,459.34,509.90,540.80,498.03,634.03,551.48,522.04,661.77,576.17,704.26
1929,588.51,555.55,649.98,558.27,614.75,555.00,545.06,578.42,535.55,576.12,567.53,538.58,575.78,601.85,558.60,641.39,604.43,592.99,630.27,591.62,677.10
