Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1901,993.29,890.27,729.58,1057.95,819.92,1092.59,1578.59,959.34,1292.85,1358.75,952.43,707.47,1298.81,624.35,760.00,619.88,940.63,1096.04,993.62,1637.75,1056.75
1902,837.85,818.71,713.85,951.41,804.05,842.39,1372.49,886.42,935.90,978.22,789.97,687.97,966.22,619.62,773.27,564.22,806.77,870.28,862.07,1372.88,824.14
1903,839.32,785.37,600.42,717.95,713.40,889.44,1593.89,870.08,1053.69,1137.30,789.28,625.52,1082.78,518.51,764.15,380.18,807.52,1006.59,850.69,1396.51,915.27
1904,828.08,879.51,717.23,1070.84,827.60,801.01,1468.14,900.25,733.76,946.81,865.30,699.68,811.57,588.46,680.40,608.09,757.61,939.73,894.34,1155.07,856.66
1905,985.55,1036.19,716.95,899.20,878.76,1098.98,1622.39,1086.71,1135.51,1225.78,1097.05,812.14,1207.30,606.34,810.77,520.25,1032.95,1028.21,1166.91,1588.76,1073.72
1906,813.52,846.11,686.28,922.70,788.00,795.24,1489.38,878.10,803.81,935.87,859.65,691.73,805.65,590.41,786.67,558.97,748.89,894.41,895.59,1032.30,856.78
1907,823.64,842.42,655.71,840.31,786.74,780.85,1400.67,893.17,1053.57,999.94,846.80,686.66,1107.79,571.05,769.42,476.20,728.44,841.25,861.99,1459.41,789.91
1908,727.46,764.21,657.69,964.40,770.88,637.27,1056.23,776.02,659.70,852.69,726.87,641.84,802.47,517.62,688.16,585.49,633.03,792.41,745.74,1179.81,607.20
1909,846.02,927.13,705.76,880.74,828.48,824.27,1501.20,935.57,909.49,964.06,880.48,769.74,962.43,637.08,710.50,524.21,791.74,909.27,939.46,1333.12,885.87
1910,987.70,1149.63,781.03,790.16,974.06,1023.36,1736.52,1208.96,1054.77,1147.70,1185.10,926.53,1160.68,706.69,750.30,436.82,1021.27,1122.52,1185.36,1659.73,1061.68
1911,883.50,851.62,619.75,897.91,730.02,958.08,1402.99,890.66,1107.11,1180.94,867.19,658.65,1091.69,511.91,713.25,643.68,852.71,938.99,965.07,1332.35,912.57
1912,804.01,797.07,591.70,798.27,699.41,786.05,1463.28,826.60,869.69,1023.05,846.45,628.57,984.87,514.28,641.60,541.77,741.74,1011.08,844.38,1414.56,875.32
1913,765.69,779.74,538.71,694.30,635.12,786.05,1424.30,820.07,856.37,960.07,859.26,595.25,924.41,491.32,625.86,392.11,745.62,989.09,889.87,1252.15,862.47
1914,899.10,904.39,693.35,858.82,826.99,886.87,1592.46,950.33,1121.93,1160.29,911.99,738.08,1237.80,608.07,689.05,453.46,828.61,1020.13,935.14,1733.66,945.45
1915,1024.01,1216.89,958.42,1057.74,1130.56,1022.13,1578.23,1259.17,1062.75,1084.68,1155.65,1024.59,1060.92,868.62,889.08,612.14,1035.69,926.97,1187.80,1450.19,1012.43
1916,984.30,882.34,699.36,909.65,813.33,1080.57,1898.68,948.16,1283.01,1355.87,970.06,718.51,1251.73,614.23,765.80,540.97,937.19,1186.58,945.71,1625.87,1110.57
1917,855.51,842.74,646.26,896.77,808.92,900.90,1441.24,960.12,926.30,1033.44,901.92,699.08,995.90,540.87,716.47,513.89,896.48,926.14,947.32,1349.92,883.30
