Variable:,pr
,Lithuania,Alytaus,Kauno,Klaipedos,Marijampoles,Panevezio,Siauliu,Taurages,Telsiu,Utenos,Vilniaus
1901,648.79,631.88,626.82,737.68,634.43,575.47,654.38,735.32,751.94,608.75,641.89
1902,661.47,632.57,632.06,711.47,614.10,637.53,662.41,701.41,733.75,664.71,668.60
1903,762.96,710.53,715.24,854.13,692.96,726.26,774.88,818.28,876.28,762.82,766.21
1904,675.19,609.29,645.47,734.28,615.10,662.44,692.07,716.61,768.68,678.01,670.40
1905,686.10,653.21,641.27,808.51,643.39,625.37,687.47,764.72,813.12,664.68,676.54
1906,719.12,685.41,674.54,767.80,653.98,687.16,713.29,758.17,795.81,739.82,751.26
1907,628.33,583.70,593.27,733.16,589.93,582.47,638.69,698.79,749.00,606.93,608.33
1908,657.19,611.16,610.84,745.15,598.81,619.15,653.29,707.66,764.86,662.63,668.84
1909,570.08,543.14,520.60,673.04,511.89,515.24,581.78,625.32,693.50,552.27,572.94
1910,674.70,640.84,635.94,761.22,634.97,624.41,678.16,736.83,770.72,662.80,680.98
1911,550.19,476.24,494.63,688.85,492.35,508.95,599.75,618.33,726.90,511.67,504.92
1912,735.05,700.29,683.12,855.89,672.31,677.44,739.49,801.97,869.99,717.55,737.15
1913,714.23,645.84,671.01,848.32,661.74,654.90,729.84,791.43,856.01,684.99,707.12
1914,629.98,569.56,584.97,771.42,580.19,568.15,649.27,715.78,777.49,590.24,614.85
1915,643.25,603.14,601.92,744.22,595.28,593.98,640.57,709.11,755.38,634.31,645.82
1916,766.17,735.26,733.54,863.96,724.02,700.61,762.82,830.16,878.87,750.21,775.47
1917,665.06,641.30,636.88,714.75,622.70,631.60,648.19,709.93,723.91,679.37,686.21
1918,529.22,524.57,494.69,597.92,511.29,495.62,519.28,576.77,596.70,525.20,525.02
1919,629.82,608.28,604.09,732.91,610.38,573.48,635.62,699.62,733.67,591.12,615.08
1920,551.66,538.94,531.31,607.99,533.80,509.09,539.68,595.12,611.68,543.79,563.79
1921,635.93,601.87,607.94,697.45,598.55,598.22,629.78,701.95,714.86,633.24,642.25
1922,679.84,649.42,647.96,709.05,631.09,644.90,665.99,724.19,731.06,705.26,716.21
1923,751.73,698.08,704.23,875.90,694.30,702.85,765.97,825.28,886.85,730.30,738.47
1924,679.43,659.65,670.07,746.69,674.78,633.80,679.07,744.82,749.74,652.65,665.39
1925,749.31,666.37,714.02,875.51,705.82,708.99,776.42,842.91,894.88,719.77,707.53
1926,739.04,664.72,692.82,901.84,689.51,670.30,780.31,840.26,913.65,688.22,695.64
1927,717.25,640.24,669.83,881.61,679.79,656.06,740.44,805.56,878.89,680.19,681.09
1928,731.23,629.73,683.27,850.16,663.91,719.38,781.00,788.57,875.43,710.26,690.01
1929,613.45,582.84,580.02,696.84,573.65,582.13,615.30,662.74,705.20,599.52,609.03
1930,757.19,709.53,710.87,859.77,714.04,722.32,761.80,822.18,859.22,746.52,751.70
1931,656.71,608.58,606.95,792.42,620.63,601.22,671.00,731.34,791.59,626.87,638.60
1932,692.11,659.40,683.20,739.88,684.61,656.29,665.41,756.53,736.55,697.09,700.25
1933,700.46,702.55,693.35,729.07,697.52,647.06,669.60,748.84,732.65,695.81,734.26
1934,609.47,560.54,570.13,697.41,556.56,585.64,630.93,664.39,713.25,595.89,591.71
1935,739.67,721.46,717.73,827.75,707.45,685.76,739.98,801.08,832.48,713.83,735.77
1936,686.05,657.65,650.65,809.95,659.91,621.10,689.41,764.29,807.14,650.29,672.34
1937,659.95,605.03,622.56,761.01,613.30,622.35,682.14,727.34,779.93,642.31,635.54
1938,614.29,581.91,580.82,735.43,596.67,552.78,640.00,702.69,739.57,565.14,577.81
1939,622.50,626.08,599.96,702.50,607.70,553.97,615.22,702.87,698.86,585.38,630.38
1940,718.50,683.63,692.62,829.75,696.31,664.30,730.41,804.07,836.39,682.71,685.02
