Variable:,pr
,Luxembourg,Diekirch,Grevenmacher,Luxembourg
1901,833.80,877.95,784.99,821.85
1902,816.91,882.21,749.49,798.71
1903,972.53,1062.68,881.29,947.71
1904,788.54,842.73,727.51,773.04
1905,875.82,945.75,807.54,856.79
1906,895.04,965.87,820.04,874.80
1907,763.23,817.47,707.99,747.96
1908,777.70,832.23,724.33,762.69
1909,889.96,956.88,823.33,871.46
1910,1107.10,1178.95,1032.11,1087.39
1911,743.09,794.21,687.97,730.26
1912,891.77,956.00,829.75,874.85
1913,875.11,938.11,810.44,858.00
1914,1017.52,1082.39,948.07,1000.67
1915,1010.58,1089.59,932.15,989.51
1916,1089.13,1163.14,1012.34,1069.78
1917,890.89,947.50,833.90,874.98
1918,969.81,1035.82,904.24,951.90
1919,998.85,1066.87,926.23,980.52
1920,809.37,866.30,752.17,795.00
1921,497.28,525.39,467.93,489.52
1922,1096.99,1161.74,1023.83,1077.73
1923,1031.51,1101.49,954.01,1012.63
1924,955.31,1022.82,889.53,936.46
1925,1110.18,1195.51,1025.24,1086.54
1926,958.78,1023.52,893.41,940.96
1927,958.61,1012.37,902.31,944.01
1928,930.34,1004.99,852.22,909.71
1929,783.81,836.95,725.92,768.54
1930,1127.88,1196.45,1057.30,1109.15
1931,967.43,1028.79,904.18,950.09
1932,922.83,985.88,858.19,905.74
1933,646.75,693.51,603.49,635.37
1934,771.29,825.86,713.35,756.76
1935,981.89,1055.72,905.91,962.34
1936,954.98,1019.98,888.95,938.37
1937,992.94,1064.74,916.26,975.31
1938,850.48,920.80,779.04,831.03
1939,1080.24,1155.06,1001.92,1062.18
1940,1013.62,1080.86,945.90,995.45
1941,883.40,950.39,815.01,864.99
1942,836.91,908.17,770.21,817.97
1943,881.02,964.84,797.56,856.73
1944,1039.52,1130.89,949.43,1013.91
1945,846.07,919.53,776.11,825.76
1946,891.46,973.07,812.98,870.18
1947,848.09,919.13,774.98,829.50
1948,989.23,1074.93,907.38,966.74
1949,758.20,818.64,695.87,740.97
1950,1088.99,1168.08,1005.34,1065.47
1951,1010.80,1096.40,926.36,987.79
1952,1182.66,1270.38,1092.36,1158.64
1953,625.92,678.00,580.42,611.53
1954,990.17,1063.27,918.03,968.83
1955,843.76,898.44,785.51,828.46
1956,934.07,1002.79,875.46,914.32
1957,916.35,991.64,852.89,895.02
1958,1091.83,1168.93,1014.92,1070.78
1959,680.94,723.46,636.48,669.32
1960,1022.28,1098.63,957.66,1001.34
1961,1053.48,1134.75,979.38,1029.00
1962,887.22,958.69,823.52,866.07
1963,781.36,832.00,732.23,767.67
1964,740.22,796.01,688.64,722.92
1965,1236.89,1326.58,1145.18,1210.28
1966,1197.18,1292.50,1106.10,1169.86
1967,944.72,1001.53,877.02,928.02
1968,897.04,951.47,838.90,882.95
1969,816.74,878.87,758.39,801.13
1970,1013.80,1083.54,935.99,995.39
1971,669.34,719.10,621.51,655.95
1972,798.96,859.04,740.65,784.06
1973,779.61,840.46,720.89,763.32
1974,1059.04,1146.71,971.23,1034.87
1975,739.41,791.08,683.96,725.59
1976,619.84,669.15,566.50,607.17
1977,984.61,1051.89,908.04,967.36
1978,868.81,926.85,801.68,853.71
1979,1041.56,1109.94,960.79,1023.65
1980,1040.32,1113.58,962.55,1019.42
1981,1213.08,1297.42,1120.28,1189.43
1982,992.77,1063.10,915.37,975.41
1983,989.35,1063.41,912.57,970.13
1984,1076.90,1157.98,991.26,1053.51
1985,814.76,875.25,756.14,797.64
1986,1034.72,1107.54,954.51,1017.06
1987,1075.41,1155.82,993.85,1053.51
1988,1125.65,1214.17,1029.37,1102.79
1989,885.30,955.31,810.66,866.76
1990,932.83,992.70,867.52,916.85
1991,756.48,820.64,692.42,739.64
1992,899.90,967.76,837.52,882.82
1993,989.49,1065.05,915.92,969.23
1994,942.78,1014.06,866.15,923.53
1995,1009.35,1067.66,937.97,994.18
1996,710.27,757.19,657.89,699.32
1997,888.21,946.90,825.78,872.65
1998,1006.01,1102.21,910.37,978.78
1999,1048.55,1123.69,964.47,1028.71
2000,1084.78,1168.56,1001.66,1063.91
2001,1171.92,1258.45,1080.54,1148.23
2002,1103.50,1177.44,1027.12,1082.86
2003,756.50,816.83,694.34,739.40
2004,910.50,984.58,833.38,889.41
2005,793.72,871.29,722.75,773.58
2006,911.92,977.57,848.13,897.36
2007,1047.62,1123.78,968.06,1026.39
2008,979.69,1055.04,905.19,959.15
2009,948.82,1017.65,876.43,929.64
2010,992.27,1061.28,919.02,972.46
2011,806.14,865.47,747.92,789.05
2012,982.17,1060.25,904.76,962.70
2013,945.12,1011.26,874.97,930.12
2014,900.24,968.65,839.30,881.90
2015,816.56,891.82,740.25,796.01
2016,976.33,1056.38,892.98,956.53
2017,897.76,973.49,822.05,876.60
2018,814.82,878.75,746.23,799.20
2019,897.21,966.13,823.77,877.49
2020,827.43,900.29,752.63,808.11
2021,1023.89,1104.08,941.71,1001.03
