Variable:,pr
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1901,544.84,549.52,482.44,479.51,560.33,532.79,574.79,605.37,501.16,553.77,560.79,541.23,627.73,660.97,484.15,505.05,527.84,534.64,541.42,503.00,525.61,641.36,539.90,572.08,494.44,480.20,570.65
1902,679.59,688.87,693.38,700.88,636.21,722.46,692.98,646.20,698.85,696.38,622.32,709.13,674.16,676.26,660.09,716.89,714.88,678.08,707.66,704.33,645.68,681.06,615.99,635.93,699.06,673.85,632.38
1903,734.96,742.88,701.87,693.65,729.70,763.87,754.77,754.84,708.86,740.05,741.71,736.40,774.49,792.18,707.74,712.88,735.02,748.60,728.50,701.54,731.56,793.47,702.03,730.52,726.40,712.42,714.44
1904,661.88,690.38,629.54,610.70,652.14,693.71,668.48,669.08,644.55,693.80,653.18,627.33,694.39,708.37,648.29,606.32,682.32,683.33,655.60,618.60,659.95,703.18,628.63,652.44,677.20,652.43,659.99
1905,654.59,659.14,605.80,611.84,632.19,658.81,674.86,668.54,616.81,670.19,639.75,659.02,704.75,744.58,627.17,638.45,661.70,655.93,659.52,635.03,637.56,717.64,630.36,653.20,625.68,621.51,656.04
1906,695.38,721.29,684.06,669.25,674.13,736.69,731.08,682.79,702.31,729.75,667.67,706.81,698.63,716.28,684.80,679.60,719.89,708.73,706.85,681.37,679.05,717.96,633.44,663.95,704.69,683.71,651.13
1907,584.77,586.38,515.08,505.39,577.94,605.66,573.85,639.10,533.82,575.59,611.26,542.04,666.50,696.07,569.16,520.50,561.38,593.99,551.12,520.28,588.04,678.50,603.07,626.12,551.50,550.77,630.87
1908,635.53,647.53,611.33,600.32,602.87,672.36,645.80,642.28,629.88,648.05,608.36,639.30,661.57,694.57,613.15,634.41,644.28,647.61,625.52,614.18,617.61,680.93,592.12,622.43,643.35,622.49,613.03
1909,557.86,522.17,501.31,484.86,536.59,576.58,522.60,602.45,517.79,511.66,573.78,531.88,651.83,670.45,558.06,516.54,515.37,536.57,501.36,496.31,563.31,647.15,593.08,602.44,557.03,565.19,625.39
1910,631.51,631.86,588.00,573.44,623.88,643.11,638.23,646.83,602.07,632.43,637.69,620.45,684.72,731.77,606.42,593.47,622.63,632.47,614.24,587.53,623.87,687.06,625.54,630.78,618.90,609.80,678.41
1911,591.25,572.58,586.20,551.32,550.74,649.29,515.84,623.27,602.93,554.20,593.35,512.92,649.04,664.65,617.45,542.73,574.64,600.77,524.55,523.33,600.80,664.32,588.05,614.46,633.92,630.78,600.52
1912,691.69,696.19,625.00,603.28,679.30,719.38,683.64,726.73,646.23,685.47,702.05,653.97,770.97,815.93,687.69,619.70,674.00,702.49,652.50,622.87,692.77,775.31,692.42,704.29,678.71,681.98,746.68
1913,661.73,649.96,597.28,583.44,661.08,674.77,637.98,730.40,614.60,647.90,698.73,605.04,761.40,799.39,645.15,594.78,630.11,646.83,613.05,583.76,667.71,781.70,669.48,710.11,639.08,633.44,696.37
1914,578.93,567.94,512.32,490.02,580.73,590.36,546.85,643.63,531.60,560.42,609.29,509.02,684.21,718.18,579.56,488.65,537.99,565.34,521.31,492.61,586.61,703.30,610.75,632.47,562.21,570.02,628.69
1915,629.69,620.46,603.59,586.47,599.88,653.98,621.91,638.88,613.90,619.25,607.82,611.67,682.15,709.94,643.71,600.22,614.87,612.80,599.47,585.15,617.93,684.36,627.70,635.74,639.66,645.20,652.84
1916,720.18,707.51,666.37,652.98,690.12,729.11,730.45,759.43,680.32,712.75,705.79,706.47,804.95,823.95,704.86,678.42,696.27,696.25,702.08,676.08,699.13,808.41,735.49,746.76,705.74,695.29,770.01
1917,642.11,657.69,622.31,623.66,616.81,670.44,675.38,632.02,637.69,668.33,613.00,653.91,649.17,663.08,628.48,640.47,662.92,646.86,657.23,638.44,626.57,661.90,593.32,619.04,644.12,633.48,615.28
1918,548.20,539.45,546.44,535.68,496.44,587.74,547.04,517.55,555.12,549.47,496.14,555.87,562.53,568.65,570.94,553.39,559.88,535.45,545.73,541.15,528.03,552.61,522.28,516.79,577.84,577.20,566.59
1919,582.73,573.01,530.30,523.20,573.94,582.61,568.83,623.78,540.85,572.65,591.12,556.80,663.55,695.04,568.86,545.49,560.47,567.69,553.86,537.76,572.11,665.15,596.77,610.82,557.44,558.47,628.31
1920,516.77,519.10,489.36,479.01,497.92,530.50,526.86,529.41,502.38,525.96,502.89,510.96,558.28,571.74,503.90,492.53,518.47,508.60,509.96,492.27,501.77,563.50,508.21,523.74,511.13,494.88,527.41
1921,607.97,616.48,614.90,611.44,588.45,627.51,622.52,607.03,620.65,629.47,582.48,612.36,611.98,633.45,585.90,621.20,627.29,598.63,611.01,600.23,586.30,634.43,555.60,591.15,621.32,592.63,571.69
1922,641.90,665.39,623.59,622.23,626.44,660.97,698.42,639.72,634.45,675.43,614.57,694.05,636.62,658.32,611.12,654.74,664.52,652.89,660.59,643.59,615.97,650.66,586.63,614.88,631.40,613.86,608.41
1923,745.22,737.04,710.69,688.73,710.81,791.15,718.61,765.45,728.06,732.75,719.79,700.29,815.03,841.62,759.71,704.01,735.49,745.75,703.98,686.83,736.67,815.22,732.96,750.38,763.03,759.30,768.11
1924,638.77,638.52,629.90,613.26,611.33,673.07,649.87,641.39,641.73,649.53,613.14,634.24,664.70,682.86,640.55,623.70,647.77,630.31,655.81,623.09,611.24,674.03,593.09,616.35,656.27,646.11,616.07
1925,752.61,765.88,742.37,720.62,715.42,812.95,727.83,748.90,759.61,766.93,722.95,722.33,758.10,794.53,771.47,727.00,781.55,762.93,740.79,721.87,743.91,778.98,694.61,723.91,798.52,787.31,721.35
1926,695.02,695.13,620.81,607.99,695.66,696.43,678.44,783.49,643.63,691.28,736.79,648.26,806.89,839.23,638.38,628.45,671.46,693.19,667.03,632.84,700.48,834.45,690.08,749.27,640.74,624.03,729.72
1927,714.53,698.92,682.86,661.84,670.92,741.72,681.16,741.20,688.34,695.13,694.90,687.51,799.74,842.05,721.38,678.95,703.88,691.29,656.94,654.23,700.59,799.20,725.41,731.41,695.78,700.65,768.03
1928,773.04,763.62,752.51,717.59,751.96,821.32,723.82,795.65,757.00,757.05,773.08,709.92,828.29,836.14,799.70,712.99,768.97,771.67,724.57,714.73,776.07,838.37,770.71,791.45,810.43,801.86,792.67
1929,615.66,617.64,599.11,579.73,591.70,656.88,596.16,620.99,613.37,614.47,598.68,574.55,655.38,668.22,624.69,576.28,622.06,618.15,582.73,572.45,612.13,662.92,604.28,617.81,626.96,623.14,634.10
1930,735.90,740.07,688.56,679.87,730.25,771.61,739.70,768.04,710.47,743.73,740.01,723.71,780.99,800.77,724.01,704.31,734.22,719.36,712.74,697.28,734.45,813.88,706.89,752.75,726.81,722.01,731.10
1931,654.08,630.28,616.37,591.15,614.44,684.49,630.80,684.27,634.38,633.57,647.37,607.05,730.22,761.31,672.69,594.20,649.62,613.89,610.71,590.99,641.52,737.50,659.01,677.19,668.91,675.30,698.66
1932,649.11,670.16,651.67,638.73,629.14,679.02,683.76,620.99,668.29,694.71,602.85,649.93,644.87,663.52,636.45,643.29,685.75,638.27,675.30,643.78,619.83,656.63,586.29,606.68,680.64,647.55,610.97
1933,604.60,631.09,554.06,566.52,610.71,602.96,672.44,629.19,578.50,660.33,598.78,654.93,630.55,652.35,538.06,610.89,618.94,585.54,642.83,604.48,580.81,667.66,540.27,597.23,561.48,540.44,560.70
1934,618.45,615.59,592.78,583.15,594.01,648.74,601.84,625.80,606.71,618.49,604.85,588.48,670.00,679.69,618.60,588.18,624.80,602.79,588.75,581.55,608.73,664.99,620.09,624.85,621.32,608.48,647.45
1935,730.31,708.20,725.82,713.44,685.78,763.80,701.05,733.06,723.97,715.65,709.07,709.48,774.66,795.24,743.49,723.26,732.39,692.03,699.43,701.91,713.64,776.13,720.56,730.25,751.90,744.47,746.19
1936,659.10,646.64,609.54,585.45,626.72,669.66,636.28,696.16,620.69,650.41,658.07,593.81,760.18,785.99,669.51,580.90,640.84,635.93,618.26,580.26,653.79,751.91,688.36,694.59,652.09,651.37,724.88
1937,666.85,660.97,654.58,623.77,629.62,703.08,649.72,682.78,670.17,670.25,653.55,620.54,713.96,728.50,661.16,614.07,693.33,646.45,646.67,626.64,652.34,720.60,654.44,669.45,682.93,666.71,695.31
1938,596.65,577.65,580.62,564.97,553.03,636.29,563.80,616.81,599.15,589.18,580.43,541.06,656.89,683.18,610.19,556.28,620.81,556.06,557.29,553.34,569.57,662.61,581.49,597.11,618.68,613.69,616.54
