Variable:,pr
,Malta,Attard,Balzan,Birgu,Birkirkara,Birzebbugia,Bormla,Dingli,Fgura,Floriana,Fontana,Ghajnsielem,Gharb,Gharghur,Ghasri,Ghaxaq,Gudja,Gzira,Hamrun,Iklin,Isla,Kalkara,Kercem,Kirkop,Lija,Luqa,Marsa,Marsascala,Marsaxlokk,Mdina,Mellieha,Mgarr,Mosta,Mqabba,Msida,Munxar,Nadur,Naxxar,Paola,Pembroke,Pieta,Qala,Qormi,Qrendi,"Rabat (malta)","Rabat (victoria)",Safi,"San Giljan","San Gwann","San Lawrenz","San Pawl Ii-bahar",Sannat,"Santa Lucija","Santa Venera",Siggiewi,Sliema,Swieqi,"Ta' Xbiex",Tarxien,Valletta,Xaghra,Xewkija,Xghajra,Zabbar,"Zebbug (gozo)","Zebbug (malta)",Zejtun,Zurrieq
1901,532.05,537.80,537.80,537.80,537.80,512.50,537.80,537.80,537.80,537.80,537.80,519.30,519.30,537.80,519.30,512.50,537.80,537.80,537.01,537.80,537.80,537.80,519.30,537.80,537.80,532.26,533.89,512.50,512.50,537.80,537.80,537.80,537.80,537.80,537.80,519.30,519.30,537.80,537.80,537.80,537.80,519.30,537.80,537.80,537.80,519.30,532.36,537.80,537.80,519.30,537.80,519.30,537.80,537.80,537.80,537.80,537.80,537.80,537.80,537.80,519.30,519.30,537.80,512.50,519.30,537.80,512.50,531.75
1902,517.00,527.80,527.80,527.80,527.80,480.30,527.80,527.80,527.80,527.80,527.80,488.20,488.20,527.80,488.20,480.30,527.80,527.80,526.32,527.80,527.80,527.80,488.20,527.80,527.80,517.39,520.45,480.30,480.30,527.80,527.80,527.80,527.80,527.80,527.80,488.20,488.20,527.80,527.80,527.80,527.80,488.20,527.80,527.80,527.80,488.20,517.59,527.80,527.80,488.20,527.80,488.20,527.80,527.80,527.80,527.80,527.80,527.80,527.80,527.80,488.20,488.20,527.80,480.30,488.20,527.80,480.30,516.44
1903,357.54,375.80,375.80,375.80,375.80,295.50,375.80,375.80,375.80,375.80,375.80,326.70,326.70,375.80,326.70,295.50,375.80,375.80,373.30,375.80,375.80,375.80,326.70,375.80,375.80,358.21,363.38,295.50,295.50,375.80,375.80,375.80,375.80,375.80,375.80,326.70,326.70,375.80,375.80,375.80,375.80,326.70,375.80,375.80,375.80,326.70,358.54,375.80,375.80,326.70,375.80,326.70,375.80,375.80,375.80,375.80,375.80,375.80,375.80,375.80,326.70,326.70,375.80,295.50,326.70,375.80,295.50,356.60
1904,589.99,604.00,604.00,604.00,604.00,542.40,604.00,604.00,604.00,604.00,604.00,524.20,524.20,604.00,524.20,542.40,604.00,604.00,602.09,604.00,604.00,604.00,524.20,604.00,604.00,590.50,594.47,542.40,542.40,604.00,604.00,604.00,604.00,604.00,604.00,524.20,524.20,604.00,604.00,604.00,604.00,524.20,604.00,604.00,604.00,524.20,590.76,604.00,604.00,524.20,604.00,524.20,604.00,604.00,604.00,604.00,604.00,604.00,604.00,604.00,524.20,524.20,604.00,542.40,524.20,604.00,542.40,589.27
1905,500.78,518.00,518.00,518.00,518.00,442.30,518.00,518.00,518.00,518.00,518.00,452.50,452.50,518.00,452.50,442.30,518.00,518.00,515.65,518.00,518.00,518.00,452.50,518.00,518.00,501.41,506.29,442.30,442.30,518.00,518.00,518.00,518.00,518.00,518.00,452.50,452.50,518.00,518.00,518.00,518.00,452.50,518.00,518.00,518.00,452.50,501.73,518.00,518.00,452.50,518.00,452.50,518.00,518.00,518.00,518.00,518.00,518.00,518.00,518.00,452.50,452.50,518.00,442.30,452.50,518.00,442.30,499.90
1906,630.07,651.00,651.00,651.00,651.00,559.00,651.00,651.00,651.00,651.00,651.00,535.70,535.70,651.00,535.70,559.00,651.00,651.00,648.14,651.00,651.00,651.00,535.70,651.00,651.00,630.84,636.77,559.00,559.00,651.00,651.00,651.00,651.00,651.00,651.00,535.70,535.70,651.00,651.00,651.00,651.00,535.70,651.00,651.00,651.00,535.70,631.22,651.00,651.00,535.70,651.00,535.70,651.00,651.00,651.00,651.00,651.00,651.00,651.00,651.00,535.70,535.70,651.00,559.00,535.70,651.00,559.00,629.01
1907,425.41,434.30,434.30,434.30,434.30,395.20,434.30,434.30,434.30,434.30,434.30,390.40,390.40,434.30,390.40,395.20,434.30,434.30,433.08,434.30,434.30,434.30,390.40,434.30,434.30,425.73,428.25,395.20,395.20,434.30,434.30,434.30,434.30,434.30,434.30,390.40,390.40,434.30,434.30,434.30,434.30,390.40,434.30,434.30,434.30,390.40,425.90,434.30,434.30,390.40,434.30,390.40,434.30,434.30,434.30,434.30,434.30,434.30,434.30,434.30,390.40,390.40,434.30,395.20,390.40,434.30,395.20,424.95
1908,512.76,517.60,517.60,517.60,517.60,496.30,517.60,517.60,517.60,517.60,517.60,503.00,503.00,517.60,503.00,496.30,517.60,517.60,516.94,517.60,517.60,517.60,503.00,517.60,517.60,512.93,514.31,496.30,496.30,517.60,517.60,517.60,517.60,517.60,517.60,503.00,503.00,517.60,517.60,517.60,517.60,503.00,517.60,517.60,517.60,503.00,513.02,517.60,517.60,503.00,517.60,503.00,517.60,517.60,517.60,517.60,517.60,517.60,517.60,517.60,503.00,503.00,517.60,496.30,503.00,517.60,496.30,512.51
1909,483.86,496.60,496.60,496.60,496.60,440.60,496.60,496.60,496.60,496.60,496.60,452.60,452.60,496.60,452.60,440.60,496.60,496.60,494.86,496.60,496.60,496.60,452.60,496.60,496.60,484.33,487.94,440.60,440.60,496.60,496.60,496.60,496.60,496.60,496.60,452.60,452.60,496.60,496.60,496.60,496.60,452.60,496.60,496.60,496.60,452.60,484.56,496.60,496.60,452.60,496.60,452.60,496.60,496.60,496.60,496.60,496.60,496.60,496.60,496.60,452.60,452.60,496.60,440.60,452.60,496.60,440.60,483.21
1910,433.24,456.60,456.60,456.60,456.60,353.90,456.60,456.60,456.60,456.60,456.60,399.80,399.80,456.60,399.80,353.90,456.60,456.60,453.41,456.60,456.60,456.60,399.80,456.60,456.60,434.10,440.72,353.90,353.90,456.60,456.60,456.60,456.60,456.60,456.60,399.80,399.80,456.60,456.60,456.60,456.60,399.80,456.60,456.60,456.60,399.80,434.52,456.60,456.60,399.80,456.60,399.80,456.60,456.60,456.60,456.60,456.60,456.60,456.60,456.60,399.80,399.80,456.60,353.90,399.80,456.60,353.90,432.05
