Variable:,pr
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1901,703.74,727.34,719.75,744.95,693.82,749.22,673.64,675.65,712.55,706.08,720.64,628.77,688.57
1902,653.14,668.16,651.75,670.85,638.77,693.82,673.30,637.18,648.16,651.22,654.30,622.93,642.30
1903,847.83,849.60,873.61,887.21,829.00,886.28,803.73,821.76,891.74,828.29,877.29,826.60,865.90
1904,610.09,611.76,617.98,625.45,602.40,625.83,599.51,599.21,624.59,601.74,627.23,590.25,618.86
1905,752.95,744.62,743.66,756.72,738.45,746.02,786.04,760.71,753.40,737.35,763.71,756.62,768.61
1906,759.00,758.80,763.67,774.53,745.02,773.57,762.34,748.77,774.92,749.73,778.44,739.29,769.60
1907,614.29,614.74,622.64,628.41,606.61,620.53,630.65,606.53,620.54,607.69,628.02,577.52,615.35
1908,637.45,625.35,648.76,639.91,627.47,648.19,679.32,634.53,640.93,617.95,652.41,623.55,642.22
1909,776.57,770.19,784.35,792.09,756.66,786.60,787.95,768.77,800.05,757.69,794.56,769.53,798.27
1910,800.07,771.36,791.93,780.46,784.01,754.62,884.85,821.54,804.27,775.90,805.89,840.73,830.10
1911,608.42,573.37,610.18,606.69,591.90,590.24,618.48,622.14,650.42,573.06,633.82,640.01,655.91
1912,859.77,835.85,861.17,864.82,840.11,858.68,844.69,867.49,896.06,825.16,890.10,870.96,913.59
1913,717.18,689.07,722.50,702.95,711.82,687.09,765.65,734.31,720.31,693.23,739.16,714.24,740.83
1914,800.72,786.05,815.42,809.13,795.85,796.42,826.44,797.93,808.45,785.85,823.30,764.04,813.72
1915,871.57,855.32,898.80,889.33,864.89,864.79,870.74,861.07,899.39,852.89,907.69,840.26,892.56
1916,823.58,782.67,829.14,810.24,811.53,800.99,890.33,844.87,837.47,784.66,847.76,836.04,853.02
1917,748.76,724.15,759.47,759.32,730.64,751.69,764.15,748.47,781.27,718.14,772.54,753.11,782.71
1918,796.18,772.52,801.20,801.31,781.78,786.76,834.45,801.11,826.49,768.48,818.13,767.31,820.51
1919,774.35,737.34,773.84,761.72,763.94,732.64,820.38,793.87,802.73,741.41,804.43,779.92,816.11
1920,654.03,640.74,658.05,653.28,647.64,675.79,675.71,655.89,652.51,632.43,665.82,645.22,666.68
1921,441.68,466.05,444.35,470.94,426.84,509.65,409.86,413.95,444.05,447.05,445.78,413.38,432.16
1922,752.76,734.14,750.33,747.34,740.24,738.46,810.44,759.24,759.31,733.73,768.45,747.74,772.96
1923,810.52,782.82,815.33,818.43,789.72,804.99,822.65,815.48,841.39,775.32,834.67,843.71,857.92
1924,748.00,710.19,751.59,742.14,733.54,740.24,794.61,757.31,782.73,707.49,768.92,760.98,785.40
1925,923.02,871.89,942.09,916.89,915.65,884.18,957.65,938.61,950.64,878.19,965.39,937.09,978.54
1926,786.44,794.23,785.66,799.04,765.53,813.05,824.34,777.51,779.83,776.91,795.94,758.05,788.41
1927,800.67,787.96,811.46,816.13,785.67,827.68,793.27,789.42,838.26,776.62,820.78,787.71,825.60
1928,771.88,754.36,776.82,779.26,756.85,784.03,785.60,770.64,795.61,745.10,795.18,770.35,798.55
1929,602.78,586.88,623.74,624.57,585.88,605.64,624.73,590.71,638.40,582.18,623.66,600.22,614.12
1930,879.76,853.74,905.23,901.10,867.64,867.89,929.29,871.28,914.07,851.64,904.36,848.85,891.84
1931,784.85,800.81,808.28,820.97,771.82,822.03,791.95,752.33,789.19,785.15,793.80,744.54,772.73
1932,748.73,726.63,771.95,765.40,732.61,739.92,787.76,742.95,774.69,723.22,773.52,737.67,768.08
1933,574.25,562.04,572.79,583.68,554.91,575.69,606.69,573.53,587.94,555.78,580.83,583.40,598.23
1934,641.98,620.28,652.30,657.72,621.93,651.46,651.39,639.06,673.49,611.34,664.13,647.75,677.65
1935,824.34,798.59,830.12,830.22,808.76,816.70,858.26,830.71,844.71,792.08,847.10,816.69,858.31
1936,744.49,740.36,749.68,772.57,715.19,772.75,778.85,730.01,773.36,719.00,757.96,720.99,762.02
1937,784.81,757.46,802.65,792.20,773.75,781.14,816.93,781.68,808.63,757.19,811.28,791.80,809.52
1938,723.91,715.62,723.42,738.85,703.97,740.96,723.70,719.30,743.32,703.91,740.75,737.47,750.92
1939,843.13,807.63,847.12,848.78,818.01,813.55,874.19,851.53,892.65,804.36,870.76,881.51,897.30
1940,810.48,798.94,819.68,823.97,803.51,804.02,842.28,805.28,825.78,796.34,827.45,767.27,821.12
1941,723.71,709.60,722.29,730.81,704.19,729.83,744.68,726.32,737.67,698.95,741.74,722.31,754.71
1942,765.68,734.45,769.50,768.07,748.54,738.11,769.32,775.90,804.82,731.11,793.45,788.09,823.50
1943,674.89,637.39,664.42,652.08,667.25,636.40,756.44,701.18,678.15,645.34,688.24,678.97,704.87
1944,841.70,811.48,848.06,845.46,839.79,797.22,902.84,857.25,851.59,819.60,855.47,803.01,856.65
1945,749.60,738.10,748.22,753.87,743.16,760.14,786.50,749.87,751.78,735.13,754.22,729.38,754.13
1946,769.54,715.03,758.91,755.82,752.44,751.81,809.65,801.51,811.38,708.98,791.58,801.10,831.59
1947,654.10,634.47,650.08,642.34,644.85,641.97,708.09,670.44,647.17,632.75,670.19,638.36,671.50
1948,743.74,690.15,727.86,699.42,734.70,704.44,854.75,787.29,731.20,695.30,759.22,780.85,786.53
1949,621.56,626.39,619.43,635.48,607.20,658.37,635.48,608.41,637.10,613.20,630.99,575.92,623.11
1950,883.77,844.30,892.31,880.63,868.76,887.82,901.03,892.04,922.83,836.67,920.17,875.58,938.65
1951,821.31,768.60,814.94,798.00,804.34,787.70,871.25,854.45,845.42,770.31,847.72,863.96,889.57
1952,846.23,764.55,841.95,814.96,834.92,771.41,945.73,894.29,872.14,794.32,874.77,890.02,909.81
1953,578.13,569.74,583.54,584.41,576.20,585.85,601.35,574.15,578.88,567.33,583.76,554.96,583.51
1954,800.97,783.00,805.92,811.98,794.32,814.89,837.93,796.31,818.90,777.30,815.90,757.43,812.53
1955,666.97,668.34,685.48,692.02,661.89,673.43,678.97,651.40,666.01,671.37,679.21,625.37,657.08
1956,802.02,774.33,818.98,806.45,801.94,783.32,833.75,800.82,817.93,786.77,828.93,757.24,819.59
1957,841.11,824.88,859.53,863.58,832.60,841.70,863.25,832.98,865.61,821.42,862.17,778.59,851.33
1958,834.28,816.41,838.74,835.28,827.06,836.18,886.44,835.94,840.92,811.74,843.32,823.15,845.27
1959,537.89,508.83,542.31,540.30,532.62,506.37,545.48,544.83,569.95,518.53,563.04,553.51,571.10
1960,915.68,876.99,926.50,925.05,899.78,898.21,925.39,921.61,967.92,876.60,953.96,923.63,961.15
1961,915.78,899.25,924.65,928.01,906.26,918.23,941.20,912.31,940.43,889.90,939.41,872.58,933.36
1962,751.42,722.86,753.52,748.84,745.14,737.82,801.61,764.27,765.63,724.70,766.85,712.06,770.91
1963,695.90,669.90,708.99,710.19,686.71,697.82,684.56,697.76,726.31,672.91,723.48,676.31,723.99
1964,705.64,660.18,711.80,703.49,689.47,666.82,695.69,727.57,745.08,668.73,743.95,747.04,770.35
1965,979.70,945.36,979.83,962.16,973.18,953.87,1043.16,1005.72,977.54,948.08,1000.19,948.61,1008.62
1966,1018.76,973.41,1029.39,1004.03,1014.11,975.50,1069.79,1045.06,1029.60,983.30,1061.75,996.31,1055.78
1967,791.90,809.30,822.73,838.10,779.23,842.30,748.87,750.15,832.93,788.09,823.33,705.05,787.14
