Variable:,pr
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1901,593.49,599.63,515.68,545.59,568.87,489.87,843.00,542.77,618.41,709.29,587.41,595.45,750.18,653.39,639.99,488.97,557.07
1902,602.83,614.12,520.86,557.68,578.34,527.02,877.99,546.09,633.04,729.93,581.96,581.79,785.07,664.63,614.96,512.51,560.98
1903,654.05,721.17,594.57,606.54,592.66,585.39,882.14,580.13,759.49,672.86,636.02,663.41,894.55,682.59,686.72,573.81,617.55
1904,531.73,570.51,495.64,483.90,441.80,507.51,639.64,480.24,571.08,521.17,527.17,603.28,659.63,496.61,606.72,476.98,561.42
1905,648.97,638.29,624.69,601.65,602.00,581.77,820.15,592.59,649.57,715.41,621.60,706.70,774.11,666.66,679.98,589.89,668.96
1906,638.55,693.23,557.33,600.69,593.25,555.24,898.97,575.48,720.93,725.02,605.48,631.25,839.35,663.28,649.78,554.37,608.75
1907,607.68,663.44,575.91,595.02,527.74,570.65,779.23,560.46,665.23,602.22,553.66,628.59,778.90,641.17,642.92,557.84,585.02
1908,601.49,581.09,553.70,587.49,587.68,509.57,771.73,571.03,615.51,695.92,570.59,622.44,728.53,652.44,630.01,525.40,572.11
1909,607.89,723.46,534.29,598.88,532.16,586.22,850.24,522.24,742.38,656.08,495.32,593.59,857.96,654.02,550.89,561.09,607.01
1910,645.84,756.88,564.01,602.11,563.04,598.60,881.83,553.95,792.20,669.51,582.82,660.97,907.10,651.70,638.07,571.09,666.71
1911,533.74,553.80,505.33,514.43,493.45,489.60,685.13,483.39,565.99,580.79,462.93,576.79,666.47,553.33,552.36,481.70,540.18
1912,684.17,710.26,583.53,630.48,687.49,588.50,982.58,615.49,761.86,831.76,650.33,662.78,916.70,752.67,683.60,563.42,629.80
1913,649.65,644.82,597.54,622.43,632.35,539.10,859.53,617.83,675.07,749.41,616.49,662.68,795.25,690.98,725.56,557.51,575.16
1914,601.01,647.16,562.92,547.36,512.48,573.05,834.08,517.68,638.98,641.81,530.79,650.27,771.69,584.59,638.46,553.57,628.45
1915,647.15,751.58,576.66,610.58,560.09,607.96,970.25,552.35,760.29,740.75,551.54,627.52,906.33,685.25,617.65,583.07,612.67
1916,674.65,729.00,611.99,612.99,602.50,608.41,884.66,599.47,743.73,724.82,656.63,717.59,874.53,682.23,721.78,584.62,681.87
1917,552.48,563.77,517.44,538.73,492.04,498.75,651.80,520.86,563.24,551.00,569.25,584.03,654.77,566.26,624.96,496.07,549.77
1918,609.95,667.15,543.71,585.95,567.58,551.57,854.54,542.98,691.20,684.32,538.15,585.07,829.55,655.31,586.18,547.38,600.06
1919,652.19,719.52,599.45,613.68,612.28,580.79,858.81,594.89,740.96,712.45,586.94,670.11,854.19,692.14,667.76,567.57,616.27
1920,589.51,674.54,522.59,547.94,511.76,571.35,853.72,498.81,675.82,660.79,504.40,581.13,807.12,620.55,565.99,534.02,605.75
1921,517.63,516.05,493.11,458.74,467.83,499.47,603.18,473.28,493.07,537.99,529.96,569.33,575.63,501.01,587.57,472.45,564.32
1922,621.59,706.41,543.12,549.95,596.53,592.55,845.10,520.85,684.36,766.72,564.43,616.62,782.87,639.75,591.53,558.73,638.42
1923,605.42,635.43,573.60,557.09,516.93,555.22,739.60,555.16,635.28,604.64,608.21,677.62,739.12,581.92,696.56,536.18,615.42
1924,597.44,590.70,554.82,562.50,521.48,528.09,789.63,571.25,599.72,607.69,623.10,636.11,724.02,611.50,682.10,519.69,573.35
1925,685.98,741.43,626.17,644.77,596.48,590.83,959.86,601.47,780.02,767.74,623.33,727.29,918.30,725.21,718.37,598.21,666.93
1926,695.54,779.92,648.12,638.53,595.04,680.82,927.81,603.52,759.05,729.98,621.11,730.06,890.16,709.39,707.39,647.41,725.77
1927,688.34,730.95,682.69,647.99,552.56,681.55,860.21,600.59,692.67,686.66,603.37,785.42,827.80,692.34,729.58,659.70,772.64
1928,568.84,616.32,547.02,532.53,460.92,524.80,655.33,516.98,612.64,545.07,566.13,656.79,691.22,540.40,656.43,512.13,599.12
1929,543.51,581.22,475.76,519.34,511.83,466.80,731.78,514.15,600.69,606.69,546.25,525.43,689.63,570.95,588.59,457.90,485.82
1930,670.46,689.41,616.14,624.67,593.35,602.47,881.86,616.18,703.40,698.47,669.74,694.36,858.75,685.44,722.77,591.41,679.55
1931,665.37,705.13,646.30,631.40,570.25,638.87,832.71,594.98,693.09,683.64,598.91,725.11,812.08,679.02,680.20,627.77,717.33
1932,550.45,539.03,515.84,494.11,511.70,483.96,653.58,526.18,527.74,565.77,603.46,599.17,602.19,534.42,663.05,477.87,549.54
1933,593.81,543.63,516.55,526.34,609.42,464.56,809.24,564.84,582.92,730.82,631.06,605.77,715.70,624.55,667.47,474.92,560.59
1934,585.35,606.57,546.62,574.65,522.98,522.56,762.34,539.55,626.64,620.00,539.85,625.12,723.38,619.06,603.53,524.27,592.72
1935,635.27,635.65,584.28,587.77,573.23,563.13,798.40,597.22,644.23,644.89,663.97,677.96,770.64,648.21,697.71,556.25,657.43
1936,640.51,634.07,558.75,597.65,622.24,518.84,927.68,600.91,682.02,760.42,629.42,635.95,831.84,703.58,679.08,524.21,578.27
1937,647.80,724.72,597.63,620.08,533.25,587.39,922.79,576.09,755.85,646.64,567.71,675.51,909.87,651.51,657.72,586.23,654.85
1938,639.29,720.62,573.86,621.80,580.06,589.94,859.51,582.14,730.43,717.52,565.74,619.77,832.59,685.44,647.79,570.88,593.00
