Variable:,pr
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1901,861.43,1040.49,707.69,1185.45,657.64,890.25,1003.62,715.13,760.88,917.34,966.70,879.46,771.68,1087.95,854.15,737.10,1266.18,995.35,1046.06
1902,982.67,1204.35,737.98,1337.01,783.43,1051.49,1172.38,805.39,741.23,1090.45,1134.14,1034.05,895.80,1234.55,1002.73,828.37,1403.76,1154.89,1229.14
1903,857.42,1175.06,556.80,1369.25,730.01,903.00,1100.91,615.49,564.83,974.50,995.85,827.80,718.75,1238.71,823.79,621.59,1479.18,1130.72,1162.96
1904,794.80,1004.59,567.27,1172.78,690.89,840.88,940.09,602.83,589.74,928.92,878.34,790.86,680.42,1069.39,764.86,621.84,1251.18,1012.67,1034.48
1905,713.31,957.78,487.67,1121.14,613.27,737.94,887.04,517.47,523.94,808.51,806.54,686.80,589.75,1015.90,676.70,530.42,1213.31,936.04,953.29
1906,738.33,969.93,471.03,1160.71,672.10,795.54,918.26,535.61,462.19,895.42,796.39,684.67,639.23,1043.73,689.76,522.92,1240.54,1008.40,1014.12
1907,1005.27,1345.32,685.14,1498.11,784.85,1068.39,1285.92,768.72,663.19,1120.26,1197.21,1048.00,880.07,1385.12,1018.60,789.54,1588.15,1227.87,1335.98
1908,685.06,883.91,492.89,1023.60,580.60,689.79,824.88,522.35,536.30,763.42,763.92,690.22,580.91,943.55,663.60,544.37,1088.76,859.09,909.86
1909,895.47,1140.94,672.52,1309.20,718.47,926.82,1078.10,695.99,738.56,988.87,999.09,893.42,782.72,1190.18,868.80,719.53,1413.99,1086.79,1150.70
1910,985.10,1322.44,648.24,1528.19,826.15,1040.90,1242.90,732.60,615.53,1138.85,1131.73,979.79,852.74,1398.04,956.85,738.41,1644.84,1265.54,1340.26
1911,949.14,1208.57,683.15,1376.54,777.72,1000.99,1161.26,752.51,665.04,1038.16,1102.69,971.90,860.02,1276.46,953.59,756.51,1453.50,1157.39,1219.11
1912,852.03,1143.24,551.71,1365.04,747.16,882.36,1059.97,612.14,579.24,961.78,967.21,834.40,715.22,1225.91,820.30,631.36,1488.11,1135.31,1150.56
1913,922.77,1205.87,630.75,1402.94,778.28,973.97,1141.28,702.06,623.01,1034.19,1054.45,916.88,808.80,1263.90,910.90,713.67,1513.72,1185.96,1205.20
1914,911.13,1240.55,581.29,1468.64,810.68,953.01,1145.21,643.33,584.11,1043.34,1028.52,884.96,753.16,1326.27,867.86,667.80,1592.00,1225.68,1257.16
1915,976.16,1315.71,614.53,1625.44,905.86,1016.78,1204.75,663.27,636.59,1119.44,1076.58,928.88,802.74,1431.02,912.24,704.92,1785.84,1359.24,1335.37
1916,963.96,1298.18,602.44,1674.17,903.97,972.83,1166.33,665.16,612.81,1075.72,1038.70,905.12,797.93,1467.25,885.03,683.95,1847.32,1398.31,1315.41
1917,686.99,886.29,486.19,1122.90,661.78,663.13,761.28,499.30,548.81,761.76,710.09,634.00,560.28,1000.02,625.68,522.37,1230.02,950.37,915.17
1918,757.25,1010.25,486.97,1303.23,705.37,764.89,908.57,519.41,523.79,832.02,820.17,710.66,626.13,1166.90,700.83,541.22,1426.32,1074.95,1016.40
1919,942.48,1230.43,585.53,1695.13,999.72,949.00,1108.39,618.38,608.10,1102.27,934.73,794.00,735.21,1454.85,803.40,637.08,1876.17,1469.54,1299.80
1920,753.12,988.49,527.84,1114.25,619.89,807.92,934.90,572.20,542.80,864.47,836.88,740.26,666.37,1020.90,729.08,586.98,1213.85,918.49,1000.52
1921,599.17,753.63,422.68,900.31,523.88,637.39,712.10,445.99,453.74,685.22,655.73,576.26,530.70,810.52,575.01,454.16,963.53,781.16,779.98
1922,762.24,1048.56,472.85,1379.94,723.03,759.74,913.93,518.29,483.93,861.48,794.81,675.38,618.36,1193.65,670.42,519.42,1536.37,1136.83,1060.44
1923,732.69,967.08,477.17,1244.02,690.21,739.58,871.34,523.59,479.09,826.98,772.83,670.25,616.62,1094.62,669.80,525.50,1366.56,1049.51,989.45
1924,877.01,1148.91,608.45,1400.20,743.42,889.75,1054.34,653.99,637.17,961.06,971.55,863.84,752.83,1248.80,836.85,674.60,1532.95,1161.56,1151.84
1925,828.75,1134.34,516.01,1448.55,777.10,839.01,1004.57,566.93,536.92,945.47,888.88,753.31,669.71,1269.85,747.69,572.75,1603.46,1211.38,1143.30
1926,852.08,1137.17,517.68,1434.97,825.98,889.64,1044.03,580.37,516.37,1028.39,900.28,773.72,699.80,1258.62,770.26,590.96,1572.30,1239.63,1193.97
1927,876.59,1166.15,565.87,1532.50,835.48,878.94,1040.37,604.46,596.25,1006.84,905.22,782.76,713.06,1308.66,775.29,615.73,1700.42,1289.81,1199.32
1928,827.01,1102.71,565.60,1366.42,723.93,819.22,983.48,634.71,552.54,882.53,913.51,795.44,721.41,1213.24,780.71,624.17,1513.56,1118.75,1078.79
1929,672.78,915.17,393.15,1204.29,708.93,685.78,826.71,434.77,398.04,807.36,695.63,579.29,518.18,1025.33,576.86,437.52,1346.24,1047.00,950.58
1930,739.18,1017.41,488.67,1262.79,659.47,741.82,904.19,530.95,500.95,848.29,791.25,684.59,597.83,1086.53,662.43,527.29,1418.78,1031.75,1005.20
1931,697.12,987.67,445.17,1222.80,631.32,701.14,867.01,477.53,465.50,792.11,741.75,621.69,562.86,1058.57,617.01,477.75,1363.10,1005.94,967.90
1932,830.15,1134.13,572.92,1408.64,728.86,815.94,1010.79,602.73,625.92,901.40,882.56,750.02,684.87,1246.42,747.90,601.16,1556.55,1148.63,1113.57
1933,712.99,912.03,529.99,1203.72,653.23,681.52,808.49,522.74,622.72,759.42,715.71,638.54,570.29,1029.67,622.06,542.16,1356.57,1014.79,919.51
1934,706.09,981.21,420.27,1287.29,671.01,712.09,856.37,466.90,433.45,810.75,753.37,640.07,567.22,1098.71,628.27,473.99,1434.27,1068.20,977.25
1935,728.49,1014.03,409.53,1316.03,729.20,762.18,909.24,464.08,402.47,879.31,769.43,636.70,577.47,1141.46,640.41,464.89,1445.78,1117.59,1042.81
1936,1110.34,1411.23,761.61,1749.41,1001.88,1160.49,1339.50,809.14,845.74,1283.59,1180.19,1023.08,938.79,1511.57,1023.14,824.42,1924.22,1498.02,1490.23
1937,1205.54,1626.70,731.34,1969.07,1119.35,1320.10,1537.44,804.77,747.20,1459.30,1336.17,1115.74,976.09,1732.58,1117.09,841.19,2143.59,1681.12,1690.86
