Variable:,pr
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
1901,746.83,794.56,681.11,850.90,711.32,713.20,873.29,589.40,611.18,880.58,751.91,757.94,684.27,856.57,773.44,580.35,880.39,838.35,660.00,636.08,750.56,836.52,881.24,847.60,657.36,590.87,903.87,750.23,811.99,751.00,685.47,862.21,765.67,760.90,813.42,846.02,710.20,667.34,515.05,656.82,811.72,729.80
1902,646.03,794.27,695.54,729.50,550.99,759.39,807.11,474.79,402.84,741.82,544.39,542.03,476.29,822.14,786.52,391.16,714.18,687.03,576.41,414.64,567.18,780.13,741.77,838.79,445.91,451.11,893.49,685.17,718.21,617.55,582.24,674.22,794.82,782.46,765.82,720.28,570.09,666.86,345.04,442.90,738.49,530.98
1903,545.30,619.38,565.40,586.88,473.55,596.10,649.66,430.91,414.19,593.28,512.27,510.76,473.09,681.01,619.70,397.97,576.77,564.08,479.27,423.38,517.36,622.88,603.78,662.94,448.04,403.22,715.38,568.97,580.93,518.32,489.06,586.00,620.41,616.43,595.73,606.77,492.17,566.65,351.38,434.79,585.50,491.78
1904,533.82,593.12,534.39,586.09,495.81,546.87,644.45,439.39,404.69,606.16,493.56,504.12,441.93,658.38,583.93,375.12,599.61,564.16,472.28,423.82,494.85,603.91,624.30,633.36,430.09,431.65,672.23,555.63,588.57,543.70,476.67,575.14,580.43,560.33,579.89,610.78,474.00,536.41,342.25,449.22,575.37,492.99
1905,621.53,754.86,669.88,724.93,528.97,686.92,749.98,480.23,389.72,729.05,511.99,521.44,426.95,828.30,711.94,340.74,694.45,660.97,604.60,414.04,536.94,777.93,717.31,806.27,416.51,435.57,808.67,705.01,691.73,583.98,597.91,632.79,704.47,694.71,745.31,677.65,568.23,669.53,318.01,433.81,740.78,518.77
1906,703.09,801.43,740.49,781.95,640.31,775.52,831.50,546.66,513.00,800.70,648.94,664.01,587.56,858.55,791.18,494.32,800.21,767.04,617.87,526.70,666.20,795.91,791.79,838.72,558.81,531.42,897.89,716.22,757.51,678.69,637.32,778.44,795.67,777.60,790.51,754.61,649.66,726.07,438.88,546.19,763.96,645.38
1907,496.04,526.26,479.66,532.64,479.09,538.66,590.74,450.78,413.38,561.80,472.10,500.04,439.67,546.67,547.94,385.67,568.72,510.85,408.04,435.45,463.79,518.19,568.59,544.01,432.05,430.02,646.46,467.10,530.74,509.45,427.80,534.23,558.87,556.61,526.07,567.83,429.96,456.38,352.79,463.35,512.39,490.25
1908,601.39,686.90,595.57,660.16,553.53,646.69,756.99,524.96,451.55,723.52,530.00,565.60,487.34,662.30,695.66,428.63,706.15,630.96,502.93,466.75,529.34,661.12,729.44,706.40,475.44,488.99,806.75,567.63,689.51,617.64,524.35,652.31,691.40,675.26,690.44,717.32,517.16,550.64,384.41,482.81,644.52,553.67
1909,635.79,750.56,670.18,717.56,550.93,704.55,721.79,494.68,445.97,704.86,565.31,557.85,499.73,829.78,711.18,422.45,692.91,673.22,612.87,467.70,586.88,780.90,695.03,813.94,477.13,476.95,779.46,711.38,659.34,598.93,608.55,663.16,714.40,686.80,722.53,670.76,594.82,665.78,387.33,488.86,733.36,548.31
1910,643.45,707.31,678.86,681.41,601.30,685.34,750.45,567.71,498.75,708.86,581.07,613.00,535.90,807.61,696.61,480.11,723.02,664.95,555.52,525.71,583.59,714.96,719.80,766.86,522.14,543.51,786.54,662.17,681.50,647.72,557.37,687.46,690.55,667.44,675.64,728.02,560.47,686.17,432.65,556.73,669.66,610.43
