Variable:,pr
,Slovakia,"Banska Bystrica",Bratislava,Kosice,Nitra,Presov,Trencin,Trnava,Zilna
1901,776.19,787.34,594.68,768.26,589.94,836.64,790.50,568.15,1036.13
1902,854.51,874.90,690.95,822.46,685.97,892.49,882.02,656.82,1116.76
1903,891.52,928.69,856.82,721.64,776.94,806.91,1036.06,798.04,1201.88
1904,701.77,723.22,688.77,592.31,622.69,641.13,804.12,640.18,912.02
1905,799.35,815.77,655.32,763.58,666.98,829.03,825.09,635.03,1024.79
1906,909.91,932.70,737.99,845.10,747.41,926.08,966.04,709.85,1212.91
1907,720.01,740.10,637.01,627.06,588.96,702.23,801.91,594.56,979.98
1908,683.27,684.81,500.82,698.40,494.53,773.25,669.47,477.53,913.31
1909,826.82,857.74,713.68,741.16,655.69,813.39,907.97,670.53,1124.73
1910,917.02,953.86,849.03,766.11,797.80,836.90,1056.72,804.99,1235.30
1911,689.98,707.42,618.39,617.16,588.76,672.69,755.53,586.84,899.45
1912,941.10,970.60,742.13,901.28,729.58,982.73,968.39,710.66,1265.24
1913,822.01,831.46,687.74,771.72,678.61,854.12,857.26,658.82,1067.24
1914,834.24,868.69,666.10,769.23,686.12,838.59,874.36,645.33,1123.13
1915,1005.87,1057.16,812.85,926.10,856.50,986.62,1058.87,784.44,1341.33
1916,900.57,923.54,803.13,800.64,755.10,869.34,1000.07,760.52,1197.62
1917,619.93,627.61,559.84,571.22,500.68,623.66,677.11,514.98,810.32
1918,860.19,882.95,751.06,763.96,731.81,827.84,947.25,724.01,1147.96
1919,849.27,876.51,745.15,758.63,701.12,831.34,936.66,701.91,1130.00
1920,844.63,869.68,711.78,760.85,694.70,831.52,913.83,680.29,1146.95
1921,613.83,613.02,546.03,584.16,519.86,624.08,649.88,518.59,775.34
1922,848.17,852.86,691.33,843.41,675.14,910.21,873.48,656.68,1075.24
1923,768.62,813.16,675.36,672.36,654.14,724.94,852.11,637.35,1022.99
1924,747.96,792.79,574.14,700.29,601.76,761.56,759.28,557.81,1012.02
1925,911.84,926.31,764.27,846.40,722.26,925.62,977.71,724.97,1234.02
1926,901.68,940.99,764.00,813.19,747.88,891.40,959.29,734.53,1198.04
1927,783.96,811.80,630.90,733.83,626.06,807.81,810.55,603.12,1049.44
1928,656.24,667.19,613.51,586.30,544.79,629.74,743.68,572.77,860.40
1929,720.07,748.20,564.39,676.47,594.77,732.65,749.75,553.93,955.55
1930,887.06,930.35,778.31,780.51,774.02,840.17,968.94,746.19,1168.11
1931,770.07,792.04,618.43,723.09,611.15,789.92,806.27,587.31,1043.91
1932,602.17,614.54,438.72,611.27,469.05,655.49,592.16,431.93,790.03
1933,814.63,820.59,662.00,803.39,675.58,863.77,827.16,640.57,1026.67
1934,714.84,745.04,570.69,653.27,575.34,719.86,758.84,548.11,975.82
1935,757.69,790.58,634.01,684.47,623.35,749.55,813.23,604.29,1016.78
