Variable:,pr
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1901,1610.11,2073.85,1999.72,1561.90,1453.34,1886.67,1697.01,1793.83,1150.75,857.96,1479.13,1392.72,1560.62
1902,1414.19,1699.83,1718.89,1440.58,1259.34,1682.53,1507.03,1527.55,1069.32,865.62,1262.44,1257.24,1314.42
1903,1635.81,2064.79,2066.89,1613.40,1434.92,1923.25,1730.32,1773.29,1199.38,965.52,1445.91,1415.41,1511.84
1904,1531.75,1915.47,1865.55,1411.25,1525.01,1664.04,1509.58,1674.22,1211.21,994.77,1456.73,1306.61,1536.53
1905,1638.73,1952.09,2021.44,1709.41,1388.67,2030.66,1812.54,1742.83,1229.73,997.71,1416.24,1458.30,1453.69
1906,1574.76,1939.56,1944.39,1538.88,1444.72,1813.58,1637.18,1699.03,1208.45,987.11,1427.21,1381.75,1487.97
1907,1434.30,1782.70,1810.85,1367.01,1352.41,1708.51,1555.97,1577.43,1039.08,839.90,1303.12,1175.60,1382.07
1908,1103.52,1323.15,1296.19,1143.28,1016.67,1185.43,1081.07,1180.28,883.39,705.61,1040.66,1044.53,1071.49
1909,1501.32,1937.74,1903.06,1449.14,1334.13,1810.72,1618.34,1657.75,1068.61,811.15,1333.29,1271.26,1404.03
1910,1827.52,2279.70,2290.21,1806.64,1604.66,2213.18,1959.81,1990.11,1357.99,1041.69,1622.20,1566.56,1682.71
1911,1314.89,1731.30,1770.27,1193.91,1175.30,1600.40,1458.88,1432.64,911.15,731.30,1143.54,1055.50,1215.13
1912,1553.92,1896.86,1877.25,1549.96,1385.26,1828.11,1641.62,1681.29,1196.21,933.67,1422.88,1388.01,1468.94
1913,1435.85,1798.31,1786.84,1423.09,1294.00,1684.76,1500.35,1557.99,1068.17,886.89,1274.68,1225.53,1335.66
1914,1557.40,2016.26,2034.93,1428.59,1396.25,1883.93,1672.47,1700.56,1110.69,910.19,1394.57,1273.05,1472.00
