Variable:,pr
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1901,450.41,549.33,459.97,397.87,446.00,688.27,468.89,551.45,488.42,595.86,395.08,431.42,444.12,654.44,385.68,355.27,343.95,495.75,439.95,411.38,388.02,513.16
1902,531.58,495.68,577.63,515.79,465.65,736.84,538.41,607.53,488.95,586.29,469.55,598.69,535.44,550.61,520.81,479.94,492.94,611.72,504.02,484.39,552.20,662.43
1903,611.55,564.59,704.57,654.60,524.86,868.48,622.72,706.68,540.73,662.99,476.20,732.97,631.48,664.09,645.32,572.78,623.74,753.32,567.45,601.03,704.85,785.92
1904,521.95,541.84,526.42,507.00,503.49,770.05,524.69,646.73,539.38,635.26,437.38,605.09,574.10,599.82,539.96,483.09,494.64,567.52,492.52,493.67,563.17,658.46
1905,534.39,553.47,581.98,542.95,503.07,737.30,563.52,600.91,518.03,611.17,452.56,577.06,540.15,640.34,537.80,497.34,528.94,589.96,510.42,514.60,568.96,603.21
1906,531.04,533.09,615.52,554.20,475.56,731.39,575.83,588.49,496.68,596.50,444.03,590.56,512.45,612.22,490.41,438.51,481.10,626.70,483.05,508.14,544.04,633.30
1907,598.48,531.61,701.16,657.81,502.58,775.33,635.07,652.91,538.44,615.32,462.78,681.82,593.84,588.66,554.22,496.05,540.58,767.55,577.72,652.36,608.22,744.11
1908,486.55,568.96,518.12,474.34,467.91,765.08,491.70,618.47,506.46,644.45,396.53,540.90,508.04,641.83,492.16,454.15,470.72,572.53,427.54,459.48,529.40,599.16
1909,624.95,581.00,717.82,615.83,483.48,866.34,642.18,689.03,540.83,677.96,526.27,699.29,568.02,653.49,532.68,487.06,531.61,825.22,588.18,603.51,621.75,822.66
1910,578.93,724.59,653.86,599.73,620.07,952.12,521.16,755.84,669.24,796.79,421.80,703.08,649.74,789.57,644.57,586.92,615.91,745.76,493.44,550.63,684.96,774.54
1911,523.57,521.59,504.53,469.73,449.57,833.92,478.08,650.61,480.48,636.70,495.69,579.03,531.35,637.71,500.13,455.41,479.69,583.01,482.83,439.15,538.84,708.04
1912,650.57,654.98,759.80,706.31,618.87,1015.80,645.64,805.03,658.91,776.76,489.09,774.11,718.55,759.99,673.86,594.81,622.62,797.33,557.91,673.01,701.24,874.47
1913,525.91,522.95,575.38,548.86,503.22,743.46,561.29,617.90,523.71,610.38,422.05,575.58,554.02,582.60,525.68,463.38,487.92,579.93,503.96,532.23,552.82,631.29
1914,489.54,548.05,461.16,435.01,435.41,766.69,505.33,598.52,479.34,624.60,444.23,443.77,443.12,636.26,385.65,345.82,359.03,521.26,501.53,476.58,409.20,601.51
1915,555.72,534.58,649.02,613.06,500.26,757.06,607.21,607.41,509.29,626.51,419.56,659.65,563.68,604.74,569.95,522.71,558.54,662.96,518.02,588.07,617.68,660.65
1916,626.06,685.64,766.51,716.26,611.38,937.41,657.24,740.04,651.09,767.68,441.19,737.71,672.41,785.76,660.59,588.98,617.91,787.18,531.85,656.79,698.28,784.96
1917,523.11,502.10,539.16,493.49,411.07,788.36,542.01,587.63,446.05,593.87,459.32,555.39,472.64,613.92,458.49,410.57,434.87,606.88,510.47,498.92,499.56,685.78
1918,541.80,521.71,620.13,550.06,469.41,779.33,560.26,629.67,497.56,610.97,426.57,676.11,585.77,609.85,605.94,528.12,547.62,650.44,494.53,494.15,620.34,689.21
1919,563.44,567.72,593.95,593.56,473.18,791.55,571.50,630.57,522.76,636.66,479.77,627.44,550.38,632.20,552.39,498.80,535.16,601.70,554.45,594.82,595.93,662.82
1920,591.03,539.10,665.51,545.53,425.33,833.76,567.45,642.92,472.97,634.38,558.11,643.69,529.18,656.13,504.63,445.86,483.93,756.72,567.51,486.74,564.75,761.33
1921,626.02,476.42,627.78,613.62,396.59,783.64,743.65,591.55,415.81,572.73,612.93,613.22,498.16,615.66,516.63,451.71,492.09,567.85,680.83,650.01,579.44,642.41
1922,545.51,535.31,588.76,558.64,477.05,696.30,561.26,560.17,485.40,586.63,506.08,592.08,527.09,625.71,557.04,503.94,535.35,564.27,540.72,528.82,586.29,553.60
1923,617.87,626.01,662.78,623.22,550.47,949.58,614.11,744.16,586.81,729.10,511.02,709.24,618.18,704.69,613.24,549.69,584.25,733.69,556.92,607.29,661.75,826.30
1924,632.29,572.98,771.58,633.64,447.47,845.72,659.11,693.43,518.29,671.87,501.04,772.13,593.26,615.13,596.14,517.38,570.87,861.93,593.74,595.85,690.06,843.07
1925,589.83,629.11,599.47,588.90,491.49,814.88,649.83,641.67,555.92,704.37,522.83,540.17,510.60,700.74,493.31,461.53,497.12,605.91,604.66,635.35,533.75,641.76
1926,586.58,596.46,672.86,594.00,484.53,801.06,619.10,646.79,552.56,661.85,496.21,631.76,554.03,670.87,520.57,452.36,496.54,707.08,555.77,584.17,573.86,699.84
1927,694.34,707.64,841.47,774.99,571.66,1042.99,723.72,825.35,646.66,819.27,467.41,849.50,713.86,842.13,693.74,609.98,678.58,919.25,620.18,730.59,779.71,965.88
1928,625.52,651.19,650.53,596.55,589.28,918.48,624.04,732.09,621.21,739.62,543.77,664.32,624.73,736.26,584.08,525.00,540.93,719.30,599.78,620.32,594.87,778.46
1929,637.22,509.31,715.74,690.40,523.75,805.20,704.32,630.35,519.85,614.67,535.62,683.39,584.25,605.02,591.85,523.98,552.02,753.79,630.19,709.87,627.30,748.81
1930,596.35,683.91,687.08,605.22,553.44,921.06,566.51,723.81,609.99,762.87,449.36,727.84,630.69,764.74,643.59,570.55,594.79,773.37,534.51,566.13,678.42,780.43
1931,609.61,602.30,631.75,606.67,492.10,833.48,629.30,660.35,531.02,677.67,550.66,627.72,564.30,702.36,546.87,494.12,520.47,623.43,635.56,647.25,585.14,667.19
1932,586.97,532.83,578.75,539.34,470.35,774.98,538.06,596.35,492.20,605.91,600.48,608.42,532.10,642.72,556.47,508.53,529.18,667.76,580.40,521.62,584.10,707.72
1933,472.63,540.80,484.80,468.91,459.01,659.61,515.41,521.26,487.52,567.73,411.12,440.76,437.92,593.09,438.23,400.03,420.46,486.42,467.91,478.78,450.31,523.23
1934,660.39,628.99,775.77,680.06,560.46,915.35,641.38,719.15,617.17,722.75,549.10,799.67,667.75,704.32,675.80,580.11,637.72,851.60,602.57,614.62,743.00,843.63
1935,705.25,663.02,800.57,747.86,613.86,942.58,716.00,731.48,619.46,743.39,620.42,774.95,639.99,749.78,655.19,596.70,641.73,840.10,657.77,732.28,737.03,845.52
1936,589.56,597.57,654.90,593.89,564.54,798.36,566.34,674.31,605.34,684.47,516.43,708.54,637.53,645.11,629.26,567.43,596.72,701.16,528.74,507.38,671.81,716.90
1937,582.93,574.12,690.56,659.07,619.36,760.62,633.82,662.77,613.53,649.69,430.12,684.13,664.00,649.33,624.50,566.36,584.21,684.36,509.38,636.73,634.40,698.52
1938,643.86,487.24,725.89,654.23,397.33,823.53,715.44,610.28,419.03,583.65,585.85,674.61,520.57,603.80,560.31,514.79,549.92,760.64,647.25,644.08,635.36,774.59
1939,553.52,584.43,643.83,565.18,460.71,793.04,541.26,641.22,526.16,647.89,470.53,625.37,540.70,645.92,510.00,460.99,508.69,683.90,506.89,494.69,579.92,703.98
1940,571.80,531.40,623.90,606.64,441.66,826.32,635.08,638.53,474.12,635.18,490.83,579.14,498.65,628.93,474.65,434.97,483.04,610.70,555.75,625.01,543.70,671.02
1941,514.52,517.53,544.41,563.39,442.76,713.33,601.96,533.96,467.83,577.92,428.27,504.40,445.73,586.17,435.76,421.27,447.43,523.57,513.63,577.96,487.37,566.25
1942,546.56,537.23,574.00,501.79,446.64,764.08,556.84,589.62,485.19,607.38,540.88,558.41,495.98,643.06,477.63,429.84,462.31,597.22,523.26,470.23,520.56,620.12
1943,582.31,584.95,617.30,553.33,492.02,894.15,588.51,695.04,530.80,687.54,504.34,646.37,569.13,678.63,555.17,520.63,545.25,661.97,555.60,521.15,595.80,738.87
1944,682.23,616.69,860.97,807.38,574.65,892.14,728.19,721.62,588.10,722.29,511.65,837.66,662.93,688.18,705.49,638.56,700.29,855.39,621.98,745.17,797.01,793.17
1945,647.64,664.67,686.38,741.48,561.87,969.73,702.07,750.41,614.72,767.98,505.69,699.61,609.38,772.03,600.27,569.19,620.59,661.97,623.48,747.31,675.76,772.37
1946,615.64,642.27,682.81,618.55,535.73,935.33,623.64,745.63,599.54,747.71,509.28,665.04,633.46,736.56,580.62,511.31,528.73,728.67,558.26,600.08,596.22,801.00
1947,463.74,473.22,443.93,421.71,438.44,601.15,498.66,493.67,457.15,530.66,453.69,407.19,409.28,533.29,365.57,350.17,367.28,426.32,500.65,477.42,402.98,467.20
1948,579.30,527.23,636.68,557.40,463.65,771.76,602.19,608.95,491.43,613.25,521.95,615.91,528.18,602.99,532.56,495.48,508.20,696.96,570.31,552.65,572.81,681.45
1949,632.88,599.33,697.72,635.17,503.55,918.95,633.86,699.15,532.78,703.08,542.33,702.37,579.78,695.64,593.51,538.57,576.11,757.06,613.09,595.21,658.44,823.94
1950,657.11,661.96,765.01,698.50,565.33,1001.06,722.92,769.50,606.88,766.80,466.71,737.79,644.48,782.72,595.06,528.37,562.45,855.47,591.35,707.94,642.69,913.61
1951,577.18,556.66,670.47,569.41,448.09,846.32,550.15,651.21,513.78,643.49,479.00,692.93,577.65,680.75,539.43,439.44,479.52,779.14,528.63,556.40,597.10,767.53
1952,615.49,722.54,642.70,619.07,632.39,889.93,633.92,745.52,683.88,794.31,527.18,648.81,627.90,764.05,579.80,538.97,548.08,655.90,572.22,645.91,602.48,678.68
1953,616.93,472.55,708.98,614.12,458.80,807.76,679.31,664.05,492.08,584.49,517.78,664.83,574.29,536.02,500.34,434.21,472.72,755.90,628.55,617.75,556.93,810.51
1954,664.93,659.43,743.64,715.78,505.43,1056.89,650.80,793.19,568.61,799.41,526.07,753.18,630.71,840.62,643.04,586.76,633.62,813.54,609.75,709.86,712.00,860.49
1955,518.66,526.67,512.21,514.30,447.33,730.21,561.84,543.64,446.28,579.74,471.48,517.29,438.39,632.68,448.44,409.23,430.64,518.54,534.91,556.50,491.97,572.65
1956,523.82,486.33,596.72,589.12,453.87,728.39,593.83,550.14,444.96,554.57,410.46,556.40,475.60,602.40,493.91,463.88,496.60,584.37,499.86,588.40,546.30,614.69
1957,646.47,545.46,760.34,692.26,519.54,883.67,674.25,705.96,556.63,663.97,544.16,722.57,606.29,643.64,596.83,552.55,611.57,760.59,615.93,643.12,676.97,796.68
1958,587.44,620.70,654.46,609.41,543.15,860.48,561.60,697.82,596.59,702.02,476.08,744.73,659.82,739.39,653.79,561.20,607.74,675.06,524.63,561.61,684.72,720.15
1959,534.53,492.58,596.55,557.81,373.49,677.17,587.34,542.15,413.38,535.97,458.40,583.15,462.96,557.16,453.53,410.91,443.80,650.73,526.90,582.92,515.53,624.83
1960,693.47,727.20,833.59,794.41,716.67,946.75,734.86,780.22,746.61,799.62,473.12,831.17,768.82,816.26,765.41,716.78,744.20,844.11,620.41,784.59,810.67,840.25
1961,661.58,616.88,711.28,662.21,477.22,848.98,690.26,710.47,574.71,707.33,605.61,677.53,599.70,693.70,582.11,553.23,596.70,728.63,671.97,660.55,651.39,732.55
1962,603.70,568.42,658.22,589.69,496.70,914.34,615.83,682.44,508.04,669.98,489.12,666.02,590.43,700.59,584.38,547.19,553.17,773.60,554.79,589.58,603.03,845.09
1963,571.98,564.37,645.14,547.62,464.48,886.66,562.95,661.03,514.50,679.07,487.56,639.14,544.13,702.18,524.51,459.85,491.74,721.99,533.02,522.70,575.83,735.09
1964,585.98,446.96,642.63,556.93,368.19,748.37,669.70,564.84,400.33,530.64,562.95,581.05,452.48,549.92,434.21,381.90,430.49,672.26,604.50,566.66,518.93,679.53
1965,614.18,612.48,712.02,667.79,487.52,866.22,630.57,698.70,553.07,705.35,511.60,679.33,573.71,693.54,567.15,529.23,571.63,749.45,546.09,638.83,643.65,754.71
1966,659.77,663.00,789.33,755.14,521.10,926.88,706.59,717.26,599.90,762.20,524.70,705.60,596.36,787.58,586.13,526.50,585.22,755.78,631.44,728.53,677.20,741.92
1967,697.99,634.78,773.68,700.73,567.12,1009.87,695.01,772.36,594.37,754.62,579.57,800.81,669.28,769.94,681.80,608.30,640.49,849.84,667.69,717.25,742.52,907.07
1968,567.80,614.99,651.10,612.03,499.94,832.56,498.57,646.40,563.07,693.25,484.93,684.50,556.90,714.40,566.83,517.56,571.94,699.47,504.93,542.54,647.46,710.19
1969,521.39,539.85,575.13,555.48,451.43,735.89,544.23,607.12,507.30,606.25,418.07,589.94,504.26,595.29,475.23,438.13,471.66,613.80,486.07,546.76,528.04,659.17
1970,591.60,684.03,640.05,602.18,581.51,891.78,618.25,725.10,629.26,769.67,473.82,647.70,588.87,768.29,526.66,460.77,484.12,687.09,548.86,620.38,563.84,709.43
1971,576.25,474.12,592.22,526.15,411.19,780.41,648.90,586.46,424.14,568.87,518.19,580.59,467.96,588.59,448.91,424.86,457.49,652.44,626.20,554.61,512.85,704.39
1972,569.55,498.94,578.48,509.97,441.14,757.94,565.51,619.98,478.05,593.08,550.39,581.46,514.20,564.79,473.57,430.42,447.00,652.51,582.28,543.01,507.28,712.84
1973,597.50,560.03,638.62,583.29,470.04,765.28,682.51,607.31,512.55,632.35,544.88,564.85,486.07,632.08,469.53,444.07,488.07,608.86,649.27,579.28,551.49,633.47
1974,651.74,630.01,695.79,684.37,658.69,905.79,623.67,715.87,615.90,721.16,569.30,705.44,632.73,707.47,648.10,625.57,641.61,745.65,625.15,690.11,676.04,779.50
1975,554.02,461.77,543.14,479.55,364.40,695.96,605.23,552.62,419.91,558.22,589.09,508.28,432.46,540.19,411.56,381.12,420.91,579.16,590.27,474.10,472.78,595.08
1976,480.97,497.62,513.49,497.10,488.44,658.61,529.69,537.78,494.36,562.05,384.27,522.19,479.38,525.04,461.52,410.05,434.95,533.67,466.29,495.66,484.60,583.16
1977,661.41,650.85,729.84,695.76,554.04,966.31,608.07,786.85,603.43,769.13,558.91,800.43,662.53,716.54,647.02,582.18,629.89,787.83,612.03,652.90,714.92,883.50
1978,550.76,557.67,543.00,536.35,497.95,819.49,590.19,680.71,525.73,673.92,477.28,550.02,544.57,647.57,510.79,466.65,482.54,553.55,547.03,556.39,523.03,648.66
1979,662.72,615.83,740.65,708.30,526.66,906.14,683.93,729.61,583.40,723.00,552.52,752.74,619.94,692.10,605.98,527.06,598.93,776.66,642.86,704.21,696.00,809.39
1980,598.13,634.28,711.93,665.41,581.73,994.46,606.01,774.32,613.73,763.09,414.83,709.83,640.08,777.87,646.59,585.43,631.22,713.73,514.12,619.99,709.18,780.92
1981,680.79,673.68,751.01,743.50,581.93,978.38,675.22,753.91,616.02,786.04,595.32,720.15,622.69,816.53,628.21,589.04,646.20,729.71,646.21,713.08,704.43,798.66
1982,592.74,539.42,632.82,578.83,404.71,889.59,562.58,629.79,461.95,649.09,552.33,617.49,489.86,681.22,480.76,427.58,477.35,722.21,599.18,551.56,565.58,758.32
1983,661.94,584.16,661.00,654.23,476.65,890.85,736.22,658.23,502.73,686.69,641.83,654.01,528.35,717.76,554.94,507.25,554.69,649.18,687.49,661.05,640.55,710.45
1984,647.70,634.40,757.43,697.91,595.94,892.94,655.95,727.87,638.99,739.44,524.17,745.18,637.35,705.01,633.88,569.96,627.82,779.68,602.27,667.23,705.08,771.38
1985,710.37,687.76,808.18,741.85,607.99,1020.13,774.90,829.45,674.91,814.11,586.53,759.66,689.82,783.61,596.95,515.60,563.60,834.96,663.99,730.20,658.63,866.50
1986,629.85,574.30,755.26,756.83,524.00,825.24,670.54,649.07,534.69,658.03,496.50,700.78,578.06,666.40,620.88,580.24,625.01,728.38,597.68,709.25,696.73,724.01
1987,669.52,597.40,749.96,681.76,543.29,868.24,786.86,696.31,573.18,699.67,565.04,659.10,580.85,683.65,526.56,484.64,504.81,800.10,652.68,733.87,563.38,793.03
