Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","69.37253","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","69.85641","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","69.37253","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","69.16879","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","69.32159","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","69.24519","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","69.44893","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","68.71038","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","68.50665","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","68.63398","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","68.83772","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","69.11786","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","70.86103","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","71.06843","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","71.34496","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","71.69062","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","72.24368","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","71.96716","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","71.41409","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","71.13757","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","71.75976","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","72.10542","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","71.89803","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","72.31282","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","74.17941","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","73.41895","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","040","Austria","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","73.21154","X","Figure from international organizations","base year is 2015"
