Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2000","2000","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2001","2001","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2002","2002","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2003","2003","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2004","2004","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2005","2005","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2006","2006","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2007","2007","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2008","2008","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2009","2009","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2010","2010","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2011","2011","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2012","2012","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2013","2013","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2014","2014","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2015","2015","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2016","2016","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2017","2017","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2018","2018","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2019","2019","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2020","2020","","","",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","23319.01","Feed, compound, cattle","2021","2021","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2000","2000","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2001","2001","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2002","2002","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2003","2003","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2004","2004","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2005","2005","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2006","2006","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2007","2007","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2008","2008","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2009","2009","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2010","2010","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2011","2011","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2012","2012","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2013","2013","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2014","2014","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2015","2015","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2016","2016","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2017","2017","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2018","2018","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2019","2019","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2020","2020","","","",""
"TCL","Crops and livestock products","040","Austria","5622","Import Value","23319.01","Feed, compound, cattle","2021","2021","","","",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","23319.01","Feed, compound, cattle","2000","2000","","","",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","23319.01","Feed, compound, cattle","2001","2001","","","",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","23319.01","Feed, compound, cattle","2002","2002","","","",""
