Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2000","2000","LCU","76.1584","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2001","2001","LCU","77.6413","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2002","2002","LCU","78.5307","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2003","2003","LCU","79.5576","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2004","2004","LCU","80.9416","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2005","2005","LCU","82.9958","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2006","2006","LCU","84.5662","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2007","2007","LCU","86.4446","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2008","2008","LCU","88.1357","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2009","2009","LCU","89.8008","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2010","2010","LCU","90.5848","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2011","2011","LCU","92.2456","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2012","2012","LCU","94.1406","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2013","2013","LCU","95.6693","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2014","2014","LCU","97.7508","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2015","2015","LCU","100","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2016","2016","LCU","101.8483","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2017","2017","LCU","102.8724","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2018","2018","LCU","104.7261","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2019","2019","LCU","106.4254","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22024","GDP Deflator","2020","2020","LCU","108.8863","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2000","2000","US$","63.2659","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2001","2001","US$","62.6446","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2002","2002","US$","66.6395","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2003","2003","US$","80.9605","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2004","2004","US$","90.6195","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2005","2005","US$","93.0631","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2006","2006","US$","95.6542","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2007","2007","US$","106.6788","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2008","2008","US$","116.4073","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2009","2009","US$","112.4824","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2010","2010","US$","108.1745","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2011","2011","US$","115.6231","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2012","2012","US$","109.0625","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2013","2013","US$","114.5323","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2014","2014","US$","116.9355","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2015","2015","US$","100","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2016","2016","US$","101.5806","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2017","2017","US$","104.7845","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2018","2018","US$","111.5143","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2019","2019","US$","107.4241","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2020","2020","US$","112.1389","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2000","2000","LCU","74.7591","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2001","2001","LCU","75.5257","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2002","2002","LCU","75.7474","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2003","2003","LCU","76.5785","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2004","2004","LCU","77.4454","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2005","2005","LCU","79.2389","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2006","2006","LCU","80.5856","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2007","2007","LCU","83.9267","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2008","2008","LCU","87.3447","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2009","2009","LCU","89.4966","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2010","2010","LCU","90.775","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2011","2011","LCU","93.6327","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2012","2012","LCU","95.2427","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2013","2013","LCU","96.7681","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2014","2014","LCU","97.9211","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2015","2015","LCU","100","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2016","2016","LCU","100.428","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2017","2017","LCU","102.0651","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2018","2018","LCU","103.8907","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2019","2019","LCU","104.9981","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2020","2020","LCU","108.3001","E","Estimated value"
