Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1961","1961","tonnes","172380","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1962","1962","tonnes","173422","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1963","1963","tonnes","169812","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1964","1964","tonnes","184900","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1965","1965","tonnes","211070","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1966","1966","tonnes","234520","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1967","1967","tonnes","252550","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1968","1968","tonnes","255080","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1969","1969","tonnes","248050","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1970","1970","tonnes","218900","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1971","1971","tonnes","231600","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1972","1972","tonnes","229700","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1973","1973","tonnes","230450","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1974","1974","tonnes","226190","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1975","1975","tonnes","256000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1976","1976","tonnes","239000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1977","1977","tonnes","285000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1978","1978","tonnes","295000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1979","1979","tonnes","275000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1980","1980","tonnes","300000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1981","1981","tonnes","238100","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1982","1982","tonnes","254800","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1983","1983","tonnes","209000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1984","1984","tonnes","253000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1985","1985","tonnes","222000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1986","1986","tonnes","193000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1987","1987","tonnes","247000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1988","1988","tonnes","234500","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1989","1989","tonnes","230000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","229500","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","265000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","184000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","220000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","223000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","222000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","240000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","227000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","254000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","236000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","186000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","216000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2002","2002","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2003","2003","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2004","2004","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2005","2005","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2006","2006","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2007","2007","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2008","2008","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2009","2009","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2010","2010","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2011","2011","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2012","2012","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2013","2013","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2014","2014","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2015","2015","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2016","2016","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2019","2019","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2020","2020","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1961","1961","tonnes","826","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1962","1962","tonnes","779","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1963","1963","tonnes","633","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1964","1964","tonnes","602","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1965","1965","tonnes","892","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1966","1966","tonnes","491","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1967","1967","tonnes","541","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1968","1968","tonnes","808","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1969","1969","tonnes","1016","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1970","1970","tonnes","967","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1971","1971","tonnes","809","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1972","1972","tonnes","741","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1973","1973","tonnes","420","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1974","1974","tonnes","317","A","Official figure"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1975","1975","tonnes","1000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1976","1976","tonnes","2000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1977","1977","tonnes","19200","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1978","1978","tonnes","28400","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1979","1979","tonnes","27000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1980","1980","tonnes","24000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1981","1981","tonnes","42400","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1982","1982","tonnes","45600","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1983","1983","tonnes","45900","X","Figure from international organizations"
