Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2000","2000","LSU/ha","0.66","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2001","2001","LSU/ha","0.67","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2002","2002","LSU/ha","0.66","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2003","2003","LSU/ha","0.64","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2004","2004","LSU/ha","0.64","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2005","2005","LSU/ha","0.65","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2006","2006","LSU/ha","0.64","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2007","2007","LSU/ha","0.64","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2008","2008","LSU/ha","0.64","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2009","2009","LSU/ha","0.64","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2010","2010","LSU/ha","0.66","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2011","2011","LSU/ha","0.66","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2012","2012","LSU/ha","0.65","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2013","2013","LSU/ha","0.65","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2014","2014","LSU/ha","0.65","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2015","2015","LSU/ha","0.65","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2016","2016","LSU/ha","0.66","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2017","2017","LSU/ha","0.66","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2018","2018","LSU/ha","0.65","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2019","2019","LSU/ha","0.64","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7213","Livestock units per agricultural land area","02111","Cattle","2020","2020","LSU/ha","0.63","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2000","2000","% of total LSU","63.99","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2001","2001","% of total LSU","65.36","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2002","2002","% of total LSU","64.35","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2003","2003","% of total LSU","64.1","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2004","2004","% of total LSU","64.31","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2005","2005","% of total LSU","64.82","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2006","2006","% of total LSU","63.58","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2007","2007","% of total LSU","64.01","E","Estimated value"
"EK","Livestock Patterns","040","Austria","7211","Share in total livestock","02111","Cattle","2008","2008","% of total LSU","63.03","E","Estimated value"
