Domain Code,Domain,Area Code ,Area,Element Code,Element,Item Code ,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2000,2000,hg/An,3031,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2001,2001,hg/An,2993,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2002,2002,hg/An,2995,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2003,2003,hg/An,3033,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2004,2004,hg/An,3058,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2005,2005,hg/An,3125,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2006,2006,hg/An,3171,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2007,2007,hg/An,3225,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2008,2008,hg/An,3245,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2009,2009,hg/An,3234,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2010,2010,hg/An,3227,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2011,2011,hg/An,3227,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2012,2012,hg/An,3268,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2013,2013,hg/An,3306,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2014,2014,hg/An,3302,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,hg/An,3303,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,hg/An,3326,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,hg/An,3345,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,hg/An,3363,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,hg/An,3374,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,hg/An,3387,A,Official figure
QCL,Crops and livestock products,40,Austria,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2021,2021,hg/An,3318,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2000,2000,tonnes,203489,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2001,2001,tonnes,215240,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2002,2002,tonnes,211855,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2003,2003,tonnes,207737,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2004,2004,tonnes,206103,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2005,2005,tonnes,204468,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2006,2006,tonnes,216478,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2007,2007,tonnes,217784,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2008,2008,tonnes,224231,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2009,2009,tonnes,226294,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2010,2010,tonnes,226677,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2011,2011,tonnes,222168,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2012,2012,tonnes,222156,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2013,2013,tonnes,228913,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2014,2014,tonnes,223193,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2015,2015,tonnes,229648,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,tonnes,228335,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,tonnes,226859,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,tonnes,233460,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,tonnes,229610,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,tonnes,218360,A,Official figure
QCL,Crops and livestock products,40,Austria,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2021,2021,tonnes,213740,A,Official figure
QCL,Crops and livestock products,40,Austria,5320,Producing Animals/Slaughtered,21111.01,"Meat of cattle with the bone, fresh or chilled",2000,2000,Head,671462,A,Official figure
QCL,Crops and livestock products,40,Austria,5320,Producing Animals/Slaughtered,21111.01,"Meat of cattle with the bone, fresh or chilled",2001,2001,Head,719232,A,Official figure
QCL,Crops and livestock products,40,Austria,5320,Producing Animals/Slaughtered,21111.01,"Meat of cattle with the bone, fresh or chilled",2002,2002,Head,707274,A,Official figure
QCL,Crops and livestock products,40,Austria,5320,Producing Animals/Slaughtered,21111.01,"Meat of cattle with the bone, fresh or chilled",2003,2003,Head,684951,A,Official figure
QCL,Crops and livestock products,40,Austria,5320,Producing Animals/Slaughtered,21111.01,"Meat of cattle with the bone, fresh or chilled",2004,2004,Head,674070,A,Official figure
