Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1992","1992","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1993","1993","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1994","1994","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1995","1995","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1996","1996","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1997","1997","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1998","1998","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","1999","1999","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2000","2000","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2001","2001","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2002","2002","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2003","2003","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2004","2004","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2005","2005","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2006","2006","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2007","2007","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2008","2008","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2009","2009","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2010","2010","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2011","2011","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2012","2012","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2013","2013","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2014","2014","","","",""
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2015","2015","1000 ha","1340.3901","E","Estimated value"
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2016","2016","1000 ha","1339.1465","E","Estimated value"
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2017","2017","1000 ha","1338.3105","E","Estimated value"
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2018","2018","1000 ha","1337.5331","E","Estimated value"
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2019","2019","1000 ha","1337.0458","E","Estimated value"
"LC","Land Cover","040","Austria","5006","Area from CGLS","6983","Grassland","2020","2020","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1992","1992","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1993","1993","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1994","1994","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1995","1995","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1996","1996","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1997","1997","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1998","1998","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","1999","1999","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2000","2000","","","",""
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2001","2001","1000 ha","1241.5643","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2002","2002","1000 ha","1276.5966","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2003","2003","1000 ha","1308.7954","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2004","2004","1000 ha","1310.3409","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2005","2005","1000 ha","1294.5635","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2006","2006","1000 ha","1295.3792","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2007","2007","1000 ha","1312.7451","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2008","2008","1000 ha","1344.901","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2009","2009","1000 ha","1361.6014","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2010","2010","1000 ha","1369.1789","E","Estimated value"
"LC","Land Cover","040","Austria","5007","Area from MODIS","6983","Grassland","2011","2011","1000 ha","1363.4046","E","Estimated value"
