Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1961","1961","kg","63701769.978","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1962","1962","kg","66787800.156","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1963","1963","kg","66409141.491","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1964","1964","kg","60542233.983","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1965","1965","kg","62739921.321","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1966","1966","kg","67701589.263","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1967","1967","kg","68907934.557","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1968","1968","kg","68385299.598","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1969","1969","kg","67454259.642","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1970","1970","kg","67809647.367","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1971","1971","kg","71216260.038","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1972","1972","kg","73621058.742","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1973","1973","kg","74328394.14","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1974","1974","kg","80017278.957","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1975","1975","kg","78680312.865","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1976","1976","kg","75125525.013","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1977","1977","kg","75588464.952","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1978","1978","kg","78230020.176","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1979","1979","kg","81232730.271","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1980","1980","kg","79571083.977","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1981","1981","kg","78055386.948","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1982","1982","kg","78785386.218","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1983","1983","kg","79122106.602","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1984","1984","kg","82766335.806","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1985","1985","kg","84694737.897","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1986","1986","kg","84072240.252","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1987","1987","kg","84016491.174","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1988","1988","kg","82582900.092","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1989","1989","kg","83688117.975","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1990","1990","kg","84927750.831","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1991","1991","kg","86938309.458","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1992","1992","kg","85642573.401","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1993","1993","kg","80071763.31","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1994","1994","kg","77382097.947","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1995","1995","kg","85504465.431","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1996","1996","kg","85631292.054","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1997","1997","kg","83070881.586","E","Estimated value"
"EMN","Livestock Manure","040","Austria","72538","Amount excreted in manure (N content)","F0961","Cattle, non-dairy","1998","1998","kg","79932744.738","E","Estimated value"
