Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2000","2000","","","",""
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2001","2001","1000 ha","137.2","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2002","2002","1000 ha","144.5","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2003","2003","1000 ha","151.616","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2004","2004","1000 ha","157.8","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2005","2005","1000 ha","165.5","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2006","2006","1000 ha","170.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2007","2007","1000 ha","163.5","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2008","2008","1000 ha","156.6","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2009","2009","1000 ha","159.4","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2010","2010","1000 ha","165.2","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2011","2011","1000 ha","163.3","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2012","2012","1000 ha","161.6","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2013","2013","1000 ha","161.9","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2014","2014","1000 ha","162.3","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2015","2015","1000 ha","158","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2016","2016","1000 ha","153.34","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2017","2017","1000 ha","144.24","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2018","2018","1000 ha","148.53","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2019","2019","1000 ha","154.77","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6633","Land under temp. meadows and pastures","2020","2020","1000 ha","154.889","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","1000 ha","1470.2","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","1000 ha","1458.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","1000 ha","1446.2","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","1000 ha","1434.2","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","1000 ha","1422.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2005","2005","1000 ha","1410.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2006","2006","1000 ha","1398.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2007","2007","1000 ha","1386.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2008","2008","1000 ha","1374.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2009","2009","1000 ha","1362.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2010","2010","1000 ha","1350.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2011","2011","1000 ha","1332.4","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2012","2012","1000 ha","1314.8","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2013","2013","1000 ha","1297.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2014","2014","1000 ha","1297.1","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2015","2015","1000 ha","1306.86","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","1258.81","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2017","2017","1000 ha","1258.81","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","1000 ha","1258.81","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2019","2019","1000 ha","1258.81","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6655","Land under perm. meadows and pastures","2020","2020","1000 ha","1258.81","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2000","2000","","","",""
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2001","2001","1000 ha","96.7","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2002","2002","1000 ha","77","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2003","2003","1000 ha","76","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2004","2004","1000 ha","77","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2005","2005","1000 ha","81","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2006","2006","1000 ha","82","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2007","2007","1000 ha","81","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2008","2008","1000 ha","80","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2009","2009","1000 ha","80","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2010","2010","1000 ha","79","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2011","2011","1000 ha","80","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2012","2012","1000 ha","71.2","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2013","2013","1000 ha","70.7","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2014","2014","1000 ha","68","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2015","2015","1000 ha","81","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2016","2016","1000 ha","90","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2017","2017","1000 ha","91","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2018","2018","1000 ha","93","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2019","2019","1000 ha","95.7919","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6633","Land under temp. meadows and pastures","2020","2020","1000 ha","93.94","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","1000 ha","507","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","1000 ha","521","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","1000 ha","536","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","1000 ha","536","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","1000 ha","530","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2005","2005","1000 ha","519","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2006","2006","1000 ha","517","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2007","2007","1000 ha","507","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2008","2008","1000 ha","500","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2009","2009","1000 ha","502","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2010","2010","1000 ha","500","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2011","2011","1000 ha","489","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2012","2012","1000 ha","507","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2013","2013","1000 ha","498.2","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2014","2014","1000 ha","492","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2015","2015","1000 ha","476","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","478.4","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2017","2017","1000 ha","468","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","1000 ha","480","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2019","2019","1000 ha","475.464","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6655","Land under perm. meadows and pastures","2020","2020","1000 ha","476.1192","A","Official figure"
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2000","2000","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2001","2001","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2002","2002","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2003","2003","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2004","2004","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2005","2005","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2006","2006","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2007","2007","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2008","2008","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2009","2009","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2010","2010","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2011","2011","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2012","2012","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2013","2013","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2014","2014","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2015","2015","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2016","2016","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2017","2017","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2018","2018","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2019","2019","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6633","Land under temp. meadows and pastures","2020","2020","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2005","2005","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2006","2006","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2007","2007","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2008","2008","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2009","2009","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2010","2010","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2011","2011","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2012","2012","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2013","2013","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2014","2014","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2015","2015","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2017","2017","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2019","2019","","","",""
"RL","Land Use","058","Belgium-Luxembourg","5110","Area","6655","Land under perm. meadows and pastures","2020","2020","","","",""
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2000","2000","","","",""
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2001","2001","1000 ha","91","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2002","2002","1000 ha","90","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2003","2003","1000 ha","88","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2004","2004","1000 ha","98","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2005","2005","1000 ha","96","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2006","2006","1000 ha","94","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2007","2007","1000 ha","95","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2008","2008","1000 ha","102","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2009","2009","1000 ha","95","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2010","2010","1000 ha","89","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2011","2011","1000 ha","85","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2012","2012","1000 ha","83","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2013","2013","1000 ha","83","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2014","2014","1000 ha","88","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2015","2015","1000 ha","94.7","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2016","2016","1000 ha","109","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2017","2017","1000 ha","117.95","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2018","2018","1000 ha","119","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2019","2019","1000 ha","124","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6633","Land under temp. meadows and pastures","2020","2020","1000 ha","127","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","1000 ha","1804","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","1000 ha","1786","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","1000 ha","1742","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","1000 ha","1789","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","1000 ha","1806","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2005","2005","1000 ha","1904","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2006","2006","1000 ha","1876","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2007","2007","1000 ha","1842","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2008","2008","1000 ha","1829","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2009","2009","1000 ha","1719","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2010","2010","1000 ha","1702","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2011","2011","1000 ha","1678","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2012","2012","1000 ha","1647","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2013","2013","1000 ha","1381","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2014","2014","1000 ha","1364","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2015","2015","1000 ha","1368.7","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","1384","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2017","2017","1000 ha","1392.35","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","1000 ha","1399","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2019","2019","1000 ha","1408","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6655","Land under perm. meadows and pastures","2020","2020","1000 ha","1404","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2000","2000","","","",""
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2001","2001","1000 ha","30.62","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2002","2002","1000 ha","30.15","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2003","2003","1000 ha","30","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2004","2004","1000 ha","30","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2005","2005","1000 ha","28","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2006","2006","1000 ha","31","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2007","2007","1000 ha","34","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2008","2008","1000 ha","36","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2009","2009","1000 ha","39","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2010","2010","1000 ha","40","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2011","2011","1000 ha","41","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2012","2012","1000 ha","39.1","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2013","2013","1000 ha","27.4","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2014","2014","1000 ha","76","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2015","2015","1000 ha","73","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2016","2016","1000 ha","66","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2017","2017","1000 ha","69","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2018","2018","1000 ha","64","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2019","2019","1000 ha","71","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6633","Land under temp. meadows and pastures","2020","2020","1000 ha","71","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","1000 ha","258","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","1000 ha","255","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","1000 ha","253","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","1000 ha","261","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","1000 ha","259","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2005","2005","1000 ha","265","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2006","2006","1000 ha","273","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2007","2007","1000 ha","270","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2008","2008","1000 ha","342.4","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2009","2009","1000 ha","343.3","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2010","2010","1000 ha","345.4","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2011","2011","1000 ha","346.4","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2012","2012","1000 ha","345.6","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2013","2013","1000 ha","618","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2014","2014","1000 ha","618","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2015","2015","1000 ha","618","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","600","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2017","2017","1000 ha","608","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","1000 ha","608","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2019","2019","1000 ha","607","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6655","Land under perm. meadows and pastures","2020","2020","1000 ha","537","A","Official figure"
