Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2002","2002","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2003","2003","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2004","2004","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2005","2005","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2006","2006","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2007","2007","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2008","2008","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2009","2009","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2010","2010","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2011","2011","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2012","2012","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2013","2013","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2014","2014","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2015","2015","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2016","2016","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2019","2019","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5510","Production","3102","Nutrient nitrogen N (total)","2020","2020","","","",""
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","89219.82","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","96775.56","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","103861.9","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","122058.76","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","124726.89","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","141179.34","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","148910.38","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","115842.91","E","Estimated value"
"RFN","Fertilizers by Nutrient","040","Austria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","135937.05","E","Estimated value"
