Variable:,pr
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1901,1068.52,983.20,1018.93,1055.24,1153.06,1288.02,942.31,1044.95,1323.52,861.02,945.54,882.59,1184.19,1059.33,986.53,875.52,1156.31,861.07,933.47,933.47,851.14,1008.41,1206.83,1030.92,1129.96,901.61,988.85,978.16
1902,1016.31,965.42,939.44,1004.48,1119.44,1167.77,934.83,984.17,1277.05,857.92,926.28,863.97,1076.99,1022.06,907.86,834.92,1053.70,824.53,864.39,864.39,831.83,943.86,1087.75,1002.13,1101.99,852.81,967.98,966.45
1903,1368.16,1282.10,1235.62,1376.31,1525.32,1564.40,1197.84,1350.96,1747.10,1101.33,1236.78,1156.36,1443.61,1392.88,1209.04,1055.55,1445.43,1055.06,1131.68,1131.68,1116.15,1280.60,1479.39,1355.40,1484.59,1134.94,1275.17,1256.88
1904,1081.95,970.03,985.97,1114.46,1235.12,1282.28,902.41,1069.77,1421.42,844.14,938.61,872.85,1151.71,1107.92,946.22,824.66,1164.06,826.20,906.37,906.37,840.18,1003.16,1173.82,1041.08,1144.26,873.39,974.31,950.28
1905,957.80,850.82,898.77,963.50,1064.98,1181.87,815.87,946.80,1230.65,752.61,825.96,770.52,1052.01,957.46,852.53,737.93,1037.31,744.09,821.47,821.47,745.23,898.72,1071.46,910.80,1000.54,783.38,861.72,851.38
1906,1015.74,893.10,1003.64,994.18,1057.52,1318.17,866.46,1009.83,1236.68,781.36,849.03,812.29,1193.38,978.53,968.67,823.37,1179.63,800.10,922.86,922.86,798.88,1012.48,1232.02,928.13,997.21,867.69,890.53,891.00
1907,1097.33,1001.19,1050.35,1095.47,1171.19,1371.28,925.51,1086.67,1356.95,863.55,960.47,908.50,1230.63,1090.75,1011.77,885.68,1204.95,859.65,974.70,974.70,879.84,1062.34,1261.06,1048.63,1131.49,926.52,976.65,969.02
1908,1076.29,975.76,1045.11,1058.17,1135.40,1340.57,946.55,1059.65,1306.67,866.31,934.93,887.18,1222.02,1056.98,1017.66,881.75,1197.30,870.26,949.26,949.26,864.97,1046.57,1245.00,1022.71,1110.22,924.49,958.52,968.77
1909,989.55,909.00,990.23,935.43,1016.20,1296.67,895.81,957.89,1170.32,795.18,862.18,818.75,1156.98,935.58,947.42,855.04,1114.00,818.22,922.78,922.78,796.64,972.52,1184.33,923.52,1001.04,858.26,891.23,907.87
1910,1173.31,1084.26,1120.34,1161.46,1257.95,1392.72,1038.66,1171.43,1444.99,944.94,1029.88,980.88,1303.69,1153.48,1096.69,958.35,1277.26,942.04,1025.46,1025.46,959.52,1136.21,1322.88,1119.92,1217.59,1008.21,1059.81,1070.68
1911,1066.05,1005.26,938.60,1093.23,1226.53,1197.36,936.09,1039.53,1392.95,854.42,966.79,893.40,1083.99,1109.99,926.26,809.98,1104.47,824.08,840.07,840.07,850.87,956.41,1094.98,1070.98,1180.79,865.54,1010.35,991.67
1912,1129.81,1029.00,1070.55,1126.68,1235.87,1369.66,989.94,1103.22,1417.20,900.57,986.88,930.73,1244.97,1126.46,1039.16,918.91,1226.18,900.50,982.70,982.70,902.26,1071.65,1264.23,1081.79,1183.17,951.14,1025.62,1019.81
1913,1170.03,1086.24,1079.44,1190.22,1304.15,1305.85,1002.73,1160.95,1521.38,921.44,1035.65,962.85,1260.43,1192.29,1067.32,901.12,1268.73,907.40,966.32,966.32,919.90,1104.56,1287.60,1126.13,1225.83,975.00,1076.49,1060.33
1914,1173.35,1054.53,1072.45,1206.30,1341.01,1377.53,983.37,1160.64,1561.33,895.07,1005.54,942.10,1273.03,1208.90,1043.80,903.97,1270.66,879.26,978.91,978.91,907.35,1088.30,1305.85,1116.84,1218.39,952.09,1021.91,1023.41
1915,1146.39,1086.00,1062.14,1163.79,1269.29,1290.91,1001.86,1137.01,1480.51,912.77,1026.82,962.23,1245.27,1159.93,1038.51,908.94,1208.20,891.69,969.50,969.50,920.09,1077.58,1266.85,1096.00,1188.09,958.23,1069.15,1060.16
1916,1290.94,1193.26,1274.72,1273.20,1341.45,1546.60,1120.98,1312.16,1576.85,1045.44,1112.72,1070.28,1490.59,1247.62,1235.37,1075.35,1438.78,1047.26,1167.82,1167.82,1051.37,1270.57,1518.87,1189.36,1274.69,1125.33,1140.64,1166.67
1917,1035.67,920.53,1075.94,984.30,1019.13,1417.56,913.00,1040.57,1187.41,845.79,870.00,841.77,1254.64,946.33,1021.38,909.61,1196.04,868.79,996.02,996.02,834.16,1059.71,1272.73,920.02,990.13,914.76,903.60,928.16
1918,1217.80,1107.27,1124.68,1236.31,1350.24,1426.90,1038.94,1213.27,1558.52,953.64,1064.90,998.00,1320.03,1241.86,1108.84,971.07,1318.88,941.65,1014.64,1014.64,963.22,1151.02,1349.03,1180.40,1281.21,1013.57,1086.78,1076.93
1919,958.07,866.53,974.52,915.25,972.62,1257.12,872.65,945.88,1132.14,776.21,813.17,780.69,1137.80,903.53,936.25,829.83,1080.53,796.56,886.28,886.28,768.53,953.35,1148.93,869.18,937.26,839.49,853.44,878.14
1920,1259.65,1194.88,1174.43,1249.74,1386.87,1467.97,1130.42,1223.64,1592.66,1013.41,1142.04,1060.90,1354.18,1263.69,1140.33,1020.85,1324.61,1000.19,1076.49,1076.49,1010.31,1179.87,1371.25,1227.28,1337.39,1054.02,1205.50,1184.18
1921,952.94,883.21,957.98,903.62,977.14,1261.69,846.63,926.41,1126.98,772.57,830.40,796.41,1122.23,899.29,924.30,815.02,1068.68,789.06,871.81,871.81,779.85,934.28,1142.59,884.19,953.72,837.61,833.28,860.85
1922,1007.78,888.24,943.82,1026.20,1125.73,1249.27,835.27,990.42,1292.96,775.94,862.90,806.65,1104.36,1022.00,906.50,812.26,1091.87,781.90,867.31,867.31,779.71,939.46,1121.26,967.41,1057.37,825.68,905.36,873.16
1923,1226.41,1085.73,1209.82,1197.67,1291.45,1633.21,1038.62,1209.41,1497.97,949.92,1036.84,983.79,1426.26,1184.81,1149.65,1011.82,1388.24,969.72,1113.57,1113.57,961.18,1193.58,1457.31,1134.18,1233.22,1036.57,1070.46,1067.82
1924,1378.61,1289.24,1281.85,1391.64,1502.44,1577.62,1186.86,1366.27,1718.66,1125.90,1241.05,1164.08,1490.48,1390.96,1250.04,1098.64,1462.30,1097.05,1160.46,1160.46,1123.12,1308.36,1515.33,1355.10,1471.39,1162.55,1292.64,1261.66
1925,1092.26,1027.63,1035.08,1081.44,1188.72,1298.19,955.52,1070.02,1360.53,880.20,974.53,915.59,1206.25,1092.97,1001.79,877.29,1164.24,865.78,941.37,941.37,882.69,1027.60,1224.05,1058.25,1149.13,925.00,1012.08,1004.15
1926,1063.15,967.44,1050.72,1025.12,1113.86,1400.25,917.62,1035.48,1288.56,845.64,919.82,871.64,1228.11,1027.43,1002.99,878.61,1175.96,856.09,958.72,958.72,851.10,1024.72,1249.45,994.07,1078.01,912.20,967.03,955.45
1927,1221.49,1160.89,1145.09,1199.64,1323.91,1447.20,1078.05,1199.54,1506.89,994.75,1106.64,1038.59,1332.16,1213.21,1111.14,996.70,1297.39,972.72,1051.71,1051.71,1000.10,1154.74,1358.22,1193.46,1304.43,1035.13,1143.59,1134.24
1928,1390.60,1272.29,1269.11,1416.07,1557.67,1664.57,1163.09,1358.94,1808.79,1079.05,1239.36,1139.44,1489.65,1424.18,1222.89,1094.03,1478.65,1054.47,1164.49,1164.49,1084.75,1286.52,1524.37,1362.95,1499.92,1126.10,1283.48,1230.88
1929,1201.86,1141.15,1077.06,1209.80,1355.15,1415.15,1052.30,1159.26,1550.65,969.81,1098.31,1009.57,1257.42,1230.50,1037.28,931.78,1246.08,919.59,987.34,987.34,956.21,1104.58,1281.29,1189.43,1308.14,970.40,1156.72,1121.62
