Variable:,tas
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1901,8.84,8.85,8.36,9.33,9.31,8.03,8.74,8.91,9.29,8.75,8.87,8.70,8.18,9.14,8.57,8.92,8.68,8.80,8.42,8.42,8.70,8.58,8.26,8.84,9.08,8.60,9.26,8.78
1902,8.86,8.89,8.33,9.39,9.40,7.91,8.72,8.93,9.36,8.78,8.92,8.74,8.18,9.22,8.58,8.81,8.69,8.77,8.30,8.30,8.72,8.59,8.26,8.91,9.13,8.60,9.30,8.80
1903,8.82,8.88,8.28,9.33,9.35,7.89,8.68,8.86,9.31,8.74,8.91,8.71,8.12,9.16,8.51,8.81,8.62,8.73,8.29,8.29,8.67,8.52,8.19,8.87,9.12,8.54,9.31,8.78
1904,8.80,8.87,8.27,9.30,9.32,7.91,8.68,8.84,9.29,8.72,8.89,8.69,8.10,9.14,8.50,8.81,8.61,8.72,8.29,8.29,8.65,8.51,8.18,8.85,9.09,8.53,9.28,8.76
1905,9.01,9.04,8.53,9.49,9.49,8.16,8.93,9.08,9.46,8.95,9.06,8.89,8.35,9.31,8.75,9.08,8.86,8.97,8.56,8.56,8.88,8.76,8.43,9.03,9.27,8.78,9.45,8.96
1906,9.03,9.07,8.52,9.52,9.53,8.14,8.92,9.10,9.50,8.96,9.09,8.91,8.34,9.34,8.75,9.05,8.86,8.96,8.52,8.52,8.89,8.75,8.42,9.05,9.29,8.78,9.48,8.98
1907,8.70,8.72,8.17,9.22,9.21,7.82,8.57,8.76,9.19,8.62,8.76,8.58,8.00,9.04,8.40,8.71,8.52,8.62,8.20,8.20,8.55,8.42,8.08,8.74,8.96,8.43,9.14,8.64
1908,9.36,9.40,8.85,9.86,9.88,8.46,9.24,9.41,9.84,9.29,9.43,9.24,8.68,9.69,9.08,9.37,9.18,9.29,8.84,8.84,9.22,9.07,8.75,9.40,9.65,9.11,9.82,9.31
1909,8.63,8.68,8.12,9.14,9.15,7.73,8.50,8.71,9.11,8.56,8.71,8.52,7.95,8.97,8.34,8.63,8.47,8.56,8.12,8.12,8.49,8.35,8.03,8.67,8.92,8.37,9.09,8.58
1910,8.89,8.95,8.36,9.39,9.41,8.02,8.76,8.93,9.37,8.81,8.97,8.78,8.20,9.22,8.59,8.90,8.70,8.82,8.38,8.38,8.73,8.60,8.27,8.93,9.18,8.62,9.36,8.84
1911,9.40,9.47,8.88,9.88,9.91,8.56,9.29,9.43,9.86,9.31,9.49,9.29,8.70,9.72,9.10,9.44,9.20,9.32,8.92,8.92,9.24,9.10,8.77,9.44,9.69,9.13,9.89,9.37
1912,8.94,9.01,8.40,9.43,9.47,8.03,8.82,8.98,9.42,8.86,9.04,8.83,8.23,9.27,8.63,8.94,8.74,8.85,8.41,8.41,8.77,8.63,8.31,8.99,9.24,8.66,9.44,8.91
1913,9.19,9.26,8.68,9.68,9.70,8.33,9.08,9.23,9.65,9.12,9.29,9.09,8.50,9.52,8.89,9.23,9.01,9.11,8.73,8.73,9.04,8.90,8.58,9.24,9.50,8.92,9.69,9.16
1914,9.35,9.38,8.88,9.82,9.83,8.55,9.28,9.41,9.79,9.28,9.41,9.23,8.69,9.65,9.09,9.47,9.19,9.32,8.94,8.94,9.22,9.08,8.76,9.37,9.61,9.11,9.80,9.31
1915,8.70,8.76,8.16,9.23,9.25,7.74,8.57,8.77,9.21,8.62,8.79,8.59,8.00,9.07,8.40,8.66,8.52,8.60,8.14,8.14,8.54,8.41,8.08,8.77,9.00,8.43,9.17,8.66
1916,8.93,8.97,8.43,9.42,9.44,8.09,8.84,8.97,9.41,8.87,8.99,8.83,8.25,9.25,8.65,8.97,8.75,8.88,8.46,8.46,8.80,8.64,8.32,8.96,9.19,8.69,9.39,8.89
1917,8.46,8.47,7.98,8.93,8.93,7.62,8.37,8.53,8.91,8.40,8.50,8.34,7.80,8.76,8.19,8.53,8.30,8.42,8.01,8.01,8.32,8.19,7.87,8.47,8.70,8.22,8.88,8.40
1918,9.21,9.25,8.69,9.70,9.72,8.32,9.10,9.26,9.68,9.14,9.28,9.09,8.52,9.53,8.91,9.23,9.02,9.15,8.72,8.72,9.05,8.91,8.59,9.24,9.48,8.94,9.67,9.16
1919,8.47,8.54,7.96,8.98,9.00,7.56,8.34,8.51,8.96,8.39,8.56,8.36,7.78,8.81,8.18,8.49,8.28,8.40,7.97,7.97,8.31,8.18,7.85,8.52,8.77,8.21,8.95,8.43
1920,9.24,9.30,8.73,9.73,9.77,8.37,9.13,9.28,9.71,9.16,9.33,9.13,8.55,9.57,8.94,9.30,9.05,9.18,8.78,8.78,9.09,8.95,8.62,9.29,9.53,8.97,9.73,9.20
1921,10.22,10.31,9.67,10.74,10.77,9.27,10.07,10.24,10.73,10.12,10.34,10.11,9.49,10.58,9.91,10.20,10.00,10.11,9.67,9.67,10.04,9.91,9.57,10.29,10.54,9.93,10.73,10.19
1922,8.67,8.72,8.14,9.18,9.20,7.75,8.54,8.71,9.16,8.59,8.75,8.56,7.97,9.01,8.37,8.65,8.48,8.59,8.14,8.14,8.52,8.37,8.05,8.72,8.96,8.40,9.14,8.63
1923,8.92,8.99,8.39,9.43,9.45,8.00,8.79,8.95,9.42,8.84,9.02,8.82,8.22,9.27,8.62,8.91,8.72,8.84,8.39,8.39,8.76,8.62,8.29,8.98,9.22,8.64,9.41,8.89
