Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2000","2000","hg/An","3031","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2001","2001","hg/An","2993","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2002","2002","hg/An","2995","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2003","2003","hg/An","3033","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2004","2004","hg/An","3058","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2005","2005","hg/An","3125","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2006","2006","hg/An","3171","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2007","2007","hg/An","3225","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2008","2008","hg/An","3245","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2009","2009","hg/An","3234","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2010","2010","hg/An","3227","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2011","2011","hg/An","3227","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2012","2012","hg/An","3268","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2013","2013","hg/An","3306","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","hg/An","3302","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2015","2015","hg/An","3303","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","hg/An","3326","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","hg/An","3345","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","hg/An","3363","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","hg/An","3374","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","hg/An","3387","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","hg/An","3318","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2000","2000","hg/An","3306","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2001","2001","hg/An","3266","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2002","2002","hg/An","3275","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2003","2003","hg/An","3223","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2004","2004","hg/An","3334","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2005","2005","hg/An","3245","A","Official figure"
