Variable:,tas
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1901,5.41,8.71,4.64,7.31,6.51,3.21,5.36,2.47,4.31,8.89
1902,5.34,8.33,4.74,6.97,6.47,3.37,5.22,2.69,4.55,8.53
1903,5.88,9.17,5.08,7.78,7.04,3.74,5.79,2.97,4.78,9.34
1904,6.22,9.44,5.45,8.07,7.34,4.09,6.13,3.39,5.32,9.64
1905,5.79,9.10,5.00,7.73,6.94,3.62,5.74,2.77,4.59,9.31
1906,5.69,9.05,4.84,7.67,6.84,3.44,5.60,2.70,4.68,9.24
1907,5.70,8.99,4.87,7.65,6.87,3.48,5.62,2.72,4.65,9.22
1908,5.27,8.56,4.51,7.18,6.39,3.04,5.21,2.33,4.30,8.76
1909,5.18,8.67,4.40,7.17,6.26,2.84,5.19,2.10,4.06,8.78
1910,5.92,9.42,5.12,7.94,7.03,3.58,5.92,2.82,4.72,9.53
1911,6.45,9.74,5.63,8.34,7.57,4.24,6.34,3.59,5.57,9.89
1912,5.44,8.64,4.74,7.22,6.54,3.31,5.36,2.63,4.58,8.80
1913,5.86,9.08,5.06,7.72,6.99,3.69,5.75,3.01,5.00,9.30
1914,5.58,8.69,4.82,7.39,6.76,3.53,5.41,2.82,4.71,8.92
1915,5.67,9.02,4.86,7.61,6.81,3.43,5.62,2.70,4.64,9.19
1916,6.45,9.90,5.69,8.46,7.59,4.20,6.48,3.30,5.04,10.04
1917,5.46,8.92,4.71,7.45,6.57,3.20,5.50,2.33,4.14,9.03
1918,6.17,9.48,5.28,8.14,7.37,3.94,6.08,3.19,5.05,9.69
1919,5.29,8.74,4.50,7.27,6.39,2.97,5.32,2.20,4.27,8.84
1920,6.61,9.68,5.98,8.33,7.73,4.61,6.50,3.86,5.56,9.89
1921,6.63,9.78,5.82,8.44,7.76,4.54,6.48,3.88,5.83,10.00
1922,5.39,8.66,4.75,7.22,6.51,3.24,5.37,2.42,4.28,8.81
1923,6.21,9.54,5.47,8.09,7.32,4.01,6.17,3.27,5.20,9.70
1924,5.37,8.54,4.80,7.10,6.41,3.28,5.29,2.61,4.54,8.66
1925,5.79,9.15,4.98,7.74,6.92,3.57,5.71,2.84,4.71,9.32
1926,6.54,9.84,5.80,8.44,7.70,4.36,6.48,3.57,5.43,10.02
1927,6.26,9.56,5.60,8.09,7.33,4.10,6.23,3.36,5.22,9.69
1928,6.40,9.57,5.60,8.22,7.55,4.28,6.26,3.61,5.56,9.81
1929,5.67,8.82,5.00,7.45,6.79,3.57,5.58,2.87,4.81,9.02
1930,6.55,9.84,5.83,8.40,7.62,4.39,6.47,3.71,5.52,9.98
1931,5.40,8.74,4.73,7.30,6.51,3.21,5.37,2.40,4.22,8.89
1932,6.08,9.24,5.39,7.94,7.22,3.99,5.98,3.19,4.88,9.51
1933,5.09,8.33,4.36,6.94,6.17,2.91,5.00,2.27,4.31,8.50
1934,7.17,10.61,6.30,9.25,8.34,4.88,7.14,4.05,5.79,10.84
1935,5.89,9.28,5.04,7.86,6.99,3.59,5.85,2.89,4.88,9.43
1936,6.24,9.56,5.53,8.12,7.32,4.06,6.21,3.28,5.09,9.71
1937,6.30,9.62,5.42,8.24,7.45,4.08,6.20,3.43,5.36,9.81
1938,6.11,9.48,5.23,8.10,7.26,3.87,6.00,3.15,5.03,9.66
1939,5.98,9.37,5.25,7.90,7.05,3.77,5.96,2.99,4.79,9.47
1940,4.54,7.48,3.96,6.16,5.64,2.59,4.40,1.91,3.87,7.70
1941,5.05,8.20,4.34,6.82,6.19,2.98,4.92,2.28,4.21,8.37
1942,5.61,8.59,5.05,7.26,6.67,3.62,5.50,2.96,4.86,8.82
1943,6.71,9.82,5.97,8.49,7.82,4.61,6.59,3.97,5.99,10.06
1944,5.74,9.20,4.88,7.74,6.86,3.41,5.73,2.66,4.70,9.35
1945,6.51,9.87,5.63,8.47,7.61,4.21,6.46,3.55,5.65,10.09
1946,6.63,9.91,5.94,8.49,7.76,4.50,6.61,3.67,5.41,10.06
1947,6.68,9.72,5.98,8.37,7.80,4.68,6.51,4.08,6.06,9.92
1948,6.69,9.80,5.93,8.50,7.84,4.63,6.52,3.95,5.83,10.08
1949,6.73,10.00,5.95,8.58,7.78,4.55,6.64,3.91,6.01,10.18
1950,6.83,10.10,6.14,8.64,7.92,4.71,6.79,3.93,5.78,10.23
1951,6.85,10.27,6.07,8.84,7.96,4.62,6.80,3.83,5.57,10.46
1952,5.94,9.36,5.09,7.90,7.07,3.69,5.86,2.98,4.98,9.53
1953,6.64,9.80,5.89,8.52,7.77,4.52,6.52,3.78,5.61,10.07
1954,5.50,8.69,4.79,7.33,6.62,3.38,5.38,2.68,4.57,8.91
1955,5.65,8.87,4.96,7.49,6.76,3.50,5.57,2.78,4.75,9.07
1956,5.14,8.41,4.41,7.01,6.28,2.99,5.08,2.18,4.01,8.63
1957,6.55,9.78,5.82,8.45,7.68,4.40,6.48,3.64,5.40,10.02
1958,6.46,9.85,5.74,8.38,7.51,4.19,6.48,3.45,5.35,10.00
1959,6.72,9.89,5.99,8.53,7.78,4.55,6.65,3.96,5.96,10.10
1960,6.27,9.62,5.50,8.17,7.39,4.06,6.25,3.30,5.14,9.77
1961,6.96,10.12,6.26,8.74,8.06,4.85,6.85,4.22,6.13,10.32
1962,5.27,8.52,4.54,7.11,6.36,3.09,5.16,2.42,4.39,8.70
1963,5.61,8.76,5.05,7.34,6.70,3.55,5.56,2.77,4.50,8.90
1964,6.09,9.08,5.52,7.75,7.15,4.10,5.98,3.44,5.36,9.29
1965,5.51,8.73,4.79,7.35,6.66,3.36,5.48,2.55,4.41,8.95
1966,6.60,10.06,5.77,8.63,7.74,4.31,6.62,3.47,5.27,10.28
1967,6.62,10.06,5.76,8.66,7.71,4.33,6.60,3.58,5.43,10.32
1968,6.17,9.56,5.37,8.12,7.30,3.94,6.13,3.18,4.99,9.75
1969,5.85,9.08,5.08,7.74,6.97,3.68,5.75,2.99,4.83,9.32
1970,5.73,9.15,4.85,7.76,6.85,3.42,5.68,2.73,4.65,9.39
1971,6.30,9.51,5.58,8.16,7.46,4.20,6.17,3.44,5.24,9.73
1972,6.05,9.31,5.39,7.89,7.15,3.94,5.92,3.20,4.94,9.44
1973,6.01,9.36,5.24,7.96,7.14,3.81,5.90,3.05,4.90,9.57
1974,6.70,10.08,5.83,8.72,7.89,4.48,6.62,3.65,5.45,10.32
1975,6.71,10.07,6.02,8.66,7.80,4.51,6.64,3.71,5.48,10.26
1976,6.18,9.43,5.38,8.11,7.33,3.98,6.08,3.24,5.23,9.69
1977,6.78,10.03,6.04,8.68,7.97,4.65,6.74,3.78,5.48,10.23
1978,5.66,8.80,4.88,7.53,6.86,3.58,5.50,2.81,4.65,9.06
1979,6.21,9.57,5.47,8.09,7.33,4.04,6.15,3.24,5.05,9.67
