Variable:,tas
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
1901,8.89,9.35,9.41,8.50
1902,8.52,8.98,8.99,8.17
1903,9.40,9.82,9.93,9.00
1904,9.38,9.81,9.86,9.02
1905,9.03,9.47,9.53,8.65
1906,9.53,10.02,10.03,9.16
1907,9.14,9.60,9.60,8.79
1908,8.80,9.30,9.29,8.43
1909,8.65,9.15,9.13,8.29
1910,9.70,10.23,10.21,9.32
1911,10.42,10.91,10.90,10.06
1912,9.56,10.07,10.05,9.19
1913,10.01,10.51,10.51,9.63
1914,9.91,10.45,10.43,9.52
1915,9.34,9.82,9.79,9.00
1916,9.66,10.14,10.12,9.31
1917,8.73,9.21,9.20,8.37
1918,9.81,10.30,10.28,9.46
1919,8.71,9.21,9.17,8.37
1920,9.86,10.35,10.34,9.50
1921,10.52,11.05,11.00,10.16
1922,8.79,9.31,9.25,8.43
1923,9.42,9.92,9.86,9.09
1924,9.09,9.64,9.57,8.72
1925,9.54,10.06,10.03,9.17
1926,9.96,10.47,10.45,9.60
1927,9.36,9.87,9.84,9.00
1928,9.81,10.33,10.28,9.46
1929,9.03,9.51,9.48,8.69
1930,10.08,10.57,10.56,9.72
1931,9.13,9.62,9.61,8.77
1932,9.69,10.16,10.17,9.32
1933,9.38,9.86,9.86,9.02
1934,10.52,11.00,10.98,10.17
1935,9.89,10.36,10.36,9.53
1936,9.72,10.19,10.18,9.38
1937,9.93,10.41,10.39,9.59
1938,9.98,10.47,10.47,9.62
1939,9.83,10.31,10.31,9.46
1940,8.54,9.03,9.00,8.20
1941,8.96,9.44,9.42,8.61
1942,8.90,9.37,9.34,8.56
1943,10.20,10.67,10.65,9.85
1944,9.62,10.09,10.09,9.26
1945,10.35,10.84,10.81,10.01
1946,9.54,10.00,9.99,9.21
1947,10.27,10.72,10.68,9.95
1948,10.29,10.75,10.76,9.93
1949,10.60,11.06,11.06,10.25
1950,9.88,10.35,10.32,9.55
1951,9.67,10.13,10.14,9.32
1952,9.22,9.69,9.65,8.89
1953,9.81,10.27,10.29,9.45
1954,9.06,9.54,9.53,8.70
1955,8.96,9.47,9.45,8.59
1956,8.47,8.96,8.95,8.11
1957,9.84,10.34,10.33,9.47
1958,9.43,9.90,9.89,9.08
1959,10.42,10.93,10.90,10.06
1960,9.69,10.16,10.16,9.34
1961,10.11,10.59,10.55,9.77
1962,8.33,8.80,8.78,8.00
1963,8.06,8.52,8.49,7.74
1964,9.34,9.76,9.76,9.02
1965,8.79,9.27,9.26,8.44
1966,9.60,10.04,10.03,9.27
1967,9.82,10.33,10.32,9.45
1968,9.14,9.60,9.62,8.78
1969,9.36,9.88,9.86,8.99
1970,9.28,9.78,9.77,8.91
1971,9.65,10.16,10.16,9.27
1972,9.11,9.58,9.60,8.74
1973,9.57,10.03,10.04,9.21
1974,9.86,10.30,10.28,9.54
1975,9.86,10.32,10.31,9.52
1976,10.12,10.60,10.56,9.79
1977,9.79,10.25,10.23,9.45
1978,9.01,9.47,9.50,8.64
1979,8.89,9.25,9.26,8.61
1980,9.06,9.55,9.56,8.68
1981,9.43,9.90,9.88,9.09
1982,10.12,10.58,10.57,9.78
1983,10.14,10.58,10.59,9.80
1984,9.43,9.95,9.93,9.05
1985,8.63,9.05,9.07,8.29
1986,9.07,9.50,9.50,8.74
1987,8.85,9.28,9.30,8.51
1988,10.27,10.73,10.72,9.92
1989,10.77,11.26,11.27,10.39
1990,10.82,11.32,11.30,10.45
1991,9.68,10.13,10.12,9.34
1992,10.42,10.87,10.88,10.08
1993,9.84,10.28,10.26,9.52
1994,10.93,11.36,11.32,10.64
1995,10.60,11.10,11.06,10.26
1996,8.83,9.29,9.25,8.51
1997,10.41,10.90,10.87,10.06
1998,10.33,10.83,10.79,9.97
1999,10.96,11.49,11.44,10.59
2000,10.96,11.41,11.39,10.64
2001,10.48,10.98,10.92,10.14
2002,10.90,11.37,11.34,10.57
2003,10.78,11.25,11.22,10.44
2004,10.38,10.90,10.87,10.01
2005,10.69,11.20,11.16,10.33
2006,10.98,11.47,11.45,10.62
2007,11.09,11.57,11.56,10.74
2008,10.57,11.05,11.05,10.21
2009,10.64,11.12,11.08,10.30
2010,9.36,9.80,9.76,9.05
2011,11.19,11.66,11.61,10.87
2012,10.43,10.88,10.85,10.11
2013,9.92,10.35,10.34,9.60
2014,11.71,12.18,12.16,11.36
2015,11.07,11.51,11.48,10.76
2016,10.75,11.23,11.20,10.40
2017,11.06,11.54,11.51,10.72
2018,11.64,12.09,12.03,11.35
2019,11.38,11.83,11.80,11.06
2020,11.88,12.34,12.29,11.56
2021,10.47,10.93,10.94,10.11
