Variable:,tas
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1901,10.42,8.55,12.18,11.45,9.56,12.22,12.25,11.46,8.21,9.76,10.28,8.75,8.38,11.22,10.10,10.96,11.32,11.12,11.16,10.67,7.91,8.25,8.58,10.90,10.62,11.69,10.87,10.61,11.00
1902,9.78,8.13,11.42,10.46,8.97,11.68,11.57,10.94,7.77,9.18,9.75,8.26,7.92,10.56,9.59,10.05,10.42,10.24,10.24,9.99,7.43,7.76,8.10,10.35,9.74,10.79,10.10,10.09,10.43
1903,10.71,8.81,12.33,11.67,9.87,12.42,12.42,11.67,8.52,10.16,10.70,9.01,8.70,11.68,10.37,11.29,11.66,11.44,11.49,10.87,8.14,8.56,8.87,11.15,10.95,11.93,11.23,11.14,11.40
1904,10.22,8.51,11.74,10.89,9.39,11.98,11.90,11.25,8.24,9.68,10.31,8.64,8.41,11.13,9.97,10.64,11.01,10.78,10.81,10.33,7.78,8.20,8.57,10.69,10.30,11.25,10.65,10.76,10.94
1905,10.41,8.57,12.09,11.36,9.56,12.18,12.19,11.43,8.25,9.82,10.35,8.75,8.40,11.30,10.10,10.92,11.29,11.08,11.12,10.61,7.90,8.27,8.61,10.88,10.59,11.62,10.86,10.76,11.06
1906,10.58,8.65,12.26,11.65,9.71,12.29,12.34,11.52,8.35,9.98,10.52,8.84,8.53,11.50,10.22,11.21,11.57,11.36,11.41,10.78,7.99,8.39,8.72,11.01,10.86,11.88,11.10,10.92,11.22
1907,9.89,8.18,11.45,10.54,9.04,11.68,11.60,10.94,7.90,9.33,9.97,8.31,8.07,10.78,9.64,10.28,10.66,10.45,10.46,10.02,7.46,7.85,8.21,10.37,9.97,10.92,10.29,10.41,10.58
1908,9.74,7.98,11.41,10.56,8.84,11.53,11.54,10.77,7.64,9.14,9.73,8.12,7.80,10.60,9.46,10.18,10.57,10.36,10.39,9.95,7.28,7.63,7.97,10.20,9.87,10.90,10.15,10.16,10.37
1909,10.36,8.58,12.05,11.26,9.49,12.14,12.14,11.39,8.26,9.74,10.31,8.73,8.42,11.18,10.08,10.82,11.18,10.98,11.01,10.55,7.89,8.26,8.60,10.84,10.48,11.53,10.77,10.68,10.99
1910,10.95,9.02,12.55,11.97,10.09,12.58,12.61,11.84,8.75,10.44,10.99,9.22,8.93,12.00,10.57,11.57,11.95,11.72,11.77,11.06,8.34,8.79,9.12,11.32,11.23,12.27,11.48,11.48,11.68
1911,10.32,8.61,11.83,10.90,9.43,12.00,11.96,11.26,8.36,9.79,10.53,8.71,8.54,11.30,10.00,10.78,11.16,10.89,10.94,10.41,7.80,8.31,8.67,10.72,10.45,11.37,10.76,11.11,11.09
1912,9.71,8.03,11.35,10.51,8.85,11.51,11.48,10.78,7.69,9.11,9.67,8.17,7.84,10.51,9.50,10.05,10.42,10.23,10.25,9.90,7.31,7.67,8.02,10.21,9.73,10.84,10.06,10.10,10.35
1913,10.04,8.16,11.70,11.08,9.18,11.78,11.81,11.03,7.82,9.44,10.02,8.34,7.98,10.95,9.70,10.60,10.97,10.74,10.80,10.25,7.48,7.85,8.17,10.50,10.25,11.34,10.51,10.55,10.69
1914,9.82,8.02,11.46,10.79,8.97,11.61,11.60,10.86,7.68,9.21,9.75,8.16,7.82,10.68,9.52,10.32,10.70,10.48,10.52,10.03,7.32,7.67,7.96,10.32,10.01,11.08,10.26,10.14,10.44
1915,10.71,8.86,12.44,11.64,9.85,12.50,12.50,11.76,8.55,10.11,10.62,9.06,8.72,11.55,10.43,11.19,11.55,11.35,11.41,10.93,8.24,8.57,8.91,11.19,10.81,11.95,11.11,11.01,11.32
1916,11.18,9.37,12.82,11.90,10.33,12.99,12.97,12.24,9.10,10.59,11.21,9.53,9.28,12.05,10.89,11.63,12.03,11.81,11.82,11.39,8.69,9.08,9.45,11.67,11.31,12.28,11.61,11.60,11.84
1917,10.40,8.64,12.07,11.21,9.54,12.20,12.19,11.47,8.35,9.80,10.36,8.77,8.50,11.22,10.13,10.83,11.22,11.01,11.03,10.61,7.94,8.31,8.65,10.89,10.51,11.54,10.81,10.73,11.02
1918,10.55,8.68,12.26,11.47,9.71,12.33,12.34,11.57,8.36,9.96,10.50,8.88,8.54,11.43,10.25,11.10,11.46,11.23,11.31,10.77,8.05,8.41,8.75,11.03,10.71,11.77,11.00,10.85,11.19
1919,10.34,8.57,12.09,11.28,9.46,12.15,12.18,11.39,8.22,9.70,10.25,8.70,8.37,11.14,10.05,10.82,11.13,11.02,11.05,10.59,7.87,8.21,8.55,10.81,10.45,11.60,10.72,10.55,10.93
1920,9.97,8.29,11.52,10.66,9.11,11.72,11.69,10.99,8.03,9.37,10.11,8.34,8.19,10.87,9.67,10.37,10.77,10.53,10.58,10.13,7.48,7.91,8.25,10.43,10.04,11.01,10.38,10.65,10.68
1921,10.17,8.41,11.73,10.90,9.30,11.85,11.85,11.11,8.15,9.59,10.30,8.52,8.32,11.09,9.84,10.64,11.03,10.78,10.83,10.31,7.64,8.10,8.45,10.58,10.31,11.27,10.61,10.97,10.88
1922,10.06,8.37,11.82,10.83,9.22,11.96,11.94,11.24,8.00,9.39,9.88,8.50,8.14,10.75,9.85,10.41,10.77,10.59,10.60,10.34,7.70,7.98,8.32,10.63,10.09,11.16,10.40,10.21,10.62
1923,11.35,9.52,13.01,12.19,10.50,13.11,13.12,12.36,9.22,10.78,11.37,9.69,9.42,12.27,11.04,11.81,12.20,11.96,12.02,11.53,8.84,9.25,9.59,11.81,11.46,12.52,11.78,11.81,12.05
1924,9.89,8.22,11.56,10.63,9.01,11.70,11.68,10.98,7.87,9.28,9.88,8.35,8.03,10.67,9.68,10.22,10.60,10.40,10.42,10.09,7.51,7.86,8.21,10.39,9.90,10.96,10.22,10.28,10.54
1925,10.72,8.86,12.41,11.66,9.86,12.50,12.51,11.74,8.50,10.13,10.66,9.06,8.68,11.61,10.42,11.23,11.61,11.39,11.45,10.93,8.22,8.56,8.88,11.20,10.87,11.96,11.15,11.05,11.37
1926,10.99,9.29,12.58,11.67,10.09,12.79,12.70,12.08,9.02,10.43,11.06,9.43,9.21,11.87,10.75,11.31,11.70,11.47,11.50,11.12,8.58,8.98,9.34,11.42,10.98,12.07,11.32,11.53,11.70
1927,11.15,9.50,12.80,11.78,10.28,13.02,12.94,12.31,9.22,10.53,11.13,9.62,9.38,11.92,10.94,11.44,11.83,11.61,11.64,11.35,8.77,9.17,9.55,11.65,11.11,12.19,11.47,11.55,11.81
1928,10.26,8.71,11.82,10.77,9.36,12.10,11.97,11.41,8.41,9.66,10.38,8.79,8.61,11.03,10.08,10.48,10.86,10.66,10.67,10.41,7.94,8.35,8.73,10.72,10.17,11.21,10.53,10.86,10.95
1929,9.90,8.19,11.51,10.67,9.04,11.71,11.65,10.98,7.91,9.29,9.94,8.31,8.12,10.72,9.64,10.25,10.62,10.43,10.48,10.04,7.47,7.88,8.27,10.39,9.92,10.98,10.24,10.35,10.54
