Variable:,tas
,Cyprus,"Girne (Kyrenia)",Famagusta,Larnaca,Limassol,Nicosia,Paphos,"Sovereign Base Areas of Akrotiri and Dhekelia (U.K.)"
1901,17.91,18.47,18.96,18.12,16.49,17.97,17.28,17.75
1902,17.46,18.01,18.45,17.66,16.08,17.52,16.87,17.30
1903,16.69,17.29,17.74,16.81,15.25,16.77,16.07,16.49
1904,17.06,17.62,18.07,17.23,15.66,17.12,16.45,16.89
1905,17.35,17.92,18.35,17.52,15.93,17.42,16.74,17.17
1906,17.49,18.06,18.50,17.67,16.09,17.56,16.87,17.32
1907,16.89,17.45,17.90,17.05,15.49,16.95,16.29,16.72
1908,16.99,17.56,17.99,17.17,15.58,17.06,16.38,16.81
1909,18.11,18.67,19.15,18.32,16.70,18.17,17.47,17.95
1910,17.16,17.74,18.22,17.31,15.72,17.22,16.52,16.98
1911,17.02,17.57,17.98,17.20,15.63,17.08,16.42,16.84
1912,17.26,17.82,18.27,17.45,15.86,17.32,16.66,17.09
1913,17.27,17.82,18.26,17.48,15.88,17.34,16.66,17.11
1914,17.58,18.12,18.59,17.80,16.20,17.63,16.97,17.43
1915,18.24,18.79,19.25,18.46,16.85,18.30,17.62,18.09
1916,18.56,19.10,19.54,18.78,17.18,18.62,17.95,18.41
1917,18.02,18.57,19.03,18.24,16.61,18.08,17.39,17.85
1918,17.96,18.50,18.95,18.16,16.56,18.01,17.34,17.79
1919,18.17,18.72,19.19,18.39,16.76,18.23,17.54,18.01
1920,17.53,18.07,18.50,17.74,16.16,17.58,16.93,17.37
1921,17.25,17.80,18.24,17.44,15.85,17.31,16.64,17.08
1922,18.11,18.67,19.12,18.31,16.70,18.17,17.49,17.95
1923,18.36,18.91,19.36,18.57,16.97,18.42,17.74,18.20
1924,17.89,18.43,18.91,18.12,16.50,17.94,17.27,17.74
1925,18.19,18.73,19.19,18.42,16.79,18.25,17.57,18.03
1926,18.28,18.83,19.26,18.49,16.89,18.34,17.67,18.11
1927,18.56,19.10,19.53,18.77,17.19,18.62,17.95,18.40
1928,18.32,18.85,19.29,18.55,16.95,18.37,17.72,18.17
1929,17.83,18.37,18.83,18.05,16.42,17.88,17.19,17.67
1930,18.57,19.12,19.57,18.78,17.16,18.62,17.94,18.40
1931,18.19,18.74,19.18,18.41,16.80,18.25,17.58,18.03
1932,18.12,18.66,19.11,18.34,16.73,18.17,17.50,17.97
1933,17.22,17.75,18.19,17.44,15.85,17.27,16.62,17.07
1934,18.16,18.69,19.12,18.35,16.76,18.22,17.57,17.99
1935,18.49,19.03,19.51,18.72,17.11,18.53,17.83,18.34
1936,18.23,18.76,19.22,18.45,16.85,18.28,17.63,18.08
1937,18.65,19.21,19.67,18.85,17.24,18.72,18.03,18.48
1938,17.89,18.43,18.92,18.11,16.50,17.94,17.27,17.74
1939,18.58,19.12,19.58,18.79,17.19,18.63,17.97,18.42
1940,18.20,18.75,19.24,18.45,16.82,18.25,17.54,18.06
1941,18.21,18.74,19.20,18.44,16.82,18.26,17.58,18.06
1942,18.12,18.67,19.12,18.37,16.74,18.17,17.46,17.98
1943,17.78,18.32,18.76,18.00,16.40,17.83,17.16,17.62
1944,18.06,18.60,19.07,18.27,16.67,18.11,17.43,17.90
1945,17.73,18.28,18.73,17.95,16.34,17.78,17.11,17.58
1946,18.45,19.00,19.36,18.64,17.09,18.52,17.86,18.27
1947,18.89,19.42,19.92,19.11,17.48,18.93,18.26,18.74
1948,17.48,18.01,18.46,17.70,16.09,17.53,16.86,17.32
1949,17.32,17.85,18.31,17.55,15.93,17.36,16.70,17.17
1950,17.91,18.45,18.88,18.13,16.52,17.97,17.30,17.75
1951,18.54,19.07,19.52,18.79,17.17,18.59,17.88,18.41
1952,18.54,19.03,19.52,18.81,17.20,18.57,17.98,18.41
1953,17.46,17.90,18.35,17.84,16.18,17.47,16.88,17.36
1954,18.42,18.92,19.40,18.69,17.08,18.45,17.81,18.29
1955,18.97,19.51,19.98,19.16,17.60,19.02,18.36,18.82
1956,17.71,18.19,18.66,18.01,16.33,17.73,17.11,17.56
1957,18.24,18.83,19.21,18.37,16.81,18.33,17.62,18.03
1958,18.40,18.91,19.33,18.60,17.03,18.46,17.86,18.23
1959,17.51,18.04,18.44,17.73,16.14,17.58,16.93,17.34
1960,18.85,19.32,19.89,19.11,17.44,18.87,18.24,18.71
1961,18.03,18.62,18.96,18.23,16.63,18.12,17.41,17.84
1962,19.08,19.69,20.09,19.26,17.56,19.18,18.42,18.85
1963,18.53,19.08,19.45,18.79,17.10,18.61,17.90,18.33
1964,17.72,18.25,18.58,17.95,16.36,17.80,17.16,17.52
1965,18.07,18.53,19.01,18.29,16.76,18.09,17.54,17.93
1966,19.11,19.73,20.10,19.26,17.66,19.22,18.50,18.90
1967,17.39,17.92,18.25,17.60,16.05,17.47,16.84,17.21
1968,18.42,19.01,19.41,18.62,16.93,18.50,17.77,18.22
1969,18.56,19.09,19.55,18.79,17.12,18.61,17.94,18.39
1970,18.65,19.26,19.60,18.84,17.19,18.75,18.01,18.43
1971,18.09,18.70,19.00,18.28,16.67,18.20,17.45,17.87
1972,17.56,18.06,18.44,17.80,16.26,17.61,17.00,17.41
1973,18.30,18.90,19.19,18.49,16.90,18.40,17.66,18.09
1974,18.17,18.81,19.13,18.36,16.73,18.27,17.48,17.97
1975,17.72,18.26,18.73,17.98,16.31,17.77,17.06,17.57
1976,17.38,17.84,18.41,17.64,16.05,17.39,16.79,17.27
1977,17.88,18.42,18.89,18.09,16.48,17.93,17.27,17.72
1978,18.29,18.86,19.32,18.48,16.90,18.36,17.68,18.13
1979,18.53,19.06,19.54,18.73,17.19,18.57,17.93,18.40
1980,17.70,18.15,18.71,17.94,16.40,17.70,17.14,17.60
1981,18.38,18.98,19.36,18.56,17.00,18.47,17.76,18.21
1982,17.39,17.92,18.36,17.60,16.09,17.43,16.80,17.27
1983,17.58,18.17,18.59,17.75,16.19,17.65,16.93,17.42
1984,17.79,18.31,18.79,17.99,16.46,17.83,17.19,17.66
1985,18.22,18.73,19.26,18.43,16.87,18.24,17.61,18.10
1986,18.22,18.81,19.33,18.41,16.76,18.28,17.54,18.06
1987,17.80,18.33,18.93,18.08,16.38,17.82,17.12,17.70
1988,17.76,18.23,18.76,18.08,16.39,17.78,17.13,17.65
1989,17.93,18.42,18.98,18.24,16.50,17.96,17.29,17.80
1990,18.03,18.49,19.11,18.36,16.61,18.04,17.38,17.92
1991,17.99,18.46,19.08,18.27,16.64,17.99,17.37,17.91
1992,16.94,17.39,17.90,17.26,15.61,16.96,16.36,16.83
1993,17.93,18.39,18.98,18.25,16.54,17.94,17.29,17.83
1994,18.85,19.37,19.96,19.13,17.42,18.88,18.19,18.72
1995,18.21,18.71,19.24,18.52,16.77,18.24,17.56,18.07
1996,18.47,18.93,19.54,18.74,17.12,18.47,17.88,18.38
1997,17.69,18.13,18.67,17.96,16.39,17.68,17.15,17.59
1998,19.08,19.60,20.07,19.38,17.72,19.12,18.42,18.96
1999,19.19,19.71,20.19,19.47,17.76,19.25,18.49,19.04
2000,18.48,18.99,19.50,18.77,17.06,18.51,17.76,18.35
2001,19.55,20.12,20.58,19.81,18.06,19.62,18.82,19.37
2002,18.80,19.29,19.74,19.14,17.39,18.84,18.08,18.66
2003,18.95,19.40,19.93,19.33,17.52,18.97,18.20,18.83
2004,18.73,19.18,19.70,19.10,17.35,18.76,18.02,18.62
2005,18.66,19.13,19.63,19.00,17.26,18.69,17.98,18.54
2006,18.52,19.00,19.50,18.84,17.14,18.54,17.84,18.41
2007,18.97,19.43,19.94,19.28,17.62,18.99,18.31,18.86
2008,19.04,19.51,20.00,19.38,17.70,19.06,18.38,18.94
2009,19.06,19.48,20.03,19.41,17.77,19.07,18.41,19.00
2010,20.35,20.79,21.34,20.71,18.98,20.36,19.64,20.26
2011,18.56,18.98,19.53,18.94,17.15,18.56,17.90,18.45
2012,19.32,19.78,20.31,19.67,17.89,19.34,18.64,19.19
2013,19.36,19.92,20.35,19.59,17.96,19.42,18.73,19.19
2014,19.49,20.04,20.55,19.72,18.00,19.54,18.80,19.31
2015,18.86,19.40,19.92,19.11,17.44,18.90,18.21,18.72
2016,19.55,20.08,20.59,19.80,18.11,19.60,18.89,19.39
2017,19.16,19.69,20.23,19.40,17.72,19.20,18.50,19.02
2018,20.07,20.60,21.10,20.33,18.64,20.12,19.43,19.92
2019,19.44,19.99,20.47,19.67,18.01,19.49,18.79,19.28
2020,19.73,20.31,20.82,19.94,18.27,19.79,19.06,19.57
2021,19.84,20.33,20.90,20.11,18.45,19.86,19.21,19.72
