Variable:,tas
,"Czechia",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
1901,6.76,6.23,7.26,7.44,6.93,6.76,7.29,6.65,5.97
1902,6.23,5.91,6.70,6.96,6.28,6.02,6.76,5.98,5.68
1903,7.38,6.82,7.81,8.11,7.64,7.35,7.91,7.24,6.69
1904,7.51,7.07,7.93,8.28,7.73,7.31,8.09,7.33,6.90
1905,7.15,6.68,7.64,7.90,7.33,7.10,7.71,7.00,6.40
1906,7.29,6.71,7.71,8.05,7.64,7.22,7.87,7.17,6.56
1907,7.03,6.64,7.47,7.81,7.20,6.83,7.62,6.87,6.37
1908,6.55,6.08,7.05,7.31,6.73,6.46,7.12,6.41,5.78
1909,6.49,5.98,7.08,7.21,6.56,6.54,6.99,6.32,5.67
1910,7.39,6.82,7.93,8.12,7.56,7.46,7.90,7.26,6.58
1911,7.89,7.35,8.32,8.66,8.16,7.82,8.44,7.73,7.23
1912,6.62,6.18,7.04,7.41,6.84,6.44,7.17,6.43,6.02
1913,7.27,6.74,7.68,8.04,7.55,7.16,7.83,7.13,6.61
1914,7.14,6.55,7.50,7.94,7.52,7.04,7.72,7.05,6.49
1915,6.98,6.55,7.50,7.71,7.04,6.96,7.49,6.81,6.28
1916,7.78,7.34,8.37,8.49,7.78,7.82,8.28,7.64,6.96
1917,6.77,6.30,7.32,7.48,6.85,6.78,7.27,6.61,5.97
1918,7.73,7.24,8.17,8.52,7.89,7.70,8.29,7.62,6.99
1919,6.54,6.11,7.09,7.26,6.57,6.53,7.04,6.35,5.77
1920,7.71,7.33,8.15,8.50,7.79,7.57,8.27,7.53,7.06
1921,7.93,7.54,8.32,8.74,8.10,7.77,8.51,7.76,7.35
1922,6.32,5.98,6.88,7.03,6.30,6.22,6.80,6.06,5.65
1923,7.27,6.90,7.83,7.97,7.23,7.23,7.74,7.02,6.61
1924,6.43,6.02,6.88,7.23,6.62,6.26,6.98,6.22,5.82
1925,7.27,6.72,7.73,8.02,7.50,7.27,7.78,7.12,6.56
1926,7.80,7.37,8.29,8.56,7.92,7.74,8.31,7.59,7.14
1927,7.24,6.88,7.80,7.97,7.23,7.18,7.73,6.99,6.55
1928,7.47,7.16,7.96,8.23,7.47,7.36,7.99,7.21,6.88
