Variable:,tas
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
1901,7.86,7.59,6.97,8.67,8.48,8.49,8.27,7.80,8.16,8.34,8.54,8.20,8.18,7.53,8.14,8.17,7.07
1902,7.37,7.72,6.93,7.79,7.60,7.69,7.29,7.38,7.06,7.57,8.01,8.01,8.13,6.82,7.37,7.09,6.45
1903,8.43,8.12,7.59,9.24,9.05,8.98,8.64,8.45,8.42,8.91,9.16,8.82,8.70,8.27,8.82,8.40,7.81
1904,8.50,8.55,7.87,9.23,9.01,8.86,8.56,8.49,8.34,8.80,9.07,8.95,8.94,8.27,8.78,8.30,7.83
1905,8.09,7.89,7.29,8.88,8.69,8.62,8.35,8.04,8.15,8.52,8.74,8.50,8.45,7.87,8.40,8.17,7.35
1906,8.45,7.98,7.35,9.33,9.15,9.11,8.84,8.51,8.72,9.04,9.29,8.89,8.78,8.27,8.87,8.66,7.77
1907,8.03,7.94,7.27,8.67,8.48,8.49,8.10,8.16,7.82,8.42,8.82,8.61,8.57,7.75,8.26,7.84,7.29
1908,7.66,7.52,6.77,8.32,8.14,8.28,7.99,7.72,7.78,8.13,8.49,8.18,8.17,7.26,7.84,7.91,6.78
1909,7.46,7.36,6.62,8.08,7.88,8.03,7.62,7.61,7.27,7.90,8.36,8.10,8.05,7.11,7.64,7.39,6.63
1910,8.53,8.11,7.46,9.25,9.07,9.32,9.02,8.67,8.73,9.14,9.50,9.05,8.89,8.15,8.79,8.94,7.68
1911,9.23,9.05,8.22,9.88,9.70,9.83,9.54,9.45,9.21,9.74,10.18,9.90,9.79,8.83,9.48,9.34,8.45
1912,8.07,7.96,7.13,8.52,8.35,8.82,8.34,8.31,7.90,8.63,9.17,8.86,8.78,7.48,8.17,8.15,7.14
1913,8.68,8.44,7.62,9.34,9.16,9.38,9.07,8.87,8.84,9.23,9.67,9.33,9.24,8.21,8.87,8.92,7.83
1914,8.65,8.13,7.44,9.44,9.27,9.52,9.28,8.79,9.07,9.35,9.68,9.13,8.95,8.23,8.95,9.23,7.83
1915,8.03,8.05,7.27,8.57,8.37,8.50,8.06,8.26,7.67,8.40,8.95,8.80,8.73,7.62,8.18,7.77,7.22
1916,8.55,8.50,7.87,9.20,8.99,8.95,8.60,8.72,8.31,8.87,9.34,9.18,9.10,8.28,8.74,8.36,7.78
1917,7.72,7.51,6.86,8.40,8.22,8.28,8.06,7.80,7.79,8.16,8.50,8.20,8.13,7.38,7.95,7.91,6.93
1918,8.70,8.52,7.87,9.39,9.19,9.20,8.87,8.91,8.49,9.13,9.55,9.28,9.18,8.45,8.97,8.62,7.99
1919,7.48,7.60,6.72,8.06,7.87,7.87,7.56,7.66,7.34,7.78,8.28,8.22,8.21,7.07,7.59,7.38,6.64
1920,8.81,8.91,8.19,9.34,9.15,9.23,8.87,8.95,8.59,9.12,9.56,9.40,9.42,8.34,8.91,8.69,7.95
1921,9.19,9.21,8.41,9.72,9.53,9.69,9.35,9.39,9.02,9.59,10.08,9.88,9.88,8.68,9.31,9.14,8.34
1922,7.37,7.62,6.73,7.75,7.56,7.85,7.42,7.55,7.08,7.69,8.27,8.16,8.17,6.78,7.33,7.25,6.39
1923,8.19,8.53,7.69,8.58,8.39,8.50,8.05,8.39,7.70,8.39,8.93,8.97,9.00,7.71,8.21,7.78,7.33
1924,7.75,7.85,6.96,8.21,8.02,8.32,7.90,8.01,7.49,8.16,8.65,8.49,8.47,7.20,7.85,7.69,6.86
1925,8.46,8.19,7.45,9.19,9.00,9.14,8.87,8.62,8.62,9.00,9.32,8.98,8.82,8.11,8.73,8.69,7.69
1926,8.85,8.77,8.09,9.44,9.24,9.40,9.02,8.99,8.66,9.30,9.68,9.42,9.34,8.46,9.05,8.76,8.06
1927,8.23,8.43,7.66,8.68,8.49,8.70,8.27,8.33,7.93,8.55,8.99,8.88,8.90,7.73,8.29,8.06,7.33
1928,8.52,8.82,7.99,8.85,8.66,8.97,8.45,8.66,8.03,8.82,9.33,9.28,9.31,7.96,8.51,8.19,7.60
1929,7.91,8.10,7.32,8.41,8.22,8.18,7.83,8.10,7.56,8.17,8.62,8.60,8.63,7.50,8.06,7.55,7.13
1930,8.99,8.89,8.21,9.59,9.40,9.53,9.16,9.12,8.89,9.41,9.79,9.56,9.52,8.56,9.17,8.97,8.19
1931,7.66,7.54,6.78,8.16,7.96,8.37,7.90,7.72,7.57,8.21,8.62,8.33,8.34,7.17,7.81,7.77,6.84
1932,8.49,8.21,7.62,9.20,9.00,9.18,8.86,8.47,8.66,9.03,9.28,8.90,8.92,8.02,8.76,8.76,7.70
1933,7.84,7.65,6.71,8.48,8.27,8.88,8.51,7.86,8.19,8.55,8.82,8.52,8.51,6.93,8.05,8.47,6.81
1934,9.37,9.18,8.65,10.24,10.01,9.81,9.59,9.32,9.47,9.71,9.99,9.82,9.85,9.01,9.70,9.52,8.59
1935,8.47,8.22,7.45,9.18,8.95,9.23,8.83,8.50,8.62,9.05,9.40,9.06,9.03,8.00,8.74,8.73,7.69
1936,8.52,8.42,7.73,9.18,8.96,9.11,8.76,8.52,8.58,8.97,9.27,9.06,9.09,8.07,8.76,8.66,7.74
1937,8.70,8.72,7.98,9.29,9.09,9.17,8.79,8.74,8.64,9.03,9.41,9.28,9.35,8.30,8.90,8.67,7.98
1938,8.79,8.38,7.72,9.70,9.48,9.61,9.36,8.69,9.26,9.40,9.55,9.16,9.15,8.37,9.17,9.29,8.00
1939,8.45,8.14,7.46,9.23,9.00,9.21,8.87,8.45,8.70,9.03,9.35,8.99,8.96,7.93,8.74,8.77,7.60
1940,6.89,7.12,6.22,7.11,6.91,7.46,6.89,7.06,6.57,7.30,7.89,7.78,7.86,6.10,6.90,6.78,6.03
1941,7.30,7.47,6.61,7.52,7.35,7.86,7.29,7.45,6.95,7.71,8.32,8.19,8.25,6.64,7.32,7.15,6.44
1942,7.53,8.02,7.17,7.66,7.50,7.76,7.16,7.70,6.87,7.67,8.31,8.37,8.54,7.01,7.49,6.95,6.80
1943,9.07,9.20,8.40,9.60,9.41,9.56,9.24,9.07,9.08,9.41,9.71,9.63,9.74,8.51,9.24,9.13,8.28
1944,8.37,8.03,7.24,9.21,9.02,9.25,8.91,8.36,8.74,9.02,9.20,8.83,8.80,7.96,8.78,8.79,7.58
