Variable:,tas
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1901,7.73,7.51,7.44,8.16,7.89,7.62,7.75,7.71,7.73,8.09,7.41,8.15,7.61,8.30,8.30,8.24
1902,6.45,6.20,6.07,6.84,6.69,6.25,6.53,6.41,6.58,6.88,6.15,6.89,6.27,6.98,6.98,6.95
1903,7.67,7.43,7.44,8.10,7.90,7.49,7.71,7.63,7.81,8.16,7.35,8.10,7.51,8.25,8.24,8.19
1904,7.54,7.31,7.34,7.94,7.81,7.29,7.62,7.48,7.70,8.10,7.24,8.02,7.35,8.11,8.09,8.09
1905,7.61,7.36,7.33,7.96,7.80,7.47,7.66,7.60,7.66,7.98,7.30,8.00,7.48,8.12,8.11,8.07
1906,8.12,7.88,8.00,8.64,8.30,8.00,8.12,8.08,8.13,8.55,7.78,8.55,7.97,8.78,8.78,8.68
1907,7.16,6.93,6.92,7.58,7.35,7.05,7.18,7.15,7.25,7.58,6.82,7.56,7.03,7.73,7.73,7.65
1908,7.57,7.33,7.20,7.90,7.68,7.56,7.56,7.60,7.48,7.79,7.22,7.90,7.51,8.07,8.05,7.98
1909,6.72,6.44,6.52,7.12,6.94,6.59,6.77,6.69,6.86,7.12,6.38,7.12,6.58,7.25,7.25,7.20
1910,8.44,8.21,8.14,8.85,8.66,8.28,8.49,8.41,8.51,8.73,8.13,8.85,8.28,8.99,8.99,8.91
1911,8.59,8.33,8.30,8.96,8.83,8.42,8.65,8.55,8.77,9.00,8.26,8.99,8.43,9.12,9.11,9.06
1912,7.43,7.16,7.13,7.78,7.66,7.27,7.51,7.39,7.62,7.78,7.10,7.81,7.27,7.93,7.92,7.88
1913,8.34,8.08,8.21,8.84,8.56,8.20,8.37,8.29,8.41,8.78,8.00,8.81,8.19,8.97,8.97,8.92
1914,8.70,8.45,8.58,9.19,8.93,8.52,8.75,8.65,8.79,9.10,8.38,9.16,8.51,9.29,9.30,9.25
1915,6.74,6.46,6.58,7.18,7.10,6.40,6.88,6.66,7.11,7.36,6.44,7.22,6.49,7.26,7.28,7.28
1916,7.63,7.39,7.39,8.07,7.88,7.42,7.69,7.58,7.79,8.12,7.31,8.07,7.45,8.18,8.19,8.15
1917,7.24,6.99,6.97,7.61,7.51,7.00,7.32,7.22,7.37,7.71,6.94,7.70,7.08,7.74,7.75,7.75
1918,7.81,7.57,7.43,8.16,8.08,7.60,7.91,7.78,8.03,8.27,7.52,8.22,7.64,8.29,8.28,8.26
1919,6.75,6.48,6.60,7.23,6.98,6.58,6.80,6.72,6.84,7.19,6.41,7.19,6.59,7.33,7.34,7.28
